# Tcold_K: 12
# Thot_K: 284.15
# freq_MHz: 11075
# dfreq_MHz: 50
date, time_start, Icold_adu, Ihot_adu, Ycal_dB, Isun_mean_adu, Isun_max_adu, Isun_mean_above_max_adu, nrvals_for_Isun_mean_above_max, Ssun_sfu, Sback_sfu, Ssun_minus_Sback_sfu
2024/11/17, 08:30:00.742, 145322.7228908037, 409512.20339747507, 4.499333216149472, 361174.61534548446, 408113.98737101525, 400528.0407350427, 3, 326.9913384125377, 14.274156445799129, 312.71718196673856
2024/11/17, 08:45:00.731, 145631.57794545806, 414336.14585451985, 4.540972667304363, 374524.4151926377, 412555.6214144424, 404129.9464224847, 38, 325.704053305833, 14.274156445799129, 311.42989686003386
2024/11/17, 09:00:00.848, 146859.0958042153, 419501.8549470414, 4.558330355505868, 368334.1698470857, 404262.614022702, 396780.11549112655, 56, 311.0211727272685, 14.274156445799129, 296.74701628146937
2024/11/17, 09:15:00.787, 143250.20828075512, 402952.68811874866, 4.491587952305924, 366495.33389938023, 410982.81934838847, 403069.61197236093, 5, 338.1458781655726, 14.274156445799129, 323.87172171977346
2024/11/17, 09:30:00.859, 143804.95558196955, 411049.20902600215, 4.561199645540977, 373058.55139912653, 420368.7259629215, 412194.1880105676, 6, 339.3870982852195, 14.274156445799129, 325.1129418394204
2024/11/17, 09:45:00.918, 141282.3213387252, 403304.0287311052, 4.555447383676006, 371823.8990638779, 410982.81934838847, 402616.20459631394, 26, 337.15032763459834, 14.274156445799129, 322.8761711887992
2024/11/17, 10:00:00.887, 144404.1063227303, 402410.06918544957, 4.450892960373031, 381852.8626085288, 416608.645527268, 406469.822291804, 102, 343.09399443143144, 14.274156445799129, 328.8198379856323
2024/11/17, 10:15:00.865, 142376.44893845415, 388773.29905491776, 4.3625827309589065, 375501.2387278548, 415314.38922357047, 406072.08585477306, 57, 360.7279630271558, 14.274156445799129, 346.4538065813567
2024/11/17, 10:30:00.909, 143252.65576276317, 398060.13214457815, 4.438460007375976, 384875.7649123257, 427088.931288608, 419581.25294091576, 15, 365.34212853252353, 14.274156445799129, 351.0679720867244
2024/11/17, 10:45:01.109, 142548.66482849495, 391880.2495335494, 4.391902220407119, 367522.86345146224, 410982.81934838847, 403073.280718695, 10, 352.5328848174876, 14.274156445799129, 338.2587283716885
2024/11/17, 11:00:01.058, 136624.91475286565, 376883.9818187478, 4.406777756413689, 342935.18676156865, 378667.7919221207, 371574.1371651386, 31, 330.84562479471225, 14.274156445799129, 316.57146834891313
2024/11/17, 11:15:01.043, 133985.37749300792, 374594.5610889936, 4.465040631822255, 351083.356574792, 391770.3991868747, 383597.65980103763, 36, 350.1132868160938, 14.274156445799129, 335.8391303702947
2024/11/17, 11:30:01.023, 134621.71696986523, 379479.3305954016, 4.500730005480059, 346187.6366955418, 385621.6833007167, 377627.5779000496, 44, 335.5519293693707, 14.274156445799129, 321.2777729235716
2024/11/17, 11:45:01.010, 131796.15311472272, 371464.00156888814, 4.500139986348954, 336287.61653611035, 387328.7651434477, 387328.7651434477, 1, 359.42910322403844, 14.274156445799129, 345.1549467782393
2024/11/17, 12:00:01.200, 129343.79200665302, 361532.1347145129, 4.464013164024375, 336970.35629418184, 375031.3333711316, 367663.170271126, 32, 346.54825654941794, 14.274156445799129, 332.2741001036188
2024/11/17, 12:15:01.200, 132526.5530965779, 383395.7151969502, 4.6134435244115855, 328729.2434864402, 381180.0492572897, 374462.5317686507, 6, 326.47259270712584, 14.274156445799129, 312.1984362613267
2024/11/17, 12:30:01.241, 128710.92076902832, 374249.23554885574, 4.635455247500963, 317530.991307911, 364258.10393261944, 358693.6881992833, 6, 317.4911726586544, 14.274156445799129, 303.2170162128553
2024/11/17, 12:45:01.178, 126493.81611575566, 365297.8033040995, 4.605777658750903, 302489.0124173219, 347202.4067763225, 340547.57452131907, 9, 304.44837858897534, 14.274156445799129, 290.1742221431762
2024/11/17, 13:00:01.301, 124792.48827328082, 362689.5497248258, 4.633465979890529, 301072.4896934016, 346241.77946114226, 340298.15450829925, 12, 307.5303281541693, 14.274156445799129, 293.2561717083702
2024/11/17, 13:15:01.279, 125826.27098563731, 367232.1103424599, 4.651693224367658, 297286.0277932012, 338428.8257410941, 333027.19528780755, 17, 292.1312332150933, 14.274156445799129, 277.85707676929417
2024/11/17, 13:30:01.252, 127232.44200599712, 380983.0418863085, 4.7630778223327885, 306722.33509823336, 344054.65191997355, 337798.9034738756, 40, 282.90734456325214, 14.274156445799129, 268.633188117453
2024/11/17, 13:45:01.295, 131407.30197020547, 392909.4867214267, 4.756730163560793, 319620.89763413364, 365174.26445976814, 358259.46560418233, 13, 295.1052228597196, 14.274156445799129, 280.8310664139205
2024/11/17, 14:00:01.311, 138864.51433126934, 421407.46741349594, 4.82110947532181, 332392.4075445987, 375031.3333711316, 366644.3657010717, 13, 275.254843537196, 14.274156445799129, 260.9806870913969
2024/11/17, 14:15:01.468, 143973.92377875297, 443995.51038471574, 4.890947378028093, 342114.83168437384, 382181.361883815, 375787.8833207124, 44, 264.40349037354196, 14.274156445799129, 250.12933392774283
