# Tcold_K: 12
# Thot_K: 284.15
# freq_MHz: 11075
# dfreq_MHz: 50
date, time_start, Icold_adu, Ihot_adu, Ycal_dB, Isun_mean_adu, Isun_max_adu, Isun_mean_above_max_adu, nrvals_for_Isun_mean_above_max, Ssun_sfu, Sback_sfu, Ssun_minus_Sback_sfu
2024/11/08, 09:15:00.765, 181839.0452657108, 379171.3032639517, 3.191483188111699, 364820.7353272833, 403272.5377132923, 394397.18718863546, 17, 362.97837755957545, 14.274156445799129, 348.7042211137763
2024/11/08, 09:30:00.749, 231918.86853286624, 382666.4936009726, 2.174843533761405, 368594.13833311934, 408594.183897884, 398423.1575876642, 19, 371.8370896504477, 14.274156445799129, 357.5629332046486
2024/11/08, 09:45:00.909, 138726.94706835135, 385905.42322304443, 4.443200528969363, 358631.0522475105, 396917.8024465073, 387673.0858810774, 18, 340.31521099268076, 14.274156445799129, 326.04105454688164
2024/11/08, 10:00:00.888, 194351.11308802667, 387248.18338250555, 2.994023568534294, 361751.51516512973, 399115.21076306934, 391326.34816298285, 22, 344.8442348097992, 14.274156445799129, 330.5700783640001
2024/11/08, 10:15:00.895, 418408.3356510396, 375067.49908483785, -0.4749089544475288, 362211.9112508597, 404262.614022702, 397232.5082382238, 12, 172.44289239303555, 14.274156445799129, 158.16873594723643
2024/11/08, 10:30:00.918, 153928.3563481641, 386668.3056472113, 4.00019943376304, 365291.52277823247, 402178.1585664853, 393168.37854011054, 26, 347.0413036945731, 14.274156445799129, 332.767147248774
2024/11/08, 10:45:01.002, 218203.31228906612, 380466.04439682746, 2.414545643665887, 362987.8166562753, 404262.614022702, 395849.264110418, 22, 368.6907736602021, 14.274156445799129, 354.416617214403
2024/11/08, 11:00:01.046, 243744.7557165583, 394198.2192829781, 2.0877937768306323, 357580.78964617074, 392966.49487691134, 383977.7524692499, 46, 316.0090733617742, 14.274156445799129, 301.7349169159751
2024/11/08, 11:15:00.948, 156072.58085110007, 398241.4363140853, 4.068198335873064, 376013.79074793245, 420368.7259629215, 411445.8955306338, 21, 355.6515587142577, 14.274156445799129, 341.3774022684586
2024/11/08, 11:30:00.995, 147406.50982984234, 417387.84718377085, 4.520231363908614, 372916.67558960244, 416608.645527268, 406780.20015845535, 44, 325.2808397626194, 14.274156445799129, 311.0066833168203
2024/11/08, 11:45:01.046, 156056.1985904223, 401954.4297092149, 4.10895795507968, 354279.163680133, 404262.614022702, 396507.8785328991, 19, 330.8297238006954, 14.274156445799129, 316.55556735489625
2024/11/08, 12:00:01.015, 234368.4295953793, 393401.68729008595, 2.249371082571186, 346864.6963888103, 394673.57671964227, 387981.5991934897, 13, 326.96707064426414, 14.274156445799129, 312.692914198465
2024/11/08, 12:15:01.065, 303900.16605555953, 397167.2216607537, 1.1624246145331034, 338487.73364139674, 382181.361883815, 374817.7166946326, 11, 260.42595076074923, 14.274156445799129, 246.1517943149501
2024/11/08, 12:30:01.129, 166340.5082178062, 405433.63100226334, 3.8692174683798957, 348381.37285759253, 390769.08656034933, 383524.14501293085, 30, 308.33524584681356, 14.274156445799129, 294.06108940101444
2024/11/08, 12:45:01.044, 139960.12336400294, 412629.72849027684, 4.695561975143279, 348399.5394817031, 394673.57671964227, 386865.2234730049, 21, 307.41131689070784, 14.274156445799129, 293.1371604449087
2024/11/08, 13:00:01.212, 138958.7238243065, 407337.0923535453, 4.670681420327071, 338195.8754876958, 402543.62862538686, 396164.29999864445, 6, 324.52317494862575, 14.274156445799129, 310.24901850282663
2024/11/08, 13:15:01.141, 138455.33315335837, 414094.04967322, 4.757893009811765, 326876.20632389234, 369883.930111499, 363965.2056052159, 18, 279.12592986832277, 14.274156445799129, 264.85177342252365
2024/11/08, 13:30:01.185, 137739.28308084872, 418702.6148483802, 4.828478549252005, 312138.7420652798, 363163.72478581243, 357181.30551680765, 5, 267.11527203375834, 14.274156445799129, 252.84111558795922
2024/11/08, 13:45:01.216, 135968.78956337064, 407766.1907762309, 4.7697198282280615, 319276.54670900677, 363163.72478581243, 358249.51645118004, 6, 279.02298878641494, 14.274156445799129, 264.7488323406158
2024/11/08, 14:00:01.234, 138387.80036342787, 417126.54638718336, 4.791700233089022, 316672.0451385829, 365174.26445976814, 358041.6822373915, 14, 269.37922404222326, 14.274156445799129, 255.10506759642413
2024/11/08, 14:15:01.222, 175735.96052311972, 430284.4481413049, 3.888950101099788, 302748.61592317844, 350774.8572456601, 344824.9810164187, 19, 229.31573145260572, 14.274156445799129, 215.0415750068066
