time,temp_degC,precip_mm,irrad_W_m2
2025-03-09T07:50:00Z,7.9,0.0,280
2025-03-09T08:00:00Z,8.2,0.0,281
2025-03-09T08:20:00Z,9.1,0.0,402
2025-03-09T08:30:00Z,9.8,0.0,311
2025-03-09T08:50:00Z,10.1,0.0,419
2025-03-09T09:00:00Z,9.4,0.0,369
2025-03-09T09:20:00Z,10.2,0.0,534
2025-03-09T09:30:00Z,9.3,0.0,319
2025-03-09T09:50:00Z,10.2,0.0,380
2025-03-09T10:00:00Z,10.6,0.0,378
2025-03-09T10:20:00Z,12.1,0.0,470
2025-03-09T10:30:00Z,11.9,0.0,693
2025-03-09T10:50:00Z,12.3,0.0,472
2025-03-09T11:00:00Z,12.3,0.0,362
2025-03-09T11:20:00Z,12.6,0.0,426
2025-03-09T11:30:00Z,12.2,0.0,381
2025-03-09T11:50:00Z,12.8,0.0,284
2025-03-09T12:00:00Z,13.9,0.0,450
2025-03-09T12:20:00Z,13.6,0.0,568
2025-03-09T12:30:00Z,13.6,0.0,462
2025-03-09T12:50:00Z,13.6,0.0,446
2025-03-09T13:00:00Z,13.3,0.0,373
2025-03-09T13:20:00Z,14.0,0.0,309
2025-03-09T13:30:00Z,13.1,0.0,236
2025-03-09T13:50:00Z,13.3,0.0,225
2025-03-09T14:00:00Z,13.2,0.0,200
2025-03-09T14:20:00Z,13.2,0.0,96
2025-03-09T14:30:00Z,13.3,0.0,71
