time,temp_degC,precip_mm,irrad_W_m2
2025-05-21T07:40:00Z,16.4,0.0,432
2025-05-21T08:00:00Z,16.0,0.0,400
2025-05-21T08:20:00Z,16.8,0.0,408
2025-05-21T08:30:00Z,16.7,0.0,408
2025-05-21T08:50:00Z,17.8,0.0,600
2025-05-21T09:00:00Z,17.6,0.0,600
2025-05-21T09:20:00Z,18.8,0.0,806
2025-05-21T09:20:00Z,18.8,0.0,806
2025-05-21T09:40:00Z,19.8,0.0,965
2025-05-21T09:50:00Z,20.6,0.0,715
2025-05-21T10:10:00Z,20.4,0.0,811
2025-05-21T10:30:00Z,19.9,0.0,880
2025-05-21T10:40:00Z,19.3,0.0,603
2025-05-21T10:50:00Z,19.7,0.0,478
2025-05-21T11:20:00Z,19.3,0.0,495
2025-05-21T11:30:00Z,20.0,0.0,453
2025-05-21T11:50:00Z,18.8,0.0,145
2025-05-21T12:00:00Z,18.9,0.0,111
2025-05-21T12:20:00Z,18.6,0.0,169
2025-05-21T12:30:00Z,19.0,0.1,328
2025-05-21T12:50:00Z,18.9,0.0,186
2025-05-21T13:00:00Z,18.9,0.0,186
2025-05-21T13:20:00Z,18.5,0.0,119
2025-05-21T13:20:00Z,18.5,0.2,185
2025-05-21T13:40:00Z,18.8,0.0,233
2025-05-21T13:50:00Z,18.5,0.0,360
2025-05-21T14:20:00Z,18.7,0.0,294
2025-05-21T14:30:00Z,19.2,0.0,294
