time,temp_degC,precip_mm,irrad_W_m2
2025-01-29T07:50:00Z,3.0,0.0,31
2025-01-29T08:00:00Z,3.3,0.0,123
2025-01-29T08:20:00Z,3.4,0.0,152
2025-01-29T08:20:00Z,3.4,0.0,203
2025-01-29T08:40:00Z,3.5,0.0,250
2025-01-29T08:50:00Z,4.4,0.0,273
2025-01-29T09:20:00Z,5.5,0.0,294
2025-01-29T09:30:00Z,5.5,0.0,334
2025-01-29T09:50:00Z,6.1,0.0,370
2025-01-29T10:00:00Z,6.5,0.0,386
2025-01-29T10:20:00Z,5.8,0.0,414
2025-01-29T10:30:00Z,6.1,0.0,425
2025-01-29T10:40:00Z,7.5,0.0,446
2025-01-29T11:00:00Z,8.6,0.0,454
2025-01-29T11:20:00Z,6.9,0.0,459
2025-01-29T11:30:00Z,7.4,0.0,449
2025-01-29T11:50:00Z,7.6,0.0,438
2025-01-29T12:00:00Z,7.9,0.0,433
2025-01-29T12:20:00Z,8.1,0.0,375
2025-01-29T12:30:00Z,8.4,0.0,372
2025-01-29T12:50:00Z,8.5,0.0,369
2025-01-29T13:00:00Z,8.5,0.0,337
2025-01-29T13:20:00Z,8.6,0.0,344
2025-01-29T13:30:00Z,8.3,0.0,329
2025-01-29T13:50:00Z,8.6,0.0,254
2025-01-29T13:50:00Z,8.6,0.0,303
2025-01-29T14:20:00Z,9.5,0.0,301
2025-01-29T14:30:00Z,9.4,0.0,281
