time,temp_degC,precip_mm,irrad_W_m2
2024-11-13 08:00:00,5.3,0.0,192.0
2024-11-13 08:10:00,5.6,0.0,214.0
2024-11-13 08:20:00,6.8,0.0,238.0
2024-11-13 08:30:00,7.1,0.0,261.0
2024-11-13 08:40:00,7.2,0.0,283.0
2024-11-13 08:50:00,7.4,0.0,304.0
2024-11-13 09:00:00,7.6,0.0,324.0
2024-11-13 09:10:00,8.2,0.0,343.0
2024-11-13 09:20:00,7.9,0.0,361.0
2024-11-13 09:30:00,7.9,0.0,378.0
2024-11-13 09:40:00,9.4,0.0,398.0
2024-11-13 09:50:00,8.6,0.0,419.0
2024-11-13 10:00:00,10.0,0.0,435.0
2024-11-13 10:10:00,9.7,0.0,471.0
2024-11-13 10:20:00,10.1,0.0,434.0
2024-11-13 10:30:00,10.3,0.0,391.0
2024-11-13 10:40:00,9.6,0.0,465.0
2024-11-13 10:50:00,10.3,0.0,443.0
2024-11-13 11:00:00,9.9,0.0,419.0
2024-11-13 11:10:00,10.4,0.0,397.0
2024-11-13 11:20:00,10.3,0.0,321.0
2024-11-13 11:30:00,10.3,0.0,330.0
2024-11-13 11:40:00,10.7,0.0,339.0
2024-11-13 11:50:00,10.9,0.0,373.0
2024-11-13 12:00:00,10.9,0.0,304.0
2024-11-13 12:10:00,10.4,0.0,209.0
2024-11-13 12:20:00,11.0,0.0,249.0
2024-11-13 12:30:00,11.4,0.0,402.0
2024-11-13 12:40:00,10.9,0.0,363.0
2024-11-13 12:50:00,11.9,0.0,385.0
2024-11-13 13:00:00,10.8,0.0,397.0
2024-11-13 13:10:00,11.9,0.0,365.0
2024-11-13 13:20:00,11.9,0.0,343.0
2024-11-13 13:30:00,11.1,0.0,316.0
2024-11-13 13:40:00,11.8,0.0,299.0
2024-11-13 13:50:00,11.1,0.0,278.0
2024-11-13 14:00:00,11.3,0.0,256.0
2024-11-13 14:10:00,11.5,0.0,235.0
2024-11-13 14:20:00,11.1,0.0,211.0
2024-11-13 14:30:00,11.3,0.0,186.0
2024-11-13 14:40:00,11.1,0.0,161.0
2024-11-13 14:50:00,11.3,0.0,136.0
2024-11-13 15:00:00,11.3,0.0,110.0
2024-11-13 15:10:00,10.6,0.0,55.0
2024-11-13 15:20:00,9.3,0.0,17.0
2024-11-13 15:30:00,9.9,0.0,13.0
2024-11-13 15:40:00,10.2,0.0,9.0
2024-11-13 15:50:00,10.4,0.0,4.0
