time,temp_degC,precip_mm,irrad_W_m2
2024-11-08 08:00:00,8.8,0.0,208.0
2024-11-08 08:10:00,8.5,0.0,231.0
2024-11-08 08:20:00,9.0,0.0,255.0
2024-11-08 08:30:00,8.5,0.0,242.0
2024-11-08 08:40:00,9.1,0.0,295.0
2024-11-08 08:50:00,9.7,0.0,317.0
2024-11-08 09:00:00,9.6,0.0,337.0
2024-11-08 09:10:00,9.6,0.0,355.0
2024-11-08 09:20:00,10.4,0.0,374.0
2024-11-08 09:30:00,9.7,0.0,388.0
2024-11-08 09:40:00,11.3,0.0,394.0
2024-11-08 09:50:00,10.7,0.0,405.0
2024-11-08 10:00:00,11.2,0.0,389.0
2024-11-08 10:10:00,10.6,0.0,356.0
2024-11-08 10:20:00,12.0,0.0,375.0
2024-11-08 10:30:00,11.6,0.0,395.0
2024-11-08 10:40:00,11.6,0.0,400.0
2024-11-08 10:50:00,11.7,0.0,410.0
2024-11-08 11:00:00,11.1,0.0,353.0
2024-11-08 11:10:00,11.4,0.0,304.0
2024-11-08 11:20:00,11.5,0.0,314.0
2024-11-08 11:30:00,10.8,0.0,252.0
2024-11-08 11:40:00,12.2,0.0,282.0
2024-11-08 11:50:00,12.3,0.0,372.0
2024-11-08 12:00:00,12.9,0.0,429.0
2024-11-08 12:10:00,13.0,0.0,444.0
2024-11-08 12:20:00,12.7,0.0,410.0
2024-11-08 12:30:00,13.2,0.0,381.0
2024-11-08 12:40:00,12.4,0.0,301.0
2024-11-08 12:50:00,12.9,0.0,284.0
2024-11-08 13:00:00,13.1,0.0,289.0
2024-11-08 13:10:00,13.3,0.0,299.0
2024-11-08 13:20:00,12.9,0.0,205.0
2024-11-08 13:30:00,13.4,0.0,232.0
2024-11-08 13:40:00,13.0,0.0,252.0
2024-11-08 13:50:00,13.0,0.0,224.0
2024-11-08 14:00:00,12.6,0.0,181.0
2024-11-08 14:10:00,12.8,0.0,151.0
2024-11-08 14:20:00,12.3,0.0,147.0
2024-11-08 14:30:00,12.8,0.0,189.0
2024-11-08 14:40:00,12.4,0.0,92.0
2024-11-08 14:50:00,12.4,0.0,94.0
2024-11-08 15:00:00,12.3,0.0,89.0
2024-11-08 15:10:00,12.1,0.0,63.0
2024-11-08 15:20:00,11.9,0.0,49.0
2024-11-08 15:30:00,12.0,0.0,41.0
2024-11-08 15:40:00,11.9,0.0,34.0
2024-11-08 15:50:00,11.8,0.0,20.0
