time,temp_degC,precip_mm,irrad_W_m2
2025-03-14T07:50:00Z,4.8,0.1,30
2025-03-14T08:00:00Z,4.7,0.2,29
2025-03-14T08:20:00Z,4.9,0.0,57
2025-03-14T08:30:00Z,5.0,0.1,84
2025-03-14T08:50:00Z,4.9,0.0,95
2025-03-14T09:00:00Z,5.0,0.0,95
2025-03-14T09:20:00Z,5.4,0.1,62
2025-03-14T09:30:00Z,5.2,0.2,60
2025-03-14T09:50:00Z,5.4,0.3,66
2025-03-14T10:00:00Z,5.6,0.3,72
2025-03-14T10:20:00Z,5.7,0.3,64
2025-03-14T10:20:00Z,5.7,0.4,68
2025-03-14T10:50:00Z,5.8,0.3,109
2025-03-14T11:00:00Z,6.0,0.3,112
2025-03-14T11:20:00Z,5.9,0.1,119
2025-03-14T11:30:00Z,6.3,0.1,142
2025-03-14T11:50:00Z,7.1,0.0,209
2025-03-14T12:00:00Z,6.8,0.1,227
2025-03-14T12:20:00Z,6.7,0.0,313
2025-03-14T12:30:00Z,7.2,0.0,334
2025-03-14T13:00:00Z,7.4,0.0,157
2025-03-14T13:20:00Z,7.3,0.0,141
2025-03-14T13:30:00Z,7.1,0.0,132
2025-03-14T13:50:00Z,7.0,0.0,80
2025-03-14T14:00:00Z,7.1,0.0,74
2025-03-14T14:20:00Z,7.8,0.0,228
2025-03-14T14:30:00Z,7.7,0.0,195
2025-03-14T22:50:00Z,6.9,0.0,0
2025-03-14T22:50:00Z,6.9,0.0,0
2025-03-14T23:20:00Z,6.8,0.0,0
2025-03-14T23:30:00Z,6.8,0.0,0
