time,temp_degC,precip_mm,irrad_W_m2
2025-01-05 08:00:00,1.4,0.0,11.0
2025-01-05 08:10:00,2.3,0.0,17.0
2025-01-05 08:20:00,2.3,0.0,25.0
2025-01-05 08:30:00,1.9,0.0,36.0
2025-01-05 08:40:00,2.4,0.0,42.0
2025-01-05 08:50:00,2.2,0.0,60.0
2025-01-05 09:00:00,2.2,0.0,60.0
2025-01-05 09:10:00,2.5,0.0,62.0
2025-01-05 09:20:00,2.4,0.0,79.0
2025-01-05 09:30:00,2.2,0.0,89.0
2025-01-05 09:40:00,2.2,0.0,94.0
2025-01-05 09:50:00,2.5,0.0,107.0
2025-01-05 10:00:00,2.8,0.0,121.0
2025-01-05 10:10:00,2.8,0.0,130.0
2025-01-05 10:20:00,3.5,0.0,174.0
2025-01-05 10:30:00,3.7,0.0,147.0
2025-01-05 10:40:00,3.5,0.0,122.0
2025-01-05 10:50:00,3.4,0.0,125.0
2025-01-05 11:00:00,3.6,0.0,117.0
2025-01-05 11:10:00,3.1,0.0,104.0
2025-01-05 11:20:00,3.2,0.0,120.0
2025-01-05 11:30:00,3.2,0.0,159.0
2025-01-05 11:40:00,3.7,0.0,151.0
2025-01-05 11:50:00,3.6,0.0,159.0
2025-01-05 12:00:00,3.7,0.0,126.0
2025-01-05 12:10:00,3.7,0.0,124.0
2025-01-05 12:20:00,3.9,0.0,138.0
2025-01-05 12:30:00,3.7,0.0,123.0
2025-01-05 12:40:00,3.9,0.0,129.0
2025-01-05 12:50:00,4.1,0.0,132.0
2025-01-05 13:00:00,3.9,0.0,131.0
2025-01-05 13:10:00,4.0,0.0,112.0
2025-01-05 13:20:00,3.8,0.0,105.0
2025-01-05 13:30:00,3.8,0.0,105.0
2025-01-05 13:40:00,3.8,0.0,93.0
2025-01-05 13:50:00,3.8,0.0,85.0
2025-01-05 14:00:00,3.8,0.0,79.0
2025-01-05 14:10:00,4.0,0.0,80.0
2025-01-05 14:20:00,3.8,0.0,63.0
2025-01-05 14:30:00,4.0,0.0,48.0
2025-01-05 14:40:00,4.0,0.0,39.0
2025-01-05 14:50:00,3.9,0.0,31.0
2025-01-05 15:00:00,3.9,0.0,21.0
2025-01-05 15:10:00,3.8,0.0,12.0
2025-01-05 15:20:00,3.8,0.0,8.0
2025-01-05 15:30:00,3.8,0.0,6.0
2025-01-05 15:40:00,3.6,0.0,3.0
2025-01-05 15:50:00,3.7,0.0,1.0
