time,temp_degC,precip_mm,irrad_W_m2
2025-01-18 08:00:00,3.5,0.0,65.0
2025-01-18 08:10:00,2.5,0.0,120.0
2025-01-18 08:20:00,4.1,0.0,216.0
2025-01-18 08:30:00,6.1,0.0,222.0
2025-01-18 08:40:00,4.7,0.0,199.0
2025-01-18 08:50:00,4.1,0.0,140.0
2025-01-18 09:00:00,4.5,0.0,119.0
2025-01-18 09:10:00,4.8,0.0,136.0
2025-01-18 09:20:00,4.1,0.0,144.0
2025-01-18 09:30:00,4.0,0.0,142.0
2025-01-18 09:40:00,5.3,0.0,165.0
2025-01-18 09:50:00,5.7,0.0,201.0
2025-01-18 10:00:00,6.2,0.0,210.0
2025-01-18 10:10:00,5.6,0.0,226.0
2025-01-18 10:20:00,6.4,0.0,231.0
2025-01-18 10:30:00,7.9,0.0,206.0
2025-01-18 10:40:00,7.3,0.0,240.0
2025-01-18 10:50:00,7.3,0.0,234.0
2025-01-18 11:00:00,6.7,0.0,249.0
2025-01-18 11:10:00,7.3,0.0,246.0
2025-01-18 11:20:00,6.7,0.0,240.0
2025-01-18 11:30:00,7.2,0.0,239.0
2025-01-18 11:40:00,8.5,0.0,272.0
2025-01-18 11:50:00,7.6,0.0,253.0
2025-01-18 12:00:00,8.8,0.0,370.0
2025-01-18 12:10:00,10.6,0.0,552.0
2025-01-18 12:20:00,9.2,0.0,436.0
2025-01-18 12:30:00,9.6,0.0,417.0
2025-01-18 12:40:00,9.2,0.0,412.0
2025-01-18 12:50:00,9.9,0.0,394.0
2025-01-18 13:00:00,10.2,0.0,382.0
2025-01-18 13:10:00,10.0,0.0,362.0
2025-01-18 13:20:00,11.5,0.0,347.0
2025-01-18 13:30:00,11.5,0.0,332.0
2025-01-18 13:40:00,10.5,0.0,315.0
2025-01-18 13:50:00,9.9,0.0,297.0
2025-01-18 14:00:00,9.8,0.0,278.0
2025-01-18 14:10:00,9.3,0.0,258.0
2025-01-18 14:20:00,8.7,0.0,237.0
2025-01-18 14:30:00,8.9,0.0,217.0
2025-01-18 14:40:00,8.3,0.0,195.0
2025-01-18 14:50:00,8.3,0.0,110.0
2025-01-18 15:00:00,8.2,0.0,45.0
2025-01-18 15:10:00,7.9,0.0,44.0
2025-01-18 15:20:00,8.1,0.0,43.0
2025-01-18 15:30:00,8.4,0.0,34.0
2025-01-18 15:40:00,8.3,0.0,24.0
2025-01-18 15:50:00,8.5,0.0,14.0
