time,temp_degC,precip_mm,irrad_W_m2
2025-04-27T07:50:00Z,14.4,0.0,312
2025-04-27T08:00:00Z,14.2,0.0,311
2025-04-27T08:10:00Z,14.1,0.0,300
2025-04-27T08:30:00Z,14.2,0.0,347
2025-04-27T08:50:00Z,14.9,0.0,368
2025-04-27T09:00:00Z,15.3,0.0,381
2025-04-27T09:10:00Z,15.1,0.0,416
2025-04-27T09:30:00Z,14.8,0.0,447
2025-04-27T09:50:00Z,15.6,0.0,449
2025-04-27T10:00:00Z,16.2,0.0,572
2025-04-27T10:20:00Z,16.4,0.0,631
2025-04-27T10:30:00Z,16.2,0.0,575
2025-04-27T10:40:00Z,16.0,0.0,401
2025-04-27T11:00:00Z,15.5,0.0,401
2025-04-27T11:20:00Z,15.6,0.0,289
2025-04-27T11:30:00Z,15.5,0.0,297
2025-04-27T11:50:00Z,16.6,0.0,534
2025-04-27T12:00:00Z,16.2,0.0,495
2025-04-27T12:20:00Z,16.8,0.0,439
2025-04-27T12:30:00Z,17.0,0.0,451
2025-04-27T12:50:00Z,16.5,0.0,319
2025-04-27T13:00:00Z,16.4,0.0,219
2025-04-27T13:20:00Z,17.0,0.0,253
2025-04-27T13:30:00Z,16.2,0.0,324
2025-04-27T13:50:00Z,16.6,0.0,308
2025-04-27T14:00:00Z,16.8,0.0,304
2025-04-27T14:20:00Z,17.2,0.0,317
2025-04-27T14:30:00Z,17.4,0.0,343
2025-04-27T22:50:00Z,13.9,0.0,0
2025-04-27T23:00:00Z,13.8,0.0,0
2025-04-27T23:20:00Z,13.4,0.0,0
2025-04-27T23:30:00Z,13.6,0.0,0
