time,temp_degC,precip_mm,irrad_W_m2
2024-11-03 08:00:00,11.9,0.0,221.0
2024-11-03 08:10:00,12.5,0.0,242.0
2024-11-03 08:20:00,11.4,0.0,264.0
2024-11-03 08:30:00,11.9,0.0,270.0
2024-11-03 08:40:00,12.8,0.0,285.0
2024-11-03 08:50:00,12.2,0.0,310.0
2024-11-03 09:00:00,12.3,0.0,338.0
2024-11-03 09:10:00,12.2,0.0,345.0
2024-11-03 09:20:00,13.3,0.0,368.0
2024-11-03 09:30:00,14.0,0.0,383.0
2024-11-03 09:40:00,14.0,0.0,408.0
2024-11-03 09:50:00,13.8,0.0,423.0
2024-11-03 10:00:00,13.5,0.0,439.0
2024-11-03 10:10:00,13.3,0.0,449.0
2024-11-03 10:20:00,14.9,0.0,452.0
2024-11-03 10:30:00,15.3,0.0,473.0
2024-11-03 10:40:00,15.3,0.0,469.0
2024-11-03 10:50:00,15.6,0.0,493.0
2024-11-03 11:00:00,15.4,0.0,493.0
2024-11-03 11:10:00,15.1,0.0,487.0
2024-11-03 11:20:00,16.0,0.0,469.0
2024-11-03 11:30:00,16.6,0.0,475.0
2024-11-03 11:40:00,15.8,0.0,474.0
2024-11-03 11:50:00,15.4,0.0,475.0
2024-11-03 12:00:00,14.9,0.0,466.0
2024-11-03 12:10:00,15.5,0.0,429.0
2024-11-03 12:20:00,15.4,0.0,403.0
2024-11-03 12:30:00,15.4,0.0,414.0
2024-11-03 12:40:00,15.1,0.0,409.0
2024-11-03 12:50:00,15.6,0.0,369.0
2024-11-03 13:00:00,16.3,0.0,371.0
2024-11-03 13:10:00,16.2,0.0,360.0
2024-11-03 13:20:00,16.0,0.0,359.0
2024-11-03 13:30:00,16.2,0.0,344.0
2024-11-03 13:40:00,15.8,0.0,310.0
2024-11-03 13:50:00,16.1,0.0,284.0
2024-11-03 14:00:00,16.0,0.0,271.0
2024-11-03 14:10:00,15.6,0.0,257.0
2024-11-03 14:20:00,15.8,0.0,222.0
2024-11-03 14:30:00,15.8,0.0,177.0
2024-11-03 14:40:00,16.0,0.0,195.0
2024-11-03 14:50:00,16.0,0.0,161.0
2024-11-03 15:00:00,15.5,0.0,118.0
2024-11-03 15:10:00,15.5,0.0,85.0
2024-11-03 15:20:00,15.2,0.0,45.0
2024-11-03 15:30:00,15.2,0.0,31.0
2024-11-03 15:40:00,14.6,0.0,24.0
2024-11-03 15:50:00,14.5,0.0,17.0
