time,temp_degC,precip_mm,irrad_W_m2
2024-12-13 08:00:00,1.4,0.0,43.0
2024-12-13 08:10:00,1.0,0.0,67.0
2024-12-13 08:20:00,1.6,0.0,141.0
2024-12-13 08:30:00,2.3,0.0,157.0
2024-12-13 08:40:00,1.9,0.0,166.0
2024-12-13 08:50:00,1.9,0.0,182.0
2024-12-13 09:00:00,2.1,0.0,236.0
2024-12-13 09:10:00,2.7,0.0,254.0
2024-12-13 09:20:00,3.3,0.0,287.0
2024-12-13 09:30:00,3.8,0.0,304.0
2024-12-13 09:40:00,3.2,0.0,298.0
2024-12-13 09:50:00,3.9,0.0,305.0
2024-12-13 10:00:00,4.2,0.0,329.0
2024-12-13 10:10:00,3.7,0.0,325.0
2024-12-13 10:20:00,3.7,0.0,314.0
2024-12-13 10:30:00,4.3,0.0,327.0
2024-12-13 10:40:00,4.3,0.0,377.0
2024-12-13 10:50:00,5.1,0.0,401.0
2024-12-13 11:00:00,5.7,0.0,390.0
2024-12-13 11:10:00,4.8,0.0,378.0
2024-12-13 11:20:00,4.4,0.0,373.0
2024-12-13 11:30:00,5.8,0.0,372.0
2024-12-13 11:40:00,3.8,0.0,235.0
2024-12-13 11:50:00,5.1,0.0,302.0
2024-12-13 12:00:00,5.6,0.0,352.0
2024-12-13 12:10:00,4.6,0.0,367.0
2024-12-13 12:20:00,5.9,0.0,362.0
2024-12-13 12:30:00,5.0,0.0,309.0
2024-12-13 12:40:00,6.1,0.0,267.0
2024-12-13 12:50:00,5.3,0.0,322.0
2024-12-13 13:00:00,6.2,0.0,309.0
2024-12-13 13:10:00,5.8,0.0,289.0
2024-12-13 13:20:00,6.1,0.0,265.0
2024-12-13 13:30:00,5.8,0.0,240.0
2024-12-13 13:40:00,5.5,0.0,224.0
2024-12-13 13:50:00,4.5,0.0,55.0
2024-12-13 14:00:00,4.3,0.0,53.0
2024-12-13 14:10:00,4.2,0.0,57.0
2024-12-13 14:20:00,4.6,0.0,54.0
2024-12-13 14:30:00,4.5,0.0,45.0
2024-12-13 14:40:00,4.5,0.0,37.0
2024-12-13 14:50:00,4.6,0.0,36.0
2024-12-13 15:00:00,4.6,0.0,31.0
2024-12-13 15:10:00,4.5,0.0,17.0
2024-12-13 15:20:00,4.5,0.0,9.0
2024-12-13 15:30:00,4.4,0.0,5.0
2024-12-13 15:40:00,4.4,0.0,2.0
2024-12-13 15:50:00,4.4,0.0,0.0
