time,temp_degC,precip_mm,irrad_W_m2
2025-01-20 08:00:00,3.6,0.0,7.0
2025-01-20 08:10:00,3.9,0.0,11.0
2025-01-20 08:20:00,4.0,0.0,14.0
2025-01-20 08:30:00,4.2,0.0,20.0
2025-01-20 08:40:00,4.2,0.0,26.0
2025-01-20 08:50:00,4.4,0.0,33.0
2025-01-20 09:00:00,4.6,0.0,58.0
2025-01-20 09:10:00,4.7,0.0,61.0
2025-01-20 09:20:00,4.7,0.0,55.0
2025-01-20 09:30:00,4.7,0.0,67.0
2025-01-20 09:40:00,5.2,0.0,69.0
2025-01-20 09:50:00,4.4,0.0,66.0
2025-01-20 10:00:00,4.8,0.0,79.0
2025-01-20 10:10:00,5.1,0.0,93.0
2025-01-20 10:20:00,5.0,0.0,99.0
2025-01-20 10:30:00,5.1,0.0,112.0
2025-01-20 10:40:00,5.4,0.0,128.0
2025-01-20 10:50:00,5.3,0.0,180.0
2025-01-20 11:00:00,5.2,0.0,148.0
2025-01-20 11:10:00,5.3,0.0,181.0
2025-01-20 11:20:00,5.7,0.0,157.0
2025-01-20 11:30:00,5.2,0.0,132.0
2025-01-20 11:40:00,5.3,0.0,133.0
2025-01-20 11:50:00,5.7,0.0,135.0
2025-01-20 12:00:00,5.9,0.0,120.0
2025-01-20 12:10:00,5.6,0.0,112.0
2025-01-20 12:20:00,5.7,0.0,126.0
2025-01-20 12:30:00,5.7,0.0,134.0
2025-01-20 12:40:00,5.8,0.1,155.0
2025-01-20 12:50:00,6.2,0.0,133.0
2025-01-20 13:00:00,6.2,0.0,113.0
2025-01-20 13:10:00,5.6,0.0,84.0
2025-01-20 13:20:00,6.2,0.0,67.0
2025-01-20 13:30:00,5.6,0.0,52.0
2025-01-20 13:40:00,5.9,0.0,51.0
2025-01-20 13:50:00,5.9,0.1,54.0
2025-01-20 14:00:00,6.1,0.1,54.0
2025-01-20 14:10:00,5.9,0.0,47.0
2025-01-20 14:20:00,5.8,0.1,37.0
2025-01-20 14:30:00,5.6,0.0,30.0
2025-01-20 14:40:00,5.6,0.0,24.0
2025-01-20 14:50:00,6.2,0.1,20.0
2025-01-20 15:00:00,6.3,0.0,16.0
2025-01-20 15:10:00,6.1,0.1,15.0
2025-01-20 15:20:00,6.1,0.1,14.0
2025-01-20 15:30:00,5.6,0.1,10.0
2025-01-20 15:40:00,5.8,0.1,5.0
2025-01-20 15:50:00,6.1,0.0,2.0
