time,temp_degC,precip_mm,irrad_W_m2
2025-05-01T07:40:00Z,18.2,0.0,574
2025-05-01T08:00:00Z,19.2,0.0,602
2025-05-01T08:20:00Z,18.9,0.0,654
2025-05-01T08:30:00Z,19.7,0.0,679
2025-05-01T08:50:00Z,20.7,0.0,726
2025-05-01T09:00:00Z,20.9,0.0,749
2025-05-01T09:20:00Z,21.0,0.0,790
2025-05-01T09:30:00Z,21.0,0.0,808
2025-05-01T09:50:00Z,22.2,0.0,841
2025-05-01T10:00:00Z,21.5,0.0,854
2025-05-01T10:20:00Z,23.1,0.0,879
2025-05-01T10:30:00Z,23.1,0.0,890
2025-05-01T10:50:00Z,22.9,0.0,903
2025-05-01T11:00:00Z,24.9,0.0,907
2025-05-01T11:20:00Z,23.6,0.0,913
2025-05-01T11:30:00Z,23.6,0.0,914
2025-05-01T11:50:00Z,23.7,0.0,910
2025-05-01T12:00:00Z,24.2,0.0,906
2025-05-01T12:20:00Z,23.6,0.0,893
2025-05-01T12:30:00Z,24.1,0.0,886
2025-05-01T12:50:00Z,24.8,0.0,863
2025-05-01T13:00:00Z,24.1,0.0,850
2025-05-01T13:20:00Z,24.9,0.0,821
2025-05-01T13:30:00Z,25.1,0.0,806
2025-05-01T13:50:00Z,25.5,0.0,776
2025-05-01T14:00:00Z,26.4,0.0,750
2025-05-01T14:20:00Z,26.2,0.0,693
2025-05-01T14:30:00Z,26.0,0.0,667
