time,temp_degC,precip_mm,irrad_W_m2
2025-04-17T07:50:00Z,10.9,0.7,36
2025-04-17T08:00:00Z,10.6,0.2,52
2025-04-17T08:20:00Z,10.8,0.5,46
2025-04-17T08:30:00Z,11.1,1.0,98
2025-04-17T08:50:00Z,10.7,0.9,58
2025-04-17T09:00:00Z,12.0,0.7,149
2025-04-17T09:20:00Z,13.0,0.0,182
2025-04-17T09:30:00Z,12.8,0.0,182
2025-04-17T09:50:00Z,11.9,0.0,89
2025-04-17T10:00:00Z,12.2,0.2,89
2025-04-17T10:20:00Z,12.7,0.0,562
2025-04-17T10:20:00Z,12.7,0.0,454
2025-04-17T10:50:00Z,15.5,0.0,866
2025-04-17T11:00:00Z,16.6,0.0,866
2025-04-17T11:20:00Z,16.0,0.0,650
2025-04-17T11:20:00Z,16.0,0.0,778
2025-04-17T11:50:00Z,14.5,0.0,315
2025-04-17T12:00:00Z,14.4,0.0,304
2025-04-17T12:20:00Z,15.4,0.0,481
2025-04-17T12:30:00Z,14.2,0.0,508
2025-04-17T12:50:00Z,14.3,0.0,279
2025-04-17T13:00:00Z,13.6,0.0,228
2025-04-17T13:20:00Z,13.3,0.0,235
2025-04-17T13:30:00Z,14.4,0.0,342
2025-04-17T13:50:00Z,15.0,0.0,766
2025-04-17T14:00:00Z,14.1,0.0,373
2025-04-17T14:20:00Z,14.2,0.0,312
2025-04-17T14:30:00Z,13.8,0.0,471
