time,temp_degC,precip_mm,irrad_W_m2
2025-05-10T07:50:00Z,13.7,0.0,631
2025-05-10T08:00:00Z,14.3,0.0,680
2025-05-10T08:20:00Z,16.1,0.0,871
2025-05-10T08:30:00Z,15.3,0.0,849
2025-05-10T08:50:00Z,15.0,0.0,549
2025-05-10T09:00:00Z,15.6,0.0,575
2025-05-10T09:20:00Z,14.9,0.0,510
2025-05-10T09:20:00Z,14.9,0.0,510
2025-05-10T09:50:00Z,15.2,0.0,801
2025-05-10T09:50:00Z,15.2,0.0,896
2025-05-10T10:20:00Z,16.4,0.0,764
2025-05-10T10:20:00Z,16.4,0.0,1159
2025-05-10T10:40:00Z,16.5,0.0,1155
2025-05-10T10:50:00Z,17.4,0.0,1155
2025-05-10T11:20:00Z,18.1,0.0,1067
2025-05-10T11:30:00Z,18.0,0.0,1128
2025-05-10T11:40:00Z,17.4,0.0,1210
2025-05-10T11:50:00Z,18.4,0.0,1182
2025-05-10T12:20:00Z,18.4,0.0,1032
2025-05-10T12:20:00Z,18.4,0.0,1032
2025-05-10T12:50:00Z,19.4,0.0,943
2025-05-10T13:00:00Z,18.7,0.0,942
2025-05-10T13:10:00Z,19.2,0.0,982
2025-05-10T13:30:00Z,19.3,0.0,914
2025-05-10T13:50:00Z,18.7,0.0,836
2025-05-10T14:00:00Z,18.8,0.0,836
2025-05-10T14:10:00Z,18.9,0.0,771
2025-05-10T14:20:00Z,18.6,0.0,771
