time,temp_degC,precip_mm,irrad_W_m2
2024-12-29 08:00:00,6.8,0.0,19.0
2024-12-29 08:10:00,6.3,0.0,23.0
2024-12-29 08:20:00,6.8,0.0,56.0
2024-12-29 08:30:00,7.8,0.0,144.0
2024-12-29 08:40:00,8.4,0.0,164.0
2024-12-29 08:50:00,8.6,0.0,185.0
2024-12-29 09:00:00,8.9,0.0,204.0
2024-12-29 09:10:00,8.6,0.0,223.0
2024-12-29 09:20:00,9.4,0.0,242.0
2024-12-29 09:30:00,10.5,0.0,259.0
2024-12-29 09:40:00,9.1,0.0,275.0
2024-12-29 09:50:00,9.4,0.0,289.0
2024-12-29 10:00:00,9.9,0.0,303.0
2024-12-29 10:10:00,9.8,0.0,316.0
2024-12-29 10:20:00,10.1,0.0,326.0
2024-12-29 10:30:00,10.8,0.0,336.0
2024-12-29 10:40:00,11.1,0.0,345.0
2024-12-29 10:50:00,11.2,0.0,351.0
2024-12-29 11:00:00,10.9,0.0,357.0
2024-12-29 11:10:00,11.7,0.0,361.0
2024-12-29 11:20:00,11.9,0.0,363.0
2024-12-29 11:30:00,11.8,0.0,364.0
2024-12-29 11:40:00,12.2,0.0,364.0
2024-12-29 11:50:00,12.1,0.0,361.0
2024-12-29 12:00:00,12.3,0.0,358.0
2024-12-29 12:10:00,11.4,0.0,353.0
2024-12-29 12:20:00,11.5,0.0,347.0
2024-12-29 12:30:00,12.3,0.0,340.0
2024-12-29 12:40:00,12.6,0.0,331.0
2024-12-29 12:50:00,13.0,0.0,320.0
2024-12-29 13:00:00,11.9,0.0,308.0
2024-12-29 13:10:00,11.2,0.0,295.0
2024-12-29 13:20:00,11.5,0.0,281.0
2024-12-29 13:30:00,11.7,0.0,265.0
2024-12-29 13:40:00,11.3,0.0,248.0
2024-12-29 13:50:00,11.3,0.0,230.0
2024-12-29 14:00:00,11.8,0.0,211.0
2024-12-29 14:10:00,11.1,0.0,191.0
2024-12-29 14:20:00,11.3,0.0,171.0
2024-12-29 14:30:00,10.8,0.0,150.0
2024-12-29 14:40:00,10.8,0.0,128.0
2024-12-29 14:50:00,10.7,0.0,106.0
2024-12-29 15:00:00,11.0,0.0,85.0
2024-12-29 15:10:00,10.8,0.0,46.0
2024-12-29 15:20:00,10.4,0.0,13.0
2024-12-29 15:30:00,10.3,0.0,9.0
2024-12-29 15:40:00,10.3,0.0,6.0
2024-12-29 15:50:00,9.9,0.0,2.0
