time,temp_degC,precip_mm,irrad_W_m2
2025-04-05T07:50:00Z,13.6,0.0,454
2025-04-05T07:50:00Z,13.6,0.0,454
2025-04-05T08:10:00Z,13.2,0.0,542
2025-04-05T08:30:00Z,13.6,0.0,569
2025-04-05T08:50:00Z,15.3,0.0,617
2025-04-05T09:00:00Z,15.1,0.0,641
2025-04-05T09:10:00Z,15.2,0.0,665
2025-04-05T09:30:00Z,16.4,0.0,703
2025-04-05T09:50:00Z,16.4,0.0,735
2025-04-05T10:00:00Z,17.7,0.0,735
2025-04-05T10:20:00Z,18.1,0.0,780
2025-04-05T10:30:00Z,17.3,0.0,791
2025-04-05T10:50:00Z,18.5,0.0,807
2025-04-05T11:00:00Z,19.2,0.0,811
2025-04-05T11:20:00Z,18.2,0.0,821
2025-04-05T11:20:00Z,18.2,0.0,821
2025-04-05T11:40:00Z,18.7,0.0,820
2025-04-05T11:50:00Z,20.2,0.0,817
2025-04-05T12:20:00Z,20.3,0.0,805
2025-04-05T12:30:00Z,19.5,0.0,796
2025-04-05T12:50:00Z,20.3,0.0,771
2025-04-05T13:00:00Z,20.2,0.0,756
2025-04-05T13:20:00Z,20.9,0.0,720
2025-04-05T13:30:00Z,20.6,0.0,704
2025-04-05T13:50:00Z,21.6,0.0,670
2025-04-05T13:50:00Z,21.6,0.0,650
2025-04-05T14:20:00Z,21.4,0.0,604
2025-04-05T14:30:00Z,21.3,0.0,581
2025-04-05T22:50:00Z,17.5,0.0,0
2025-04-05T22:50:00Z,17.5,0.0,0
2025-04-05T23:20:00Z,17.3,0.0,0
2025-04-05T23:30:00Z,17.0,0.0,0
