time,temp_degC,precip_mm,irrad_W_m2
2024-11-24 08:00:00,2.2,0.0,71.0
2024-11-24 08:10:00,3.8,0.0,84.0
2024-11-24 08:20:00,3.7,0.0,96.0
2024-11-24 08:30:00,4.0,0.0,111.0
2024-11-24 08:40:00,3.8,0.0,118.0
2024-11-24 08:50:00,3.4,0.0,130.0
2024-11-24 09:00:00,3.2,0.0,132.0
2024-11-24 09:10:00,3.5,0.0,139.0
2024-11-24 09:20:00,3.5,0.0,155.0
2024-11-24 09:30:00,4.5,0.0,242.0
2024-11-24 09:40:00,3.8,0.0,212.0
2024-11-24 09:50:00,4.7,0.0,209.0
2024-11-24 10:00:00,4.9,0.0,216.0
2024-11-24 10:10:00,4.7,0.0,238.0
2024-11-24 10:20:00,5.7,0.0,310.0
2024-11-24 10:30:00,5.5,0.0,305.0
2024-11-24 10:40:00,5.1,0.0,362.0
2024-11-24 10:50:00,5.4,0.0,365.0
2024-11-24 11:00:00,6.8,0.0,396.0
2024-11-24 11:10:00,6.1,0.0,323.0
2024-11-24 11:20:00,6.3,0.0,280.0
2024-11-24 11:30:00,5.8,0.0,251.0
2024-11-24 11:40:00,6.3,0.0,281.0
2024-11-24 11:50:00,6.6,0.0,350.0
2024-11-24 12:00:00,6.8,0.0,353.0
2024-11-24 12:10:00,6.3,0.0,293.0
2024-11-24 12:20:00,6.8,0.0,226.0
2024-11-24 12:30:00,6.4,0.0,172.0
2024-11-24 12:40:00,7.3,0.0,249.0
2024-11-24 12:50:00,7.9,0.0,301.0
2024-11-24 13:00:00,7.7,0.0,284.0
2024-11-24 13:10:00,7.6,0.0,309.0
2024-11-24 13:20:00,7.4,0.0,185.0
2024-11-24 13:30:00,7.3,0.0,187.0
2024-11-24 13:40:00,7.2,0.0,215.0
2024-11-24 13:50:00,7.8,0.0,221.0
2024-11-24 14:00:00,8.1,0.0,225.0
2024-11-24 14:10:00,7.6,0.0,181.0
2024-11-24 14:20:00,7.6,0.0,150.0
2024-11-24 14:30:00,7.6,0.0,139.0
2024-11-24 14:40:00,7.2,0.0,137.0
2024-11-24 14:50:00,7.5,0.0,121.0
2024-11-24 15:00:00,6.9,0.0,83.0
2024-11-24 15:10:00,7.1,0.0,41.0
2024-11-24 15:20:00,7.1,0.0,29.0
2024-11-24 15:30:00,6.9,0.0,16.0
2024-11-24 15:40:00,6.2,0.0,6.0
2024-11-24 15:50:00,6.0,0.0,0.0
