it_start_UT,it_end_UT,sfu_10640MHz,std_sfu_10640MHz,corr_sfu_10640MHz,corr_std_sfu_10640MHz,temp_K,precip_mm,global_irr_Wm2,quality_check_pointing,comment
2025-01-01 09:00:00,2025-01-01 10:00:00,345.67746862741217,8.16604446203344,345.67746862741217,8.16604446203344,278.1166666666666,0.0,247.16666666666663,1,
2025-01-01 11:00:00,2025-01-01 12:00:00,349.5353926724191,6.75460669037897,349.5353926724191,6.75460669037897,280.66666666666663,0.0,360.1666666666667,1,
2025-01-01 13:00:00,2025-01-01 14:00:00,350.491064391299,5.437728734812268,350.491064391299,5.437728734812268,281.65,0.0,269.5,1,
2025-01-02 09:00:00,2025-01-02 10:00:00,360.08760678199474,35.550536766313286,360.08760678199474,35.550536766313286,279.16666666666663,0.0,31.666666666666668,1,CI/DM 
2025-01-02 11:00:00,2025-01-02 12:00:00,352.5858869640384,8.562111401931292,352.5858869640384,8.562111401931292,279.5,0.0,146.83333333333334,1,CI/DM 
2025-01-02 13:00:00,2025-01-02 14:00:00,350.0689596781554,5.820901300838356,350.0689596781554,5.820901300838356,279.3666666666666,0.0,85.0,1,
2025-01-03 09:00:00,2025-01-03 10:00:00,342.86753672061224,36.01046077980893,342.86753672061224,36.01046077980893,281.75,0.0,264.6666666666667,1,CI/DM 
2025-01-03 11:00:00,2025-01-03 12:00:00,363.32582273639485,34.33230284243844,363.32582273639485,34.33230284243844,284.0333333333333,0.0,384.5,1,FL/IF 
2025-01-03 13:00:00,2025-01-03 14:00:00,341.7893681301594,5.564670772039179,341.7893681301594,5.564670772039179,284.21666666666664,0.0,294.5,1,
2025-01-04 09:00:00,2025-01-04 10:00:00,342.04663247328904,6.753536885996777,342.04663247328904,6.753536885996777,275.25,0.0,255.0,1,
2025-01-04 11:00:00,2025-01-04 12:00:00,334.67892346563985,5.030766489129765,334.67892346563985,5.030766489129765,276.76666666666665,0.0,300.8333333333333,1,
2025-01-04 13:00:00,2025-01-04 14:00:00,341.76990490944803,9.016030673216187,341.76990490944803,9.016030673216187,277.8833333333333,0.0,232.5,1,
2025-01-05 09:00:00,2025-01-05 10:00:00,355.3065770919529,14.87046831382584,355.3065770919529,14.87046831382584,275.4833333333333,0.0,81.83333333333333,1,
2025-01-05 11:00:00,2025-01-05 12:00:00,337.4668353371373,38.65804989239716,337.4668353371373,38.65804989239716,276.54999999999995,0.0,135.0,1,CI/DM 
2025-01-05 13:00:00,2025-01-05 14:00:00,329.9148305158858,3.998702131473975,329.9148305158858,3.998702131473975,277.0,0.0,105.16666666666669,1,
2025-01-06 09:00:00,2025-01-06 10:00:00,310.7319410291947,5.544751822789376,310.7319410291947,5.544751822789376,275.8833333333333,0.0,12.833333333333334,1,
2025-01-06 11:00:00,2025-01-06 12:00:00,297.04661211565906,11.987430809452192,297.04661211565906,11.987430809452192,276.29999999999995,3.1,18.83333333333333,1,PR 
2025-01-06 13:00:00,2025-01-06 14:00:00,301.6459622598498,15.675300099631135,301.6459622598498,15.675300099631135,276.31666666666666,1.9,10.333333333333334,1,PR 
2025-01-07 09:00:00,2025-01-07 10:00:00,308.9100353874491,10.009367573258697,308.9100353874491,10.009367573258697,276.81666666666666,0.0,274.5,1,
2025-01-07 11:00:00,2025-01-07 12:00:00,311.5098244262916,7.15657183046373,311.5098244262916,7.15657183046373,278.8333333333333,0.0,392.3333333333333,1,
2025-01-07 13:00:00,2025-01-07 14:00:00,311.1823279906613,7.300006204922722,311.1823279906613,7.300006204922722,279.95,0.0,300.3333333333333,1,
2025-01-08 09:00:00,2025-01-08 10:00:00,315.6412119040286,5.4631449666412255,315.6412119040286,5.4631449666412255,277.21666666666664,0.0,86.66666666666667,1,
2025-01-08 11:00:00,2025-01-08 12:00:00,311.23757331995967,5.769609979064391,311.23757331995967,5.769609979064391,278.35,0.0,86.66666666666667,1,
2025-01-08 13:00:00,2025-01-08 14:00:00,305.16245283584584,4.558946187424254,305.16245283584584,4.558946187424254,278.96666666666664,0.0,85.66666666666667,1,
2025-01-09 09:00:00,2025-01-09 10:00:00,308.6372629654167,6.419492884590282,308.6372629654167,6.419492884590282,277.81666666666666,0.0,76.83333333333333,1,
2025-01-09 11:00:00,2025-01-09 12:00:00,312.97530439769827,5.4804249623090175,312.97530439769827,5.4804249623090175,278.31666666666666,0.0,93.66666666666669,1,
2025-01-09 13:00:00,2025-01-09 14:00:00,307.20086312928936,4.436310703452915,307.20086312928936,4.436310703452915,278.7833333333333,0.0,73.83333333333333,1,
2025-01-10 09:00:00,2025-01-10 10:00:00,333.0561311957106,34.80712172704462,333.0561311957106,34.80712172704462,281.56666666666666,0.0,259.6666666666667,1,CI/DM 
2025-01-10 11:00:00,2025-01-10 12:00:00,321.9945252948272,4.2869464142353495,321.9945252948272,4.2869464142353495,281.9833333333333,0.0,158.0,1,
2025-01-10 13:00:00,2025-01-10 14:00:00,308.2178568864952,5.68224038746107,308.2178568864952,5.68224038746107,281.01666666666665,0.0,41.16666666666666,1,
2025-01-11 09:00:00,2025-01-11 10:00:00,300.2963136426385,6.932907529434864,300.2963136426385,6.932907529434864,275.01666666666665,0.0,92.83333333333331,1,
2025-01-11 11:00:00,2025-01-11 12:00:00,304.75895248540985,6.755012192620099,304.75895248540985,6.755012192620099,277.5833333333333,0.0,381.1666666666667,1,
2025-01-11 13:00:00,2025-01-11 14:00:00,300.8618282748655,6.130668858336169,300.8618282748655,6.130668858336169,278.9833333333333,0.0,308.1666666666667,1,
