it_start_UT,it_end_UT,sfu_10640MHz,std_sfu_10640MHz,corr_sfu_10640MHz,corr_std_sfu_10640MHz,temp_K,precip_mm,global_irr_Wm2,quality_check_pointing,comment
2024-10-28 09:00:00,2024-10-28 10:00:00,,,1.0,,288.2,0.0,422.3333333333333,1,TO 
2024-10-29 09:00:00,2024-10-29 10:00:00,,,,,288.01666666666665,0.0,415.3333333333333,1,TO 
2024-10-29 11:00:00,2024-10-29 12:00:00,343.6443571229915,8.757605224795215,343.6443571229915,8.757605224795215,290.71666666666664,0.0,500.6666666666667,1,
2024-10-29 13:00:00,2024-10-29 14:00:00,300.03127290924806,19.54230677844087,300.03127290924806,19.54230677844087,291.35,0.0,371.1666666666667,1,
2024-10-30 09:00:00,2024-10-30 10:00:00,,,,,288.3333333333333,0.0,416.0,1,TO 
2024-10-30 11:00:00,2024-10-30 12:00:00,354.90998428684554,15.422058005638728,354.90998428684554,15.422058005638728,290.7,0.0,499.5,1,
2024-10-30 13:00:00,2024-10-30 14:00:00,295.963526371754,15.557745825934964,295.963526371754,15.557745825934964,292.3333333333333,0.0,372.6666666666667,1,
2024-10-31 09:00:00,2024-10-31 10:00:00,,,,,288.26666666666665,0.0,410.1666666666667,1,TO 
2024-10-31 11:00:00,2024-10-31 12:00:00,322.22414522699427,25.33733209504088,322.22414522699427,25.33733209504088,290.5,0.0,496.3333333333333,1,
2024-10-31 13:00:00,2024-10-31 14:00:00,260.1672597481021,20.998070455572083,260.1672597481021,20.998070455572083,291.68333333333334,0.0,372.8333333333333,1,
2024-11-01 09:00:00,2024-11-01 10:00:00,,,,,288.5333333333333,0.0,408.0,1,TO 
2024-11-01 11:00:00,2024-11-01 12:00:00,321.2942333077611,12.56771082972922,321.2942333077611,12.56771082972922,290.21666666666664,0.0,493.6666666666667,1,
2024-11-01 13:00:00,2024-11-01 14:00:00,262.8968108857692,21.087493726115248,262.8968108857692,21.087493726115248,291.21666666666664,0.0,365.3333333333333,1,CI/DM 
2024-11-02 09:00:00,2024-11-02 10:00:00,,,,,287.3666666666666,0.0,408.6666666666667,1,TO 
2024-11-02 11:00:00,2024-11-02 12:00:00,284.92446018440654,14.188104058276563,284.92446018440654,14.188104058276563,289.6333333333333,0.0,493.3333333333333,1,CI/DM 
2024-11-02 13:00:00,2024-11-02 14:00:00,223.9524743509201,13.967010214262949,223.9524743509201,13.967010214262949,290.6166666666667,0.0,364.0,1,CI/DM 
2024-11-03 09:00:00,2024-11-03 10:00:00,,,,,286.41666666666663,0.0,377.5,1,TO 
2024-11-03 11:00:00,2024-11-03 12:00:00,300.43637356885785,11.771788930827093,300.43637356885785,11.771788930827093,288.8666666666667,0.0,478.8333333333333,1,
2024-11-03 13:00:00,2024-11-03 14:00:00,234.29859659410587,18.495245333979216,234.29859659410587,18.495245333979216,289.25,0.0,338.0,1,CI/DM 
2024-11-04 09:00:00,2024-11-04 10:00:00,,,,,285.2833333333333,0.0,402.5,1,TO 
2024-11-04 11:00:00,2024-11-04 12:00:00,298.77619271417615,12.953396517062115,298.77619271417615,12.953396517062115,287.54999999999995,0.0,488.1666666666667,1,
