DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 1.10028, 216.888,  15.158, New tracking position
 1.11694, 217.103,  15.063, On source in elevation
 1.11694, 217.103,  15.063, New tracking position
 1.13361, 217.318,  14.967, On source in elevation
 1.13361, 217.318,  14.967, New tracking position
 1.15028, 217.533,  24.871, Off source in elevation
 1.15028, 217.533,  24.871, New tracking position
 1.16694, 217.748,  24.775, Off source in elevation
 1.16694, 217.748,  24.775, New tracking position
 1.18361, 217.962,  24.678, Off source in elevation
 1.18361, 217.962,  24.678, New tracking position
 1.20028, 218.176,  14.581, On source in elevation
 1.20028, 218.176,  14.581, New tracking position
 1.21694, 218.390,  14.483, On source in elevation
 1.21694, 218.390,  14.483, New tracking position
 1.23361, 218.603,  14.385, On source in elevation
 1.23361, 218.603,  14.385, New tracking position
 1.25028, 218.816,  -8.000, Hot reference on ground (To)
 1.25028, 218.816,  -8.000, New tracking position
 1.26694, 219.028,  -8.000, Hot reference on ground (To)
 1.26694, 219.028,  -8.000, New tracking position
 1.28361, 219.241,  -8.000, Hot reference on ground (To)
 1.28361, 219.241,  -8.000, New tracking position
 1.30028, 219.453,  23.987, Off source in elevation
 1.30028, 219.453,  23.987, New tracking position
 1.31694, 219.664,  23.886, Off source in elevation
 1.31694, 219.664,  23.886, New tracking position
 1.33444, 219.886,  23.780, Off source in elevation
 1.33444, 219.886,  23.780, New tracking position
 1.35028, 220.086,  13.684, On source in elevation
 1.35028, 220.086,  13.684, New tracking position
 1.36694, 220.297,  13.582, On source in elevation
 1.36694, 220.297,  13.582, New tracking position
 1.38361, 220.507,  13.480, On source in elevation
 1.38361, 220.507,  13.480, New tracking position
 1.40028, 220.717,  23.377, Off source in elevation
 1.40028, 220.717,  23.377, New tracking position
 1.41694, 220.927,  23.274, Off source in elevation
 1.41694, 220.927,  23.274, New tracking position
 1.43361, 221.136,  23.170, Off source in elevation
 1.43361, 221.136,  23.170, New tracking position
 1.45028, 221.345,  13.066, On source in elevation
 1.45028, 221.345,  13.066, New tracking position
 1.46694, 221.554,  12.961, On source in elevation
 1.46694, 221.554,  12.961, New tracking position
 1.48361, 221.762,  12.856, On source in elevation
 1.48361, 221.762,  12.856, New tracking position
 1.50028, 221.970,  -8.000, Hot reference on ground (To)
 1.50028, 221.970,  -8.000, New tracking position
 1.51694, 222.178,  -8.000, Hot reference on ground (To)
 1.51694, 222.178,  -8.000, New tracking position
 1.53361, 222.385,  -8.000, Hot reference on ground (To)
 1.53361, 222.385,  -8.000, New tracking position
 1.55028, 222.592,  22.432, Off source in elevation
 1.55028, 222.592,  22.432, New tracking position
 1.56694, 222.799,  22.324, Off source in elevation
 1.56694, 222.799,  22.324, New tracking position
 1.58361, 223.005,  22.217, Off source in elevation
 1.58361, 223.005,  22.217, New tracking position
 1.60028, 223.211,  12.109, On source in elevation
 1.60028, 223.211,  12.109, New tracking position
 1.61694, 223.417,  12.000, On source in elevation
 1.61694, 223.417,  12.000, New tracking position
 1.63361, 223.622,  11.891, On source in elevation
 1.63361, 223.622,  11.891, New tracking position
 1.65028, 223.827,  21.782, Off source in elevation
 1.65028, 223.827,  21.782, New tracking position
 1.66694, 224.032,  21.672, Off source in elevation
 1.66694, 224.032,  21.672, New tracking position
 1.68361, 224.236,  21.562, Off source in elevation
 1.68361, 224.236,  21.562, New tracking position
 1.70028, 224.440,  11.452, On source in elevation
 1.70028, 224.440,  11.452, New tracking position
 1.71694, 224.644,  11.341, On source in elevation
 1.71694, 224.644,  11.341, New tracking position
 1.73361, 224.848,  11.230, On source in elevation
 1.73361, 224.848,  11.230, New tracking position
 1.75028, 225.051,  -8.000, Hot reference on ground (To)
 1.75028, 225.051,  -8.000, New tracking position
 1.76694, 225.254,  -8.000, Hot reference on ground (To)
 1.76694, 225.254,  -8.000, New tracking position
 1.78361, 225.456,  -8.000, Hot reference on ground (To)
 1.78361, 225.456,  -8.000, New tracking position
 1.80028, 225.658,  20.780, Off source in elevation
