DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 181.000,  59.600, Reference positions.

 0.00000, 145.000,  50.000, New tracking position
 0.01667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.01667, 145.000, -10.000, New tracking position
 0.03333,  20.165, -65.967, Back to the Sun
 0.03333, 160.835,-124.730, Rotor position possibly out of range
 0.03333,  20.165, -65.967, Sun position possibly out of range
 0.05000, 160.292,-124.673, Rotor position possibly out of range
 0.05000,  20.708, -65.906, Sun position possibly out of range
 0.06667, 159.751,-124.614, Rotor position possibly out of range
 0.06667,  21.249, -65.844, Sun position possibly out of range
 0.08333, 159.212,-124.553, Rotor position possibly out of range
 0.08333,  21.788, -65.781, Sun position possibly out of range
 0.10000, 158.676,-124.491, Rotor position possibly out of range
 0.10000,  22.324, -65.716, Sun position possibly out of range
 0.11667, 158.142,-124.427, Rotor position possibly out of range
 0.11667,  22.858, -65.649, Sun position possibly out of range
 0.13333, 157.611,-124.362, Rotor position possibly out of range
 0.13333,  23.389, -65.581, Sun position possibly out of range
 0.15000, 157.082,-124.295, Rotor position possibly out of range
 0.15000,  23.918, -65.512, Sun position possibly out of range
 0.16667, 156.556,-124.227, Rotor position possibly out of range
 0.16667,  24.444, -65.441, Sun position possibly out of range
 0.18333, 156.032,-124.157, Rotor position possibly out of range
 0.18333,  24.968, -65.368, Sun position possibly out of range
 0.20000, 155.511,-124.086, Rotor position possibly out of range
 0.20000,  25.489, -65.295, Sun position possibly out of range
 0.21667, 154.992,-124.013, Rotor position possibly out of range
 0.21667,  26.008, -65.219, Sun position possibly out of range
 0.23333, 154.476,-123.939, Rotor position possibly out of range
 0.23333,  26.524, -65.143, Sun position possibly out of range
 0.25000, 145.000,  50.000, Cold sky reference position (Tref = Tcold)
 0.25000, 145.000,  50.000, New tracking position
 0.26667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.26667, 145.000, -10.000, New tracking position
 0.28333,  28.055, -64.905, Back to the Sun
 0.28333, 152.945,-123.709, Rotor position possibly out of range
 0.28333,  28.055, -64.905, Sun position possibly out of range
 0.30000, 152.440,-123.630, Rotor position possibly out of range
 0.30000,  28.560, -64.822, Sun position possibly out of range
 0.31667, 151.938,-123.549, Rotor position possibly out of range
 0.31667,  29.062, -64.739, Sun position possibly out of range
 0.33333, 151.438,-123.467, Rotor position possibly out of range
 0.33333,  29.562, -64.654, Sun position possibly out of range
 0.35000, 150.942,-123.383, Rotor position possibly out of range
 0.35000,  30.058, -64.568, Sun position possibly out of range
 0.36667, 150.448,-123.299, Rotor position possibly out of range
 0.36667,  30.552, -64.481, Sun position possibly out of range
 0.38333, 149.957,-123.212, Rotor position possibly out of range
 0.38333,  31.043, -64.392, Sun position possibly out of range
 0.40000, 149.469,-123.125, Rotor position possibly out of range
 0.40000,  31.531, -64.302, Sun position possibly out of range
 0.41667, 148.983,-123.036, Rotor position possibly out of range
 0.41667,  32.017, -64.211, Sun position possibly out of range
 0.43333, 148.501,-122.947, Rotor position possibly out of range
 0.43333,  32.499, -64.119, Sun position possibly out of range
