DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 7.37250, 165.700,  43.000, Reference positions.

 7.39694, 123.547,  12.502, New tracking position
 7.40222, 123.611,  12.546, New tracking position
 7.40694, 123.669,  12.586, New tracking position
 7.41444, 123.761,  12.649, New tracking position
 7.42000, 123.830,  12.696, New tracking position
 7.42389, 123.878,  12.729, New tracking position
 7.42778, 123.925,  12.761, New tracking position
 7.43139, 123.970,  12.792, New tracking position
 7.43583, 124.024,  12.829, New tracking position
 7.43917, 124.066,  12.857, New tracking position
 7.44333, 124.117,  12.892, New tracking position
 7.44806, 124.175,  12.932, New tracking position
 7.53722, 125.279,  13.674, New tracking position
 7.54222, 125.341,  13.716, New tracking position
 7.54694, 125.400,  13.755, New tracking position
 7.55639, 125.518,  13.833, New tracking position
 7.55917, 125.552,  13.855, New tracking position
 7.56528, 125.629,  13.906, New tracking position
 7.56944, 125.681,  13.940, New tracking position
 7.57306, 125.726,  13.970, New tracking position
 7.57667, 125.771,  14.000, New tracking position
 7.58028,1462.184, -56.875, Rotor position possibly out of range
 7.58028, 125.816,  14.029, Sun position possibly out of range
 7.58361, 125.858,  14.057, New tracking position
 7.59917, 126.052,  14.184, New tracking position
 7.61139, 126.206,  14.284, New tracking position
 7.61500, 126.251,  14.314, New tracking position
 7.61861, 126.296,  14.343, New tracking position
 7.62083, 126.324,  14.362, New tracking position
 7.62389, 126.363,  14.387, New tracking position
 7.62778, 126.411,  14.418, New tracking position
 7.63556, 126.509,  14.482, New tracking position
 7.63944, 126.558,  14.513, New tracking position
 7.64333, 126.607,  14.545, New tracking position
 7.64639, 126.645,  14.570, New tracking position
 7.65056, 126.698,  14.604, New tracking position
 7.66667, 126.901,  14.735, New tracking position
 7.68333, 127.112,  14.870, New tracking position
 7.70000, 127.323,  15.005, New tracking position
 7.71667, 127.534,  15.139, New tracking position
 7.73333, 127.746,  15.273, New tracking position
 7.75028, 127.961,   5.409, Cold sky reference deviation in elevation
 7.75028, 127.961,   5.409, New tracking position
 7.76694, 128.174,  -8.000, Hot reference on ground (To)
 7.76694, 128.174,  -8.000, New tracking position
 7.78333, 128.383,  15.672, Back to the Sun
 7.78333, 128.383,  15.672, New tracking position
 7.80000, 128.596,  15.805, New tracking position
 7.81667, 128.810,  15.937, New tracking position
 7.83333, 129.024,  16.068, New tracking position
 7.85000, 129.239,  16.199, New tracking position
 7.86667, 129.453,  16.330, New tracking position
 7.88333, 129.669,  16.460, New tracking position
 7.90028, 129.885,  16.590, New tracking position
 7.91694, 130.101,  16.720, New tracking position
 7.93361, 130.321,  16.851, New tracking position
 7.95028, 130.538,  16.980, New tracking position
 7.96667, 130.752,  17.106, New tracking position
 7.98333, 130.970,  17.234, New tracking position
 8.00000, 131.188,   7.361, Cold sky reference deviation in elevation
 8.00000, 131.188,   7.361, New tracking position
 8.01667, 131.406,  -8.000, Hot reference on ground (To)
 8.01667, 131.406,  -8.000, New tracking position
 8.03333, 131.626,  17.615, Back to the Sun
 8.03333, 131.626,  17.615, New tracking position
 8.05000, 131.845,  17.741, New tracking position
 8.06667, 132.065,  17.867, New tracking position
 8.08333, 132.285,  17.993, New tracking position
 8.10000, 132.506,  18.117, New tracking position
 8.11667, 132.728,  18.242, New tracking position
 8.13333, 132.949,  18.366, New tracking position
 8.15028, 133.171,  18.490, New tracking position
 8.16694, 133.394,  18.613, New tracking position
 8.18361, 133.617,  18.735, New tracking position
 8.20028, 133.844,  18.860, New tracking position
 8.21667, 134.064,  18.979, New tracking position
 8.23333, 134.289,  19.101, New tracking position
 8.25000, 134.513,   9.222, Cold sky reference deviation in elevation
 8.25000, 134.513,   9.222, New tracking position
 8.26667, 134.739,  -8.000, Hot reference on ground (To)
 8.26667, 134.739,  -8.000, New tracking position
 8.28333, 134.964,  19.462, Back to the Sun
 8.28333, 134.964,  19.462, New tracking position
 8.30000, 135.191,  19.582, New tracking position
 8.31667, 135.417,  19.701, New tracking position
 8.33333, 135.644,  19.819, New tracking position
 8.35000, 135.872,  19.937, New tracking position
 8.36667, 136.100,  20.055, New tracking position
 8.38333, 136.328,  20.172, New tracking position
 8.40028, 136.557,  20.288, New tracking position
 8.41694, 136.786,  20.404, New tracking position
 8.43361, 137.020,  20.522, New tracking position
 8.45028, 137.250,  20.637, New tracking position
 8.46667, 137.477,  20.750, New tracking position
 8.48333, 137.708,  20.864, New tracking position
 8.50000, 137.940,  10.978, Cold sky reference deviation in elevation
 8.50000, 137.940,  10.978, New tracking position
 8.51667, 138.172,  -8.000, Hot reference on ground (To)
 8.51667, 138.172,  -8.000, New tracking position
 8.53333, 138.404,  21.203, Back to the Sun
 8.53333, 138.404,  21.203, New tracking position
 8.55000, 138.637,  21.315, New tracking position
 8.56667, 138.871,  21.427, New tracking position
 8.58333, 139.105,  21.538, New tracking position
 8.60000, 139.339,  21.649, New tracking position
 8.61667, 139.574,  21.759, New tracking position
 8.63333, 139.809,  21.868, New tracking position
 8.65000, 140.045,  21.977, New tracking position
 8.66667, 140.281,  22.085, New tracking position
 8.68361, 140.518,  22.193, New tracking position
 8.70028, 140.755,  22.301, New tracking position
 8.71694, 140.997,  22.409, New tracking position
 8.73361, 141.235,  22.515, New tracking position
 8.75000, 141.470,  12.619, Cold sky reference deviation in elevation
 8.75000, 141.470,  12.619, New tracking position
 8.76667, 141.709,  -8.000, Hot reference on ground (To)
 8.76667, 141.709,  -8.000, New tracking position
 8.78333, 141.948,  22.829, Back to the Sun
 8.78333, 141.948,  22.829, New tracking position
 8.80000, 142.188,  22.933, New tracking position
 8.81667, 142.429,  23.037, New tracking position
 8.83333, 142.670,  23.139, New tracking position
 8.85000, 142.911,  23.242, New tracking position
 8.86667, 143.153,  23.344, New tracking position
 8.88333, 143.396,  23.445, New tracking position
 8.90000, 143.638,  23.545, New tracking position
 8.91667, 143.882,  23.645, New tracking position
 8.93333, 144.126,  23.745, New tracking position
 8.95000, 144.370,  23.844, New tracking position
 8.96667, 144.614,  23.942, New tracking position
 8.98333, 144.860,  24.040, New tracking position
 9.00000, 145.105,  14.137, Cold sky reference deviation in elevation
 9.00000, 145.105,  14.137, New tracking position
 9.01667, 145.352,  -8.000, Hot reference on ground (To)
 9.01694, 145.352,  -8.000, New tracking position
 9.03361, 145.602,  24.331, Back to the Sun
 9.03361, 145.602,  24.331, New tracking position
 9.05000, 145.845,  24.425, New tracking position
 9.06667, 146.093,  24.519, New tracking position
 9.08333, 146.341,  24.613, New tracking position
 9.10000, 146.589,  24.707, New tracking position
 9.11667, 146.838,  24.800, New tracking position
 9.13333, 147.088,  24.892, New tracking position
 9.15000, 147.337,  24.984, New tracking position
 9.16667, 147.588,  25.075, New tracking position
 9.18333, 147.839,  25.165, New tracking position
 9.20000, 148.090,  25.255, New tracking position
 9.21667, 148.342,  25.344, New tracking position
 9.23333, 148.594,  25.433, New tracking position
 9.25000, 148.846,  15.520, Cold sky reference deviation in elevation
 9.25000, 148.846,  15.520, New tracking position
 9.26667, 149.099,  -8.000, Hot reference on ground (To)
 9.26667, 149.099,  -8.000, New tracking position
 9.28333, 149.353,  25.694, Back to the Sun
 9.28361, 149.353,  25.694, New tracking position
 9.30000, 149.607,  25.780, New tracking position
 9.31694, 149.866,  25.867, New tracking position
 9.33361, 150.121,  25.951, New tracking position
 9.35028, 150.376,  26.035, New tracking position
 9.36667, 150.628,  26.117, New tracking position
 9.38333, 150.884,  26.200, New tracking position
 9.40000, 151.141,  26.282, New tracking position
 9.41667, 151.398,  26.363, New tracking position
 9.43333, 151.655,  26.444, New tracking position
 9.45000, 151.913,  26.524, New tracking position
 9.46667, 152.172,  26.603, New tracking position
 9.48333, 152.431,  26.682, New tracking position
 9.50000, 152.690,  36.760, Cold sky reference deviation in elevation
 9.50000, 152.690,  36.760, New tracking position
 9.51667, 152.950,  -8.000, Hot reference on ground (To)
 9.51667, 152.950,  -8.000, New tracking position
 9.53333, 153.210,  26.914, Back to the Sun
 9.53333, 153.210,  26.914, New tracking position
 9.55000, 153.471,  26.990, New tracking position
 9.56694, 153.732,  27.065, New tracking position
 9.58361, 153.998,  27.141, New tracking position
 9.60028, 154.255,  27.213, New tracking position
 9.61694, 154.522,  27.287, New tracking position
 9.63361, 154.785,  27.360, New tracking position
 9.65000, 155.043,  27.430, New tracking position
 9.66667, 155.307,  27.501, New tracking position
 9.68333, 155.571,  27.572, New tracking position
 9.70000, 155.835,  27.641, New tracking position
 9.71667, 156.100,  27.710, New tracking position
 9.73333, 156.365,  27.778, New tracking position
 9.75000, 156.631,  37.846, Cold sky reference deviation in elevation
 9.75000, 156.631,  37.846, New tracking position
 9.76667, 156.897,  -8.000, Hot reference on ground (To)
 9.76694, 156.897,  -8.000, New tracking position
 9.78333, 157.164,  27.978, Back to the Sun
 9.78361, 157.164,  27.978, New tracking position
 9.80028, 157.430,  28.044, New tracking position
 9.81694, 157.702,  28.109, New tracking position
 9.83361, 157.970,  28.173, New tracking position
 9.85028, 158.238,  28.236, New tracking position
 9.86694, 158.506,  28.298, New tracking position
 9.88333, 158.770,  28.359, New tracking position
 9.90000, 159.039,  28.420, New tracking position
 9.91667, 159.309,  28.480, New tracking position
 9.93333, 159.579,  28.539, New tracking position
 9.95000, 159.849,  28.598, New tracking position
 9.96667, 160.119,  28.656, New tracking position
 9.98333, 160.390,  28.713, New tracking position
10.00000, 160.661,  38.769, Cold sky reference deviation in elevation
10.00000, 160.661,  38.769, New tracking position
10.01667, 160.933,  -8.000, Hot reference on ground (To)
10.01667, 160.933,  -8.000, New tracking position
10.03333, 161.205,  28.879, Back to the Sun
10.03333, 161.205,  28.879, New tracking position
10.05000, 161.477,  28.934, New tracking position
10.06667, 161.750,  28.987, New tracking position
10.08333, 162.023,  29.039, New tracking position
10.10000, 162.296,  29.091, New tracking position
10.11667, 162.570,  29.142, New tracking position
10.13333, 162.844,  29.192, New tracking position
