DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 180.500,  61.000, Reference positions.

 0.00000, 158.542,-106.581, Rotor position possibly out of range
 0.00000,  21.958, -44.662, Sun position possibly out of range
 0.01667,  22.364, -12.000, Hot reference on ground (To)
 0.01667, 158.136, -73.917, Rotor position possibly out of range
 0.01667,  22.364, -12.000, Sun position possibly out of range
 0.03333,  22.769, -54.531, Back to the Sun
 0.03333, 157.731,-116.445, Rotor position possibly out of range
 0.03333,  22.769, -54.531, Sun position possibly out of range
 0.05000, 157.327,-116.376, Rotor position possibly out of range
 0.05000,  23.173, -54.463, Sun position possibly out of range
 0.06667, 156.924,-116.305, Rotor position possibly out of range
 0.06667,  23.576, -54.395, Sun position possibly out of range
 0.08333, 156.523,-116.233, Rotor position possibly out of range
 0.08333,  23.977, -54.325, Sun position possibly out of range
 0.10000, 156.123,-116.160, Rotor position possibly out of range
 0.10000,  24.377, -54.254, Sun position possibly out of range
 0.11667, 155.724,-116.086, Rotor position possibly out of range
 0.11667,  24.776, -54.183, Sun position possibly out of range
 0.13333, 155.326,-116.011, Rotor position possibly out of range
 0.13333,  25.174, -54.110, Sun position possibly out of range
 0.15000, 154.930,-115.934, Rotor position possibly out of range
 0.15000,  25.570, -54.036, Sun position possibly out of range
 0.16667, 154.534,-115.857, Rotor position possibly out of range
 0.16667,  25.966, -53.961, Sun position possibly out of range
 0.18333, 154.141,-115.779, Rotor position possibly out of range
 0.18333,  26.359, -53.885, Sun position possibly out of range
 0.20000, 153.748,-115.699, Rotor position possibly out of range
 0.20000,  26.752, -53.808, Sun position possibly out of range
 0.21667, 153.357,-115.619, Rotor position possibly out of range
 0.21667,  27.143, -53.729, Sun position possibly out of range
 0.23333, 152.967,-115.537, Rotor position possibly out of range
 0.23333,  27.533, -53.650, Sun position possibly out of range
 0.25000,  27.921, -43.570, Cold sky reference deviation in elevation
 0.25000, 152.579,-105.455, Rotor position possibly out of range
 0.25000,  27.921, -43.570, Sun position possibly out of range
