DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 181.800,  60.500, Reference positions.

 7.00019, 145.000,  77.000, New tracking position
 7.01685, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01687, 145.000, -14.000, New tracking position
 7.03351, 105.963,  16.382, Back to the Sun
 7.03353, 105.963,  16.382, New tracking position
 7.05020, 106.157,  16.548, New tracking position
 7.06688, 106.352,  16.714, New tracking position
 7.08354, 106.547,  16.879, New tracking position
 7.10021, 106.742,  17.045, New tracking position
 7.11688, 106.938,  17.210, New tracking position
 7.13354, 107.134,  17.376, New tracking position
 7.15021, 107.330,  17.541, New tracking position
 7.16688, 107.527,  17.706, New tracking position
 7.18355, 107.724,  17.870, New tracking position
 7.20022, 107.921,  18.035, New tracking position
 7.21688, 108.119,  18.199, New tracking position
 7.23356, 108.317,  18.364, New tracking position
 7.25021, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25023, 145.000,  77.000, New tracking position
 7.26688, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26690, 145.000, -14.000, New tracking position
 7.28356, 108.913,  18.855, Back to the Sun
 7.28358, 108.913,  18.855, New tracking position
 7.30025, 109.113,  19.019, New tracking position
 7.31692, 109.312,  19.182, New tracking position
 7.33361, 109.513,  19.345, New tracking position
 7.35028, 109.713,  19.508, New tracking position
 7.36695, 109.914,  19.671, New tracking position
 7.38362, 110.116,  19.833, New tracking position
 7.40030, 110.321,  19.998, New tracking position
 7.41697, 110.523,  20.160, New tracking position
 7.43363, 110.726,  20.322, New tracking position
 7.45031, 110.929,  20.484, New tracking position
 7.46699, 111.132,  20.646, New tracking position
 7.48366, 111.336,  20.807, New tracking position
 7.50031, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50033, 145.000,  77.000, New tracking position
 7.51698, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51700, 145.000, -14.000, New tracking position
 7.53365, 111.951,  21.289, Back to the Sun
 7.53367, 111.951,  21.289, New tracking position
 7.55034, 112.156,  21.450, New tracking position
 7.56674, 112.359,  21.607, New tracking position
 7.58341, 112.565,  21.767, New tracking position
 7.60008, 112.772,  21.927, New tracking position
 7.61675, 112.979,  22.086, New tracking position
 7.63343, 113.187,  22.245, New tracking position
 7.65010, 113.396,  22.404, New tracking position
 7.66676, 113.604,  22.563, New tracking position
 7.68343, 113.813,  22.722, New tracking position
 7.70011, 114.023,  22.880, New tracking position
 7.71679, 114.233,  23.038, New tracking position
 7.73346, 114.444,  23.195, New tracking position
 7.75010, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75013, 145.000,  77.000, New tracking position
 7.76679, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76681, 145.000, -14.000, New tracking position
 7.78346, 115.079,  23.667, Back to the Sun
 7.78349, 115.079,  23.667, New tracking position
 7.80016, 115.291,  23.824, New tracking position
 7.81683, 115.504,  23.980, New tracking position
 7.83350, 115.718,  24.136, New tracking position
 7.85016, 115.932,  24.292, New tracking position
 7.86683, 116.147,  24.448, New tracking position
 7.88350, 116.362,  24.603, New tracking position
 7.90016, 116.577,  24.758, New tracking position
 7.91683, 116.793,  24.912, New tracking position
 7.93350, 117.010,  25.067, New tracking position
 7.95018, 117.227,  25.221, New tracking position
 7.96684, 117.445,  25.375, New tracking position
 7.98351, 117.663,  25.528, New tracking position
 8.00016, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00018, 145.000,  77.000, New tracking position
 8.01682, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01684, 145.000, -14.000, New tracking position
 8.03349, 118.321,  25.987, Back to the Sun
 8.03351, 118.321,  25.987, New tracking position
 8.05019, 118.542,  26.139, New tracking position
 8.06686, 118.763,  26.291, New tracking position
 8.08352, 118.985,  26.443, New tracking position
 8.10020, 119.207,  26.594, New tracking position
 8.11688, 119.429,  26.745, New tracking position
 8.13355, 119.653,  26.896, New tracking position
 8.15021, 119.877,  27.046, New tracking position
 8.16688, 120.101,  27.196, New tracking position
 8.18355, 120.326,  27.346, New tracking position
 8.20021, 120.552,  27.495, New tracking position
 8.21688, 120.778,  27.644, New tracking position
 8.23356, 121.005,  27.793, New tracking position
 8.25021, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.25023, 145.000,  77.000, New tracking position
 8.26687, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.26689, 145.000, -14.000, New tracking position
 8.28355, 121.689,  28.237, Back to the Sun
 8.28357, 121.689,  28.237, New tracking position
 8.30023, 121.919,  28.384, New tracking position
 8.31690, 122.149,  28.531, New tracking position
 8.33357, 122.379,  28.677, New tracking position
 8.35023, 122.610,  28.823, New tracking position
 8.36690, 122.842,  28.969, New tracking position
 8.38357, 123.075,  29.114, New tracking position
 8.40024, 123.308,  29.259, New tracking position
 8.41690, 123.541,  29.404, New tracking position
 8.43357, 123.776,  29.548, New tracking position
 8.45025, 124.011,  29.692, New tracking position
 8.46691, 124.247,  29.835, New tracking position
 8.48358, 124.483,  29.978, New tracking position
 8.50023, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.50025, 145.000,  77.000, New tracking position
 8.51690, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.51692, 145.000, -14.000, New tracking position
 8.53356, 125.196,  30.405, Back to the Sun
 8.53358, 125.196,  30.405, New tracking position
 8.55026, 125.435,  30.546, New tracking position
 8.56693, 125.675,  30.687, New tracking position
 8.58359, 125.915,  30.828, New tracking position
 8.60026, 126.157,  30.968, New tracking position
 8.61693, 126.398,  31.108, New tracking position
 8.63359, 126.641,  31.247, New tracking position
 8.65026, 126.884,  31.386, New tracking position
 8.66693, 127.128,  31.524, New tracking position
 8.68360, 127.373,  31.662, New tracking position
 8.70026, 127.618,  31.799, New tracking position
 8.71694, 127.864,  31.936, New tracking position
 8.73362, 128.111,  32.073, New tracking position
 8.75027, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.75029, 145.000,  77.000, New tracking position
 8.76696, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.76698, 145.000, -14.000, New tracking position
 8.78362, 128.860,  32.482, Back to the Sun
 8.78364, 128.860,  32.482, New tracking position
 8.80031, 129.109,  32.617, New tracking position
 8.81698, 129.360,  32.751, New tracking position
 8.83365, 129.611,  32.885, New tracking position
 8.85031, 129.863,  33.018, New tracking position
 8.86699, 130.115,  33.151, New tracking position
 8.88367, 130.369,  33.283, New tracking position
 8.90034, 130.623,  33.415, New tracking position
 8.91700, 130.878,  33.546, New tracking position
 8.93367, 131.134,  33.677, New tracking position
 8.95034, 131.390,  33.807, New tracking position
 8.96701, 131.647,  33.937, New tracking position
 8.98367, 131.905,  34.066, New tracking position
 8.98439, 130.505,  32.666, New scanning59 position
 8.98501, 131.205,  32.666, New scanning59 position
 8.98563, 131.905,  32.666, New scanning59 position
 8.98626, 132.605,  32.666, New scanning59 position
 8.98688, 133.305,  32.666, New scanning59 position
 8.98750, 133.305,  33.366, New scanning59 position
 8.98812, 132.605,  33.366, New scanning59 position
 8.98874, 131.905,  33.366, New scanning59 position
 8.98936, 131.205,  33.366, New scanning59 position
 8.98998, 130.505,  33.366, New scanning59 position
 8.99060, 130.505,  34.066, New scanning59 position
 8.99122, 131.205,  34.066, New scanning59 position
 8.99184, 131.905,  34.066, New scanning59 position
 8.99246, 132.605,  34.066, New scanning59 position
 8.99308, 133.305,  34.066, New scanning59 position
 8.99370, 133.305,  34.766, New scanning59 position
 8.99432, 132.605,  34.766, New scanning59 position
 8.99494, 131.905,  34.766, New scanning59 position
 8.99556, 131.205,  34.766, New scanning59 position
 8.99618, 130.505,  34.766, New scanning59 position
 8.99680, 130.505,  35.466, New scanning59 position
 8.99742, 131.205,  35.466, New scanning59 position
 8.99804, 131.905,  35.466, New scanning59 position
 8.99867, 132.605,  35.466, New scanning59 position
 8.99929, 133.305,  35.466, New scanning59 position
 8.99937, 131.905,  34.066, End of the scan59. Back to the Sun
 9.00033, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 9.00035, 145.000,  77.000, New tracking position
 9.01672, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 9.01674, 145.000, -14.000, New tracking position
 9.03339, 132.679,  34.449, Back to the Sun
 9.03341, 132.679,  34.449, New tracking position
 9.05007, 132.941,  34.576, New tracking position
 9.06675, 133.202,  34.703, New tracking position
 9.08342, 133.465,  34.829, New tracking position
 9.10009, 133.729,  34.954, New tracking position
 9.11676, 133.993,  35.079, New tracking position
 9.13342, 134.258,  35.204, New tracking position
 9.15009, 134.524,  35.328, New tracking position
 9.16676, 134.790,  35.451, New tracking position
 9.18345, 135.058,  35.574, New tracking position
 9.20011, 135.326,  35.696, New tracking position
 9.21678, 135.595,  35.817, New tracking position
 9.23345, 135.865,  35.939, New tracking position
 9.25011, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 9.25013, 145.000,  77.000, New tracking position
 9.26679, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 9.26681, 145.000, -14.000, New tracking position
 9.28345, 136.679,  36.298, Back to the Sun
 9.28347, 136.679,  36.298, New tracking position
 9.30014, 136.952,  36.417, New tracking position
 9.31681, 137.226,  36.535, New tracking position
 9.33349, 137.501,  36.652, New tracking position
 9.35016, 137.777,  36.769, New tracking position
 9.36682, 138.053,  36.885, New tracking position
 9.38349, 138.330,  37.001, New tracking position
 9.40015, 138.608,  37.116, New tracking position
 9.41682, 138.887,  37.230, New tracking position
 9.43349, 139.167,  37.344, New tracking position
 9.45016, 139.447,  37.457, New tracking position
 9.46683, 139.729,  37.569, New tracking position
 9.48349, 140.011,  37.681, New tracking position
 9.50014, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 9.50016, 145.000,  77.000, New tracking position
 9.51680, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 9.51682, 145.000, -14.000, New tracking position
 9.53347, 140.863,  38.012, Back to the Sun
 9.53349, 140.863,  38.012, New tracking position
 9.55016, 141.148,  38.122, New tracking position
 9.56683, 141.435,  38.230, New tracking position
 9.58349, 141.722,  38.338, New tracking position
 9.60016, 142.010,  38.445, New tracking position
 9.61683, 142.299,  38.551, New tracking position
 9.63349, 142.589,  38.657, New tracking position
 9.65018, 142.879,  38.762, New tracking position
 9.66684, 143.171,  38.866, New tracking position
 9.68351, 143.463,  38.970, New tracking position
 9.70018, 143.756,  39.073, New tracking position
 9.71684, 144.050,  39.175, New tracking position
 9.73352, 144.345,  39.277, New tracking position
 9.75018, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 9.75019, 145.000,  77.000, New tracking position
 9.76685, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
