DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 182.400,  60.500, Reference positions.

 7.00008, 145.000,  77.000, New tracking position
 7.01672, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01674, 145.000, -14.000, New tracking position
 7.03340, 100.712,  24.185, Back to the Sun
 7.03342,  81.688, -36.307, Rotor position possibly out of range
 7.03342, 100.712,  24.185, Sun position possibly out of range
 7.05009,  81.493, -36.137, Rotor position possibly out of range
 7.05010, 100.907,  24.355, Sun position possibly out of range
 7.06676,  81.298, -35.967, Rotor position possibly out of range
 7.06676, 101.102,  24.525, Sun position possibly out of range
 7.08342,  81.102, -35.797, Rotor position possibly out of range
 7.08342, 101.298,  24.695, Sun position possibly out of range
 7.10009,  80.907, -35.627, Rotor position possibly out of range
 7.10009, 101.493,  24.865, Sun position possibly out of range
 7.11676,  80.710, -35.458, Rotor position possibly out of range
 7.11676, 101.690,  25.034, Sun position possibly out of range
 7.13342,  80.513, -35.288, Rotor position possibly out of range
 7.13342, 101.887,  25.204, Sun position possibly out of range
 7.15009,  80.316, -35.119, Rotor position possibly out of range
 7.15009, 102.084,  25.373, Sun position possibly out of range
 7.16676,  80.119, -34.950, Rotor position possibly out of range
 7.16676, 102.281,  25.542, Sun position possibly out of range
 7.18343,  79.921, -34.781, Rotor position possibly out of range
 7.18343, 102.479,  25.711, Sun position possibly out of range
 7.20009,  79.722, -34.612, Rotor position possibly out of range
 7.20009, 102.678,  25.880, Sun position possibly out of range
 7.21676,  79.523, -34.443, Rotor position possibly out of range
 7.21676, 102.877,  26.049, Sun position possibly out of range
 7.23343,  79.324, -34.275, Rotor position possibly out of range
 7.23343, 103.076,  26.218, Sun position possibly out of range
 7.25007, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25009, 145.000,  77.000, New tracking position
 7.26675, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26677, 145.000, -14.000, New tracking position
 7.28342, 103.676,  26.723, Back to the Sun
 7.28344,  78.724, -33.769, Rotor position possibly out of range
 7.28344, 103.676,  26.723, Sun position possibly out of range
 7.30013,  78.523, -33.601, Rotor position possibly out of range
 7.30013, 103.877,  26.891, Sun position possibly out of range
 7.31679,  78.321, -33.433, Rotor position possibly out of range
 7.31679, 104.079,  27.059, Sun position possibly out of range
 7.33346,  78.119, -33.265, Rotor position possibly out of range
 7.33346, 104.281,  27.227, Sun position possibly out of range
 7.35012,  77.917, -33.098, Rotor position possibly out of range
 7.35012, 104.483,  27.394, Sun position possibly out of range
 7.36679,  77.714, -32.930, Rotor position possibly out of range
 7.36679, 104.686,  27.562, Sun position possibly out of range
 7.38346,  77.511, -32.763, Rotor position possibly out of range
 7.38346, 104.889,  27.729, Sun position possibly out of range
 7.40014,  77.307, -32.596, Rotor position possibly out of range
 7.40014, 105.093,  27.897, Sun position possibly out of range
 7.41680,  77.103, -32.429, Rotor position possibly out of range
 7.41680, 105.297,  28.064, Sun position possibly out of range
 7.43347, 105.502,  28.231, New tracking position
 7.45015, 105.707,  28.397, New tracking position
 7.46681, 105.913,  28.564, New tracking position
 7.48348, 106.119,  28.730, New tracking position
 7.50014, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50016, 145.000,  77.000, New tracking position
 7.51681, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51683, 145.000, -14.000, New tracking position
 7.53348, 106.741,  29.229, Back to the Sun
 7.53350, 106.741,  29.229, New tracking position
 7.55017, 106.949,  29.394, New tracking position
 7.56684, 107.158,  29.560, New tracking position
 7.58352, 107.368,  29.725, New tracking position
 7.60018, 107.578,  29.890, New tracking position
 7.61685, 107.788,  30.055, New tracking position
 7.63352, 107.999,  30.220, New tracking position
 7.65020, 108.211,  30.385, New tracking position
 7.66687, 108.423,  30.549, New tracking position
 7.68354, 108.636,  30.713, New tracking position
 7.70020, 108.849,  30.877, New tracking position
 7.71688, 109.063,  31.041, New tracking position
 7.73355, 109.277,  31.205, New tracking position
