DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00028, 181.000,  59.600, Reference positions.

 0.00028, 145.000,  50.000, New tracking position
 0.01667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.01667, 145.000, -10.000, New tracking position
 0.03333,  15.941, -64.768, Back to the Sun
 0.03333, 165.059,-123.510, Rotor position possibly out of range
 0.03333,  15.941, -64.768, Sun position possibly out of range
 0.05000, 164.527,-123.464, Rotor position possibly out of range
 0.05000,  16.473, -64.720, Sun position possibly out of range
 0.06667, 163.996,-123.417, Rotor position possibly out of range
 0.06667,  17.004, -64.670, Sun position possibly out of range
 0.08333, 163.467,-123.368, Rotor position possibly out of range
 0.08333,  17.533, -64.618, Sun position possibly out of range
 0.10000, 162.940,-123.318, Rotor position possibly out of range
 0.10000,  18.060, -64.565, Sun position possibly out of range
 0.11667, 162.415,-123.266, Rotor position possibly out of range
 0.11667,  18.585, -64.511, Sun position possibly out of range
 0.13333, 161.891,-123.213, Rotor position possibly out of range
 0.13333,  19.109, -64.455, Sun position possibly out of range
 0.15000, 161.370,-123.158, Rotor position possibly out of range
 0.15000,  19.630, -64.397, Sun position possibly out of range
 0.16667, 160.850,-123.102, Rotor position possibly out of range
 0.16667,  20.150, -64.338, Sun position possibly out of range
 0.18333, 160.333,-123.044, Rotor position possibly out of range
 0.18333,  20.667, -64.278, Sun position possibly out of range
 0.20000, 159.818,-122.985, Rotor position possibly out of range
 0.20000,  21.182, -64.216, Sun position possibly out of range
 0.21667, 159.304,-122.924, Rotor position possibly out of range
 0.21667,  21.696, -64.152, Sun position possibly out of range
 0.23333, 158.793,-122.862, Rotor position possibly out of range
 0.23333,  22.207, -64.087, Sun position possibly out of range
 0.25000, 145.000,  50.000, Cold sky reference position (Tref = Tcold)
 0.25000, 145.000,  50.000, New tracking position
 0.26667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.26667, 145.000, -10.000, New tracking position
 0.28333,  23.727, -63.885, Back to the Sun
 0.28333, 157.273,-122.667, Rotor position possibly out of range
 0.28333,  23.727, -63.885, Sun position possibly out of range
 0.30000, 156.771,-122.599, Rotor position possibly out of range
 0.30000,  24.229, -63.814, Sun position possibly out of range
 0.31667, 156.271,-122.530, Rotor position possibly out of range
 0.31667,  24.729, -63.742, Sun position possibly out of range
 0.33333, 155.773,-122.459, Rotor position possibly out of range
 0.33333,  25.227, -63.669, Sun position possibly out of range
 0.35000, 155.278,-122.387, Rotor position possibly out of range
 0.35000,  25.722, -63.595, Sun position possibly out of range
 0.36667, 154.785,-122.314, Rotor position possibly out of range
 0.36667,  26.215, -63.519, Sun position possibly out of range
