DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 182.500,  44.500, Reference positions.

 0.00000, 172.963, -57.443, Rotor position possibly out of range
 0.00000,   9.537, -11.940, Sun position possibly out of range
 0.01667,   9.786, -12.000, Hot reference on ground (To)
 0.01667, 172.714, -57.502, Rotor position possibly out of range
 0.01667,   9.786, -12.000, Sun position possibly out of range
 0.03333,  10.035, -21.881, Back to the Sun
 0.03333, 172.465, -67.381, Rotor position possibly out of range
 0.03333,  10.035, -21.881, Sun position possibly out of range
 0.05000, 172.216, -67.349, Rotor position possibly out of range
 0.05000,  10.284, -21.850, Sun position possibly out of range
 0.06694, 171.968, -67.316, Rotor position possibly out of range
 0.06694,  10.532, -21.819, Sun position possibly out of range
 0.08333, 171.719, -67.283, Rotor position possibly out of range
 0.08333,  10.781, -21.787, Sun position possibly out of range
 0.10000, 171.471, -67.248, Rotor position possibly out of range
 0.10000,  11.029, -21.754, Sun position possibly out of range
 0.11667, 171.223, -67.213, Rotor position possibly out of range
 0.11667,  11.277, -21.720, Sun position possibly out of range
 0.13333, 170.975, -67.177, Rotor position possibly out of range
 0.13333,  11.525, -21.686, Sun position possibly out of range
 0.15000, 170.728, -67.141, Rotor position possibly out of range
 0.15000,  11.772, -21.651, Sun position possibly out of range
 0.16667, 170.480, -67.104, Rotor position possibly out of range
 0.16667,  12.020, -21.615, Sun position possibly out of range
 0.18333, 170.233, -67.066, Rotor position possibly out of range
 0.18333,  12.267, -21.578, Sun position possibly out of range
 0.20000, 169.986, -67.027, Rotor position possibly out of range
 0.20000,  12.514, -21.541, Sun position possibly out of range
 0.21667, 169.739, -66.988, Rotor position possibly out of range
 0.21667,  12.761, -21.503, Sun position possibly out of range
 0.23333, 169.492, -66.947, Rotor position possibly out of range
 0.23333,  13.008, -21.464, Sun position possibly out of range
 0.25000,  13.255, -11.425, Cold sky reference deviation in elevation
 0.25000, 169.245, -56.907, Rotor position possibly out of range
 0.25000,  13.255, -11.425, Sun position possibly out of range
 0.26694,  13.505, -12.000, Hot reference on ground (To)
 0.26694, 168.995, -57.480, Rotor position possibly out of range
 0.26694,  13.505, -12.000, Sun position possibly out of range
 0.28361,  13.751, -21.343, Back to the Sun
 0.28361, 168.749, -66.822, Rotor position possibly out of range
 0.28361,  13.751, -21.343, Sun position possibly out of range
 0.30028, 168.503, -66.779, Rotor position possibly out of range
 0.30028,  13.997, -21.302, Sun position possibly out of range
 0.31694, 168.257, -66.735, Rotor position possibly out of range
 0.31694,  14.243, -21.259, Sun position possibly out of range
 0.33333, 168.016, -66.691, Rotor position possibly out of range
 0.33333,  14.484, -21.217, Sun position possibly out of range
 0.35000, 167.771, -66.646, Rotor position possibly out of range
 0.35000,  14.729, -21.173, Sun position possibly out of range
 0.36667, 167.526, -66.600, Rotor position possibly out of range
 0.36667,  14.974, -21.129, Sun position possibly out of range
 0.38333, 167.281, -66.554, Rotor position possibly out of range
 0.38333,  15.219, -21.083, Sun position possibly out of range
 0.40000, 167.036, -66.506, Rotor position possibly out of range
 0.40000,  15.464, -21.038, Sun position possibly out of range
 0.41667, 166.792, -66.458, Rotor position possibly out of range
 0.41667,  15.708, -20.991, Sun position possibly out of range
 0.43333, 166.548, -66.410, Rotor position possibly out of range
 0.43333,  15.952, -20.944, Sun position possibly out of range
 0.45000, 166.304, -66.360, Rotor position possibly out of range
 0.45000,  16.196, -20.896, Sun position possibly out of range
