DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 181.600,  59.600, Reference positions.

 0.00000, 160.221,-106.594, Rotor position possibly out of range
 0.00000,  21.379, -46.065, Sun position possibly out of range
 0.01667,  21.921, -12.000, Hot reference on ground (To)
 0.01667, 159.679, -72.526, Rotor position possibly out of range
 0.01667,  21.921, -12.000, Sun position possibly out of range
 0.03333,  22.461, -65.935, Back to the Sun
 0.03333, 159.139,-126.458, Rotor position possibly out of range
 0.03333,  22.461, -65.935, Sun position possibly out of range
 0.05000, 158.602,-126.388, Rotor position possibly out of range
 0.05000,  22.998, -65.868, Sun position possibly out of range
 0.06667, 158.067,-126.317, Rotor position possibly out of range
 0.06667,  23.533, -65.800, Sun position possibly out of range
 0.08333, 157.535,-126.244, Rotor position possibly out of range
 0.08333,  24.065, -65.730, Sun position possibly out of range
 0.10000, 157.006,-126.170, Rotor position possibly out of range
 0.10000,  24.594, -65.659, Sun position possibly out of range
 0.11667, 156.479,-126.094, Rotor position possibly out of range
 0.11667,  25.121, -65.586, Sun position possibly out of range
 0.13333, 155.955,-126.017, Rotor position possibly out of range
 0.13333,  25.645, -65.512, Sun position possibly out of range
 0.15000, 155.433,-125.938, Rotor position possibly out of range
 0.15000,  26.167, -65.436, Sun position possibly out of range
 0.16667, 154.915,-125.858, Rotor position possibly out of range
 0.16667,  26.685, -65.359, Sun position possibly out of range
 0.18333, 154.399,-125.777, Rotor position possibly out of range
 0.18333,  27.201, -65.281, Sun position possibly out of range
 0.20000, 153.885,-125.694, Rotor position possibly out of range
 0.20000,  27.715, -65.201, Sun position possibly out of range
 0.21667, 153.375,-125.610, Rotor position possibly out of range
 0.21667,  28.225, -65.120, Sun position possibly out of range
 0.23333, 152.867,-125.524, Rotor position possibly out of range
 0.23333,  28.733, -65.038, Sun position possibly out of range
 0.25000,  29.238, -44.954, Cold sky reference deviation in elevation
 0.25000, 152.362,-105.437, Rotor position possibly out of range
 0.25000,  29.238, -44.954, Sun position possibly out of range
 0.26667,  29.740, -12.000, Hot reference on ground (To)
 0.26667, 151.860, -72.481, Rotor position possibly out of range
 0.26667,  29.740, -12.000, Sun position possibly out of range
 0.28333,  30.239, -64.782, Back to the Sun
 0.28333, 151.361,-125.260, Rotor position possibly out of range
 0.28333,  30.239, -64.782, Sun position possibly out of range
 0.30000, 150.865,-125.169, Rotor position possibly out of range
 0.30000,  30.735, -64.694, Sun position possibly out of range
 0.31667, 150.371,-125.077, Rotor position possibly out of range
 0.31667,  31.229, -64.605, Sun position possibly out of range
 0.33333, 149.881,-124.984, Rotor position possibly out of range
 0.33333,  31.719, -64.515, Sun position possibly out of range
 0.35000, 149.393,-124.890, Rotor position possibly out of range
 0.35000,  32.207, -64.423, Sun position possibly out of range
 0.36667, 148.908,-124.794, Rotor position possibly out of range
 0.36667,  32.692, -64.330, Sun position possibly out of range
 0.38333, 148.426,-124.697, Rotor position possibly out of range
 0.38333,  33.174, -64.236, Sun position possibly out of range
 0.40000, 147.947,-124.599, Rotor position possibly out of range
 0.40000,  33.653, -64.141, Sun position possibly out of range
 0.41667, 147.471,-124.500, Rotor position possibly out of range
 0.41667,  34.129, -64.044, Sun position possibly out of range
 0.43333, 146.998,-124.399, Rotor position possibly out of range
 0.43333,  34.602, -63.947, Sun position possibly out of range
 0.45000, 146.528,-124.298, Rotor position possibly out of range
 0.45000,  35.072, -63.848, Sun position possibly out of range
 0.46667, 146.061,-124.195, Rotor position possibly out of range
 0.46667,  35.539, -63.748, Sun position possibly out of range
 0.48333, 145.596,-124.091, Rotor position possibly out of range
 0.48333,  36.004, -63.647, Sun position possibly out of range
 0.50000,  36.465, -43.544, Cold sky reference deviation in elevation
 0.50000, 145.135,-103.986, Rotor position possibly out of range
 0.50000,  36.465, -43.544, Sun position possibly out of range
 0.51667,  36.924, -12.000, Hot reference on ground (To)
 0.51667, 144.676, -72.439, Rotor position possibly out of range
 0.51667,  36.924, -12.000, Sun position possibly out of range
 0.53333,  37.379, -63.337, Back to the Sun
 0.53333, 144.221,-123.773, Rotor position possibly out of range
 0.53333,  37.379, -63.337, Sun position possibly out of range
 0.55000, 143.768,-123.665, Rotor position possibly out of range
 0.55000,  37.832, -63.231, Sun position possibly out of range
 0.56667, 143.318,-123.555, Rotor position possibly out of range
 0.56667,  38.282, -63.124, Sun position possibly out of range
 0.58333, 142.871,-123.445, Rotor position possibly out of range
 0.58333,  38.729, -63.016, Sun position possibly out of range
 0.60000, 142.427,-123.334, Rotor position possibly out of range
 0.60000,  39.173, -62.908, Sun position possibly out of range
 0.61667, 141.986,-123.221, Rotor position possibly out of range
 0.61667,  39.614, -62.798, Sun position possibly out of range
 0.63333, 141.548,-123.108, Rotor position possibly out of range
 0.63333,  40.052, -62.687, Sun position possibly out of range
 0.65000, 141.113,-122.994, Rotor position possibly out of range
 0.65000,  40.487, -62.575, Sun position possibly out of range
 0.66667, 140.680,-122.878, Rotor position possibly out of range
 0.66667,  40.920, -62.462, Sun position possibly out of range
 0.68333, 140.251,-122.762, Rotor position possibly out of range
 0.68333,  41.349, -62.348, Sun position possibly out of range
 0.70000, 139.824,-122.645, Rotor position possibly out of range
 0.70000,  41.776, -62.234, Sun position possibly out of range
 0.71667, 139.400,-122.526, Rotor position possibly out of range
 0.71667,  42.200, -62.118, Sun position possibly out of range
 0.73333, 138.979,-122.407, Rotor position possibly out of range
 0.73333,  42.621, -62.001, Sun position possibly out of range
 0.75000,  43.040, -41.884, Cold sky reference deviation in elevation
 0.75000, 138.560,-102.287, Rotor position possibly out of range
 0.75000,  43.040, -41.884, Sun position possibly out of range
 0.76667,  43.455, -12.000, Hot reference on ground (To)
 0.76667, 138.145, -72.401, Rotor position possibly out of range
 0.76667,  43.455, -12.000, Sun position possibly out of range
 0.78333,  43.868, -61.645, Back to the Sun
 0.78333, 137.732,-122.044, Rotor position possibly out of range
 0.78333,  43.868, -61.645, Sun position possibly out of range
 0.80000, 137.322,-121.922, Rotor position possibly out of range
 0.80000,  44.278, -61.525, Sun position possibly out of range
 0.81667, 136.914,-121.798, Rotor position possibly out of range
 0.81667,  44.686, -61.404, Sun position possibly out of range
 0.83333, 136.510,-121.673, Rotor position possibly out of range
 0.83333,  45.090, -61.282, Sun position possibly out of range
 0.85000, 136.108,-121.548, Rotor position possibly out of range
 0.85000,  45.492, -61.159, Sun position possibly out of range
 0.86667, 135.708,-121.422, Rotor position possibly out of range
 0.86667,  45.892, -61.035, Sun position possibly out of range
 0.88333, 135.312,-121.295, Rotor position possibly out of range
 0.88333,  46.288, -60.910, Sun position possibly out of range
 0.90000, 134.918,-121.167, Rotor position possibly out of range
 0.90000,  46.682, -60.785, Sun position possibly out of range
 0.91667, 134.527,-121.039, Rotor position possibly out of range
 0.91667,  47.073, -60.658, Sun position possibly out of range
 0.93333, 134.138,-120.909, Rotor position possibly out of range
 0.93333,  47.462, -60.531, Sun position possibly out of range
 0.95000, 133.752,-120.779, Rotor position possibly out of range
 0.95000,  47.848, -60.403, Sun position possibly out of range
 0.96667, 133.368,-120.648, Rotor position possibly out of range
 0.96667,  48.232, -60.275, Sun position possibly out of range
 0.98333, 132.988,-120.517, Rotor position possibly out of range
 0.98333,  48.612, -60.145, Sun position possibly out of range
 1.00000,  48.991, -40.015, Cold sky reference deviation in elevation
 1.00000, 132.609,-100.384, Rotor position possibly out of range
 1.00000,  48.991, -40.015, Sun position possibly out of range
 1.01667,  49.367, -12.000, Hot reference on ground (To)
 1.01667, 132.233, -72.367, Rotor position possibly out of range
 1.01667,  49.367, -12.000, Sun position possibly out of range
 1.03333,  49.740, -59.752, Back to the Sun
 1.03333, 131.860,-120.117, Rotor position possibly out of range
 1.03333,  49.740, -59.752, Sun position possibly out of range
 1.05000, 131.489,-119.983, Rotor position possibly out of range
 1.05000,  50.111, -59.620, Sun position possibly out of range
 1.06667, 131.121,-119.847, Rotor position possibly out of range
 1.06667,  50.479, -59.487, Sun position possibly out of range
 1.08333, 130.755,-119.711, Rotor position possibly out of range
 1.08333,  50.845, -59.353, Sun position possibly out of range
 1.10000, 130.391,-119.575, Rotor position possibly out of range
 1.10000,  51.209, -59.218, Sun position possibly out of range
 1.11667, 130.030,-119.437, Rotor position possibly out of range
 1.11667,  51.570, -59.083, Sun position possibly out of range
 1.13333, 129.671,-119.299, Rotor position possibly out of range
 1.13333,  51.929, -58.947, Sun position possibly out of range
 1.15000, 129.315,-119.161, Rotor position possibly out of range
 1.15000,  52.285, -58.811, Sun position possibly out of range
 1.16667, 128.961,-119.021, Rotor position possibly out of range
 1.16667,  52.639, -58.674, Sun position possibly out of range
 1.18333, 128.609,-118.882, Rotor position possibly out of range
 1.18333,  52.991, -58.536, Sun position possibly out of range
 1.20000, 128.260,-118.741, Rotor position possibly out of range
 1.20000,  53.340, -58.397, Sun position possibly out of range
 1.21667, 127.913,-118.600, Rotor position possibly out of range
 1.21667,  53.687, -58.258, Sun position possibly out of range
 1.23333, 127.568,-118.458, Rotor position possibly out of range
 1.23333,  54.032, -58.118, Sun position possibly out of range
 1.25000,  54.374, -37.978, Cold sky reference deviation in elevation
 1.25000, 127.226, -98.316, Rotor position possibly out of range
 1.25000,  54.374, -37.978, Sun position possibly out of range
 1.26667,  54.715, -12.000, Hot reference on ground (To)
 1.26667, 126.885, -72.336, Rotor position possibly out of range
 1.26667,  54.715, -12.000, Sun position possibly out of range
 1.28333,  55.053, -57.695, Back to the Sun
 1.28333, 126.547,-118.029, Rotor position possibly out of range
 1.28333,  55.053, -57.695, Sun position possibly out of range
 1.30000, 126.211,-117.885, Rotor position possibly out of range
 1.30000,  55.389, -57.553, Sun position possibly out of range
 1.31667, 125.877,-117.741, Rotor position possibly out of range
 1.31667,  55.723, -57.410, Sun position possibly out of range
 1.33333, 125.546,-117.595, Rotor position possibly out of range
 1.33333,  56.054, -57.267, Sun position possibly out of range
 1.35000, 125.216,-117.450, Rotor position possibly out of range
 1.35000,  56.384, -57.123, Sun position possibly out of range
 1.36667, 124.888,-117.303, Rotor position possibly out of range
 1.36667,  56.712, -56.979, Sun position possibly out of range
 1.38333, 124.563,-117.157, Rotor position possibly out of range
 1.38333,  57.037, -56.834, Sun position possibly out of range
 1.40000, 124.240,-117.009, Rotor position possibly out of range
 1.40000,  57.360, -56.689, Sun position possibly out of range
 1.41667, 123.918,-116.861, Rotor position possibly out of range
 1.41667,  57.682, -56.543, Sun position possibly out of range
 1.43333, 123.599,-116.713, Rotor position possibly out of range
 1.43333,  58.001, -56.396, Sun position possibly out of range
 1.45000, 123.282,-116.564, Rotor position possibly out of range
