DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00000, 183.400,  60.500, Reference positions.

 7.00023, 145.000,  77.000, New tracking position
 7.01687, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01689, 145.000, -14.000, New tracking position
 7.03355,  96.279,  29.255, Back to the Sun
 7.03357,  87.121, -31.236, Rotor position possibly out of range
 7.03357,  96.279,  29.255, Sun position possibly out of range
 7.05026,  86.930, -31.064, Rotor position possibly out of range
 7.05026,  96.470,  29.427, Sun position possibly out of range
 7.06693,  86.739, -30.892, Rotor position possibly out of range
 7.06693,  96.661,  29.599, Sun position possibly out of range
 7.08362,  86.547, -30.720, Rotor position possibly out of range
 7.08362,  96.853,  29.771, Sun position possibly out of range
 7.10030,  86.355, -30.549, Rotor position possibly out of range
 7.10030,  97.045,  29.943, Sun position possibly out of range
 7.11699,  86.159, -30.374, Rotor position possibly out of range
 7.11699,  97.241,  30.117, Sun position possibly out of range
 7.13366,  85.966, -30.202, Rotor position possibly out of range
 7.13366,  97.434,  30.289, Sun position possibly out of range
 7.15033,  85.772, -30.031, Rotor position possibly out of range
 7.15033,  97.628,  30.461, Sun position possibly out of range
 7.16700,  85.579, -29.859, Rotor position possibly out of range
 7.16700,  97.821,  30.632, Sun position possibly out of range
 7.18366,  85.384, -29.688, Rotor position possibly out of range
 7.18366,  98.016,  30.804, Sun position possibly out of range
 7.20008,  85.193, -29.519, Rotor position possibly out of range
 7.20008,  98.207,  30.972, Sun position possibly out of range
 7.21679,  84.997, -29.348, Rotor position possibly out of range
 7.21679,  98.403,  31.143, Sun position possibly out of range
 7.23349,  84.802, -29.177, Rotor position possibly out of range
 7.23349,  98.598,  31.315, Sun position possibly out of range
 7.25014, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25016, 145.000,  77.000, New tracking position
 7.26685, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26687, 145.000, -14.000, New tracking position
 7.28354,  99.188,  31.828, Back to the Sun
 7.28356,  84.212, -28.664, Rotor position possibly out of range
 7.28356,  99.188,  31.828, Sun position possibly out of range
 7.30024,  84.014, -28.493, Rotor position possibly out of range
 7.30024,  99.386,  31.998, Sun position possibly out of range
 7.31693,  83.816, -28.322, Rotor position possibly out of range
 7.31693,  99.584,  32.169, Sun position possibly out of range
 7.33360,  83.617, -28.152, Rotor position possibly out of range
 7.33360,  99.783,  32.340, Sun position possibly out of range
 7.35026,  83.418, -27.981, Rotor position possibly out of range
 7.35026,  99.982,  32.510, Sun position possibly out of range
 7.36694,  83.219, -27.811, Rotor position possibly out of range
 7.36694, 100.181,  32.681, Sun position possibly out of range
 7.38363,  83.019, -27.641, Rotor position possibly out of range
 7.38363, 100.381,  32.851, Sun position possibly out of range
 7.40032,  82.815, -27.468, Rotor position possibly out of range
 7.40032, 100.585,  33.024, Sun position possibly out of range
 7.41676,  82.617, -27.300, Rotor position possibly out of range
 7.41676, 100.783,  33.191, Sun position possibly out of range
 7.43343,  82.415, -27.130, Rotor position possibly out of range
 7.43343, 100.985,  33.361, Sun position possibly out of range
 7.45010,  82.213, -26.960, Rotor position possibly out of range
 7.45010, 101.187,  33.531, Sun position possibly out of range
 7.46676,  82.011, -26.791, Rotor position possibly out of range
 7.46676, 101.389,  33.701, Sun position possibly out of range
 7.48343,  81.807, -26.621, Rotor position possibly out of range
 7.48343, 101.593,  33.871, Sun position possibly out of range
 7.50008, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.50010, 145.000,  77.000, New tracking position
 7.51677, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.51679, 145.000, -14.000, New tracking position
 7.53344, 102.206,  34.379, Back to the Sun
 7.53346,  81.194, -26.113, Rotor position possibly out of range
 7.53346, 102.206,  34.379, Sun position possibly out of range
 7.55014,  80.989, -25.944, Rotor position possibly out of range
 7.55014, 102.411,  34.548, Sun position possibly out of range
 7.56683,  80.783, -25.775, Rotor position possibly out of range
 7.56683, 102.617,  34.717, Sun position possibly out of range
 7.58350,  80.576, -25.606, Rotor position possibly out of range
 7.58350, 102.824,  34.886, Sun position possibly out of range
 7.60016,  80.369, -25.437, Rotor position possibly out of range
 7.60016, 103.031,  35.055, Sun position possibly out of range
 7.61686,  80.161, -25.269, Rotor position possibly out of range
 7.61686, 103.239,  35.223, Sun position possibly out of range
 7.63354,  79.952, -25.100, Rotor position possibly out of range
 7.63354, 103.448,  35.392, Sun position possibly out of range
 7.65020,  79.743, -24.932, Rotor position possibly out of range
 7.65020, 103.657,  35.560, Sun position possibly out of range
 7.66687,  79.533, -24.764, Rotor position possibly out of range
 7.66687, 103.867,  35.728, Sun position possibly out of range
 7.68356,  79.323, -24.596, Rotor position possibly out of range
 7.68356, 104.077,  35.896, Sun position possibly out of range
 7.70024,  79.112, -24.428, Rotor position possibly out of range
 7.70024, 104.288,  36.064, Sun position possibly out of range
 7.71691,  78.901, -24.260, Rotor position possibly out of range
 7.71691, 104.499,  36.232, Sun position possibly out of range
 7.73361,  78.688, -24.093, Rotor position possibly out of range
 7.73361, 104.712,  36.399, Sun position possibly out of range
 7.75027, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.75029, 145.000,  77.000, New tracking position
 7.76695, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.76697, 145.000, -14.000, New tracking position
 7.78362, 105.356,  36.904, Back to the Sun
 7.78364,  78.044, -23.588, Rotor position possibly out of range
 7.78364, 105.356,  36.904, Sun position possibly out of range
 7.80031,  77.829, -23.421, Rotor position possibly out of range
 7.80031, 105.571,  37.071, Sun position possibly out of range
 7.81700,  77.613, -23.255, Rotor position possibly out of range
 7.81700, 105.787,  37.238, Sun position possibly out of range
 7.83342,  77.401, -23.091, Rotor position possibly out of range
 7.83342, 105.999,  37.401, Sun position possibly out of range
 7.85010,  77.184, -22.925, Rotor position possibly out of range
 7.85010, 106.216,  37.568, Sun position possibly out of range
 7.86678, 106.434,  37.734, New tracking position
 7.88347, 106.652,  37.900, New tracking position
 7.90014, 106.872,  38.066, New tracking position
 7.91684, 107.091,  38.231, New tracking position
 7.93351, 107.312,  38.397, New tracking position
 7.95019, 107.534,  38.562, New tracking position
 7.96687, 107.756,  38.727, New tracking position
 7.98354, 107.979,  38.892, New tracking position
 8.00020, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 8.00022, 145.000,  77.000, New tracking position
 8.01689, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 8.01691, 145.000, -14.000, New tracking position
 8.03357, 108.652,  39.385, Back to the Sun
 8.03360, 108.652,  39.385, New tracking position
 8.05028, 108.878,  39.549, New tracking position
 8.06698, 109.108,  39.715, New tracking position
 8.08367, 109.336,  39.879, New tracking position
 8.10010, 109.561,  40.039, New tracking position
 8.11681, 109.790,  40.202, New tracking position
 8.13348, 110.020,  40.365, New tracking position
 8.15017, 110.251,  40.528, New tracking position
