DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 181.600,  59.600, Reference positions.

 0.00000, 157.285,-105.365, Rotor position possibly out of range
 0.00000,  24.315, -44.853, Sun position possibly out of range
 0.01694,  24.839, -12.000, Hot reference on ground (To)
 0.01694, 156.761, -72.509, Rotor position possibly out of range
 0.01694,  24.839, -12.000, Sun position possibly out of range
 0.03333,  25.343, -64.708, Back to the Sun
 0.03333, 156.257,-125.214, Rotor position possibly out of range
 0.03333,  25.343, -64.708, Sun position possibly out of range
 0.05000, 155.747,-125.136, Rotor position possibly out of range
 0.05000,  25.853, -64.633, Sun position possibly out of range
 0.06667, 155.239,-125.057, Rotor position possibly out of range
 0.06667,  26.361, -64.557, Sun position possibly out of range
 0.08333, 154.734,-124.977, Rotor position possibly out of range
 0.08333,  26.866, -64.479, Sun position possibly out of range
 0.10028, 154.232,-124.895, Rotor position possibly out of range
 0.10028,  27.368, -64.401, Sun position possibly out of range
 0.11667, 153.732,-124.812, Rotor position possibly out of range
 0.11667,  27.868, -64.320, Sun position possibly out of range
 0.13361, 153.235,-124.728, Rotor position possibly out of range
 0.13361,  28.365, -64.239, Sun position possibly out of range
 0.15000, 152.740,-124.642, Rotor position possibly out of range
 0.15000,  28.860, -64.156, Sun position possibly out of range
 0.16694, 152.248,-124.555, Rotor position possibly out of range
 0.16694,  29.352, -64.072, Sun position possibly out of range
 0.18333, 151.759,-124.467, Rotor position possibly out of range
 0.18333,  29.841, -63.987, Sun position possibly out of range
 0.20028, 151.264,-124.376, Rotor position possibly out of range
 0.20028,  30.336, -63.899, Sun position possibly out of range
 0.21667, 150.788,-124.287, Rotor position possibly out of range
 0.21667,  30.812, -63.812, Sun position possibly out of range
 0.23361, 150.299,-124.193, Rotor position possibly out of range
 0.23361,  31.301, -63.721, Sun position possibly out of range
 0.25000,  31.772, -43.632, Cold sky reference deviation in elevation
 0.25000, 149.828,-104.101, Rotor position possibly out of range
 0.25000,  31.772, -43.632, Sun position possibly out of range
 0.26667,  32.247, -12.000, Hot reference on ground (To)
 0.26667, 149.353, -72.466, Rotor position possibly out of range
 0.26667,  32.247, -12.000, Sun position possibly out of range
 0.28333,  32.721, -63.448, Back to the Sun
 0.28333, 148.879,-123.911, Rotor position possibly out of range
 0.28333,  32.721, -63.448, Sun position possibly out of range
 0.30000, 148.409,-123.815, Rotor position possibly out of range
 0.30000,  33.191, -63.354, Sun position possibly out of range
 0.31694, 147.934,-123.715, Rotor position possibly out of range
 0.31694,  33.666, -63.257, Sun position possibly out of range
 0.33333, 147.477,-123.617, Rotor position possibly out of range
 0.33333,  34.123, -63.162, Sun position possibly out of range
 0.35028, 147.007,-123.516, Rotor position possibly out of range
 0.35028,  34.593, -63.063, Sun position possibly out of range
 0.36667, 146.555,-123.416, Rotor position possibly out of range
 0.36667,  35.045, -62.966, Sun position possibly out of range
 0.38333, 146.098,-123.313, Rotor position possibly out of range
 0.38333,  35.502, -62.866, Sun position possibly out of range
 0.40000, 145.644,-123.210, Rotor position possibly out of range
 0.40000,  35.956, -62.765, Sun position possibly out of range
 0.41667, 145.193,-123.105, Rotor position possibly out of range
 0.41667,  36.407, -62.663, Sun position possibly out of range
 0.43361, 144.737,-122.997, Rotor position possibly out of range
 0.43361,  36.863, -62.558, Sun position possibly out of range
 0.45000, 144.299,-122.892, Rotor position possibly out of range
 0.45000,  37.301, -62.455, Sun position possibly out of range
 0.46667, 143.856,-122.784, Rotor position possibly out of range
 0.46667,  37.744, -62.350, Sun position possibly out of range
 0.48333, 143.416,-122.675, Rotor position possibly out of range
 0.48333,  38.184, -62.244, Sun position possibly out of range
 0.50000,  38.622, -42.136, Cold sky reference deviation in elevation
 0.50000, 142.978,-102.565, Rotor position possibly out of range
 0.50000,  38.622, -42.136, Sun position possibly out of range
 0.51694,  39.064, -12.000, Hot reference on ground (To)
 0.51694, 142.536, -72.427, Rotor position possibly out of range
 0.51694,  39.064, -12.000, Sun position possibly out of range
 0.53333,  39.488, -61.918, Back to the Sun
 0.53333, 142.112,-122.342, Rotor position possibly out of range
 0.53333,  39.488, -61.918, Sun position possibly out of range
 0.55000, 141.682,-122.229, Rotor position possibly out of range
 0.55000,  39.918, -61.808, Sun position possibly out of range
 0.56667, 141.256,-122.116, Rotor position possibly out of range
 0.56667,  40.344, -61.696, Sun position possibly out of range
 0.58333, 140.832,-122.001, Rotor position possibly out of range
 0.58333,  40.768, -61.584, Sun position possibly out of range
 0.60028, 140.403,-121.883, Rotor position possibly out of range
 0.60028,  41.197, -61.468, Sun position possibly out of range
 0.61667, 139.992,-121.768, Rotor position possibly out of range
 0.61667,  41.608, -61.356, Sun position possibly out of range
 0.63361, 139.569,-121.648, Rotor position possibly out of range
 0.63361,  42.031, -61.239, Sun position possibly out of range
 0.65000, 139.162,-121.532, Rotor position possibly out of range
 0.65000,  42.438, -61.124, Sun position possibly out of range
 0.66667, 138.752,-121.412, Rotor position possibly out of range
 0.66667,  42.848, -61.007, Sun position possibly out of range
 0.68333, 138.344,-121.292, Rotor position possibly out of range
 0.68333,  43.256, -60.889, Sun position possibly out of range
 0.70000, 137.938,-121.170, Rotor position possibly out of range
 0.70000,  43.662, -60.770, Sun position possibly out of range
 0.71694, 137.529,-121.046, Rotor position possibly out of range
 0.71694,  44.071, -60.648, Sun position possibly out of range
 0.73333, 137.135,-120.925, Rotor position possibly out of range
 0.73333,  44.465, -60.530, Sun position possibly out of range
 0.75028,  44.869, -40.406, Cold sky reference deviation in elevation
 0.75028, 136.731,-100.799, Rotor position possibly out of range
 0.75028,  44.869, -40.406, Sun position possibly out of range
 0.76667,  45.258, -12.000, Hot reference on ground (To)
 0.76667, 136.342, -72.391, Rotor position possibly out of range
 0.76667,  45.258, -12.000, Sun position possibly out of range
 0.78333,  45.650, -60.162, Back to the Sun
 0.78333, 135.950,-120.551, Rotor position possibly out of range
 0.78333,  45.650, -60.162, Sun position possibly out of range
 0.80028, 135.560,-120.424, Rotor position possibly out of range
 0.80028,  46.040, -60.038, Sun position possibly out of range
 0.81667, 135.172,-120.297, Rotor position possibly out of range
 0.81667,  46.428, -59.913, Sun position possibly out of range
 0.83361, 134.781,-120.167, Rotor position possibly out of range
 0.83361,  46.819, -59.785, Sun position possibly out of range
 0.85000, 134.405,-120.041, Rotor position possibly out of range
 0.85000,  47.195, -59.661, Sun position possibly out of range
 0.86667, 134.025,-119.911, Rotor position possibly out of range
 0.86667,  47.575, -59.534, Sun position possibly out of range
 0.88333, 133.647,-119.781, Rotor position possibly out of range
 0.88333,  47.953, -59.406, Sun position possibly out of range
 0.90000, 133.272,-119.650, Rotor position possibly out of range
 0.90000,  48.328, -59.277, Sun position possibly out of range
 0.91694, 132.899,-119.518, Rotor position possibly out of range
 0.91694,  48.701, -59.147, Sun position possibly out of range
 0.93333, 132.529,-119.386, Rotor position possibly out of range
 0.93333,  49.071, -59.017, Sun position possibly out of range
 0.95028, 132.161,-119.252, Rotor position possibly out of range
 0.95028,  49.439, -58.886, Sun position possibly out of range
 0.96667, 131.795,-119.118, Rotor position possibly out of range
 0.96667,  49.805, -58.754, Sun position possibly out of range
 0.98361, 131.426,-118.982, Rotor position possibly out of range
 0.98361,  50.174, -58.619, Sun position possibly out of range
 1.00000,  50.529, -38.488, Cold sky reference deviation in elevation
 1.00000, 131.071, -98.849, Rotor position possibly out of range
 1.00000,  50.529, -38.488, Sun position possibly out of range
 1.01667,  50.888, -12.000, Hot reference on ground (To)
 1.01667, 130.712, -72.358, Rotor position possibly out of range
 1.01667,  50.888, -12.000, Sun position possibly out of range
 1.03333,  51.244, -58.220, Back to the Sun
 1.03361, 130.356,-118.576, Rotor position possibly out of range
 1.03361,  51.244, -58.220, Sun position possibly out of range
 1.05000, 130.001,-118.439, Rotor position possibly out of range
 1.05000,  51.599, -58.085, Sun position possibly out of range
 1.06667, 129.650,-118.301, Rotor position possibly out of range
 1.06667,  51.950, -57.949, Sun position possibly out of range
 1.08333, 129.300,-118.162, Rotor position possibly out of range
 1.08333,  52.300, -57.812, Sun position possibly out of range
 1.10000, 128.952,-118.023, Rotor position possibly out of range
 1.10000,  52.648, -57.675, Sun position possibly out of range
 1.11667, 128.607,-117.883, Rotor position possibly out of range
 1.11667,  52.993, -57.537, Sun position possibly out of range
 1.13333, 128.264,-117.743, Rotor position possibly out of range
 1.13333,  53.336, -57.399, Sun position possibly out of range
 1.15028, 127.918,-117.599, Rotor position possibly out of range
 1.15028,  53.682, -57.257, Sun position possibly out of range
 1.16667, 127.585,-117.460, Rotor position possibly out of range
 1.16667,  54.015, -57.120, Sun position possibly out of range
 1.18361, 127.242,-117.315, Rotor position possibly out of range
 1.18361,  54.358, -56.977, Sun position possibly out of range
 1.20000, 126.913,-117.175, Rotor position possibly out of range
 1.20000,  54.687, -56.839, Sun position possibly out of range
 1.21667, 126.581,-117.032, Rotor position possibly out of range
 1.21667,  55.019, -56.697, Sun position possibly out of range
 1.23361, 126.251,-116.888, Rotor position possibly out of range
 1.23361,  55.349, -56.555, Sun position possibly out of range
 1.25000,  55.678, -36.413, Cold sky reference deviation in elevation
 1.25000, 125.922, -96.743, Rotor position possibly out of range
 1.25000,  55.678, -36.413, Sun position possibly out of range
 1.26667,  56.004, -12.000, Hot reference on ground (To)
 1.26667, 125.596, -72.328, Rotor position possibly out of range
 1.26667,  56.004, -12.000, Sun position possibly out of range
 1.28333,  56.328, -56.126, Back to the Sun
 1.28333, 125.272,-116.453, Rotor position possibly out of range
 1.28333,  56.328, -56.126, Sun position possibly out of range
 1.30000, 124.949,-116.306, Rotor position possibly out of range
 1.30000,  56.651, -55.982, Sun position possibly out of range
 1.31667, 124.629,-116.160, Rotor position possibly out of range
 1.31667,  56.971, -55.837, Sun position possibly out of range
 1.33333, 124.310,-116.013, Rotor position possibly out of range
 1.33333,  57.290, -55.692, Sun position possibly out of range
 1.35028, 123.989,-115.863, Rotor position possibly out of range
 1.35028,  57.611, -55.543, Sun position possibly out of range
 1.36667, 123.679,-115.717, Rotor position possibly out of range
 1.36667,  57.921, -55.400, Sun position possibly out of range
 1.38333, 123.367,-115.568, Rotor position possibly out of range
 1.38333,  58.233, -55.253, Sun position possibly out of range
 1.40028, 123.056,-115.419, Rotor position possibly out of range
 1.40028,  58.544, -55.105, Sun position possibly out of range
 1.41667, 122.747,-115.270, Rotor position possibly out of range
 1.41667,  58.853, -54.958, Sun position possibly out of range
 1.43361, 122.435,-115.117, Rotor position possibly out of range
 1.43361,  59.165, -54.807, Sun position possibly out of range
 1.45000, 122.135,-114.969, Rotor position possibly out of range
