DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00028, 181.000,  59.600, Reference positions.

 0.00028, 145.000,  50.000, New tracking position
 0.01694, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.01694, 145.000, -10.000, New tracking position
 0.03361,  12.375, -61.819, Back to the Sun
 0.03361, 168.625,-120.542, Rotor position possibly out of range
 0.03361,  12.375, -61.819, Sun position possibly out of range
 0.05028, 168.130,-120.506, Rotor position possibly out of range
 0.05028,  12.870, -61.781, Sun position possibly out of range
 0.06694, 167.636,-120.470, Rotor position possibly out of range
 0.06694,  13.364, -61.741, Sun position possibly out of range
 0.08361, 167.143,-120.431, Rotor position possibly out of range
 0.08361,  13.857, -61.700, Sun position possibly out of range
 0.10028, 166.651,-120.391, Rotor position possibly out of range
 0.10028,  14.349, -61.658, Sun position possibly out of range
 0.11694, 166.160,-120.350, Rotor position possibly out of range
 0.11694,  14.840, -61.614, Sun position possibly out of range
 0.13361, 165.671,-120.308, Rotor position possibly out of range
 0.13361,  15.329, -61.569, Sun position possibly out of range
 0.15028, 165.183,-120.263, Rotor position possibly out of range
 0.15028,  15.817, -61.522, Sun position possibly out of range
 0.16694, 164.697,-120.218, Rotor position possibly out of range
 0.16694,  16.303, -61.474, Sun position possibly out of range
 0.18361, 164.211,-120.171, Rotor position possibly out of range
 0.18361,  16.789, -61.425, Sun position possibly out of range
 0.20000, 163.736,-120.123, Rotor position possibly out of range
 0.20000,  17.264, -61.375, Sun position possibly out of range
 0.21667, 163.253,-120.074, Rotor position possibly out of range
 0.21667,  17.747, -61.323, Sun position possibly out of range
 0.23333, 162.772,-120.023, Rotor position possibly out of range
 0.23333,  18.228, -61.269, Sun position possibly out of range
 0.25000, 145.000,  50.000, Cold sky reference position (Tref = Tcold)
 0.25000, 145.000,  50.000, New tracking position
 0.26667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.26667, 145.000, -10.000, New tracking position
 0.28333,  19.661, -61.100, Back to the Sun
 0.28333, 161.339,-119.861, Rotor position possibly out of range
 0.28333,  19.661, -61.100, Sun position possibly out of range
 0.30000, 160.864,-119.804, Rotor position possibly out of range
 0.30000,  20.136, -61.041, Sun position possibly out of range
 0.31667, 160.391,-119.746, Rotor position possibly out of range
 0.31667,  20.609, -60.980, Sun position possibly out of range
 0.33333, 159.920,-119.687, Rotor position possibly out of range
 0.33333,  21.080, -60.919, Sun position possibly out of range
 0.35000, 159.450,-119.626, Rotor position possibly out of range
 0.35000,  21.550, -60.855, Sun position possibly out of range
 0.36667, 158.982,-119.564, Rotor position possibly out of range
 0.36667,  22.018, -60.791, Sun position possibly out of range
