DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 181.000,  59.600, Reference positions.

 0.00000, 145.000,  50.000, New tracking position
 0.01667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.01667, 145.000, -10.000, New tracking position
 0.03333,  18.015, -65.566, Back to the Sun
 0.03333, 162.985,-124.319, Rotor position possibly out of range
 0.03333,  18.015, -65.566, Sun position possibly out of range
 0.05000, 162.443,-124.267, Rotor position possibly out of range
 0.05000,  18.557, -65.512, Sun position possibly out of range
 0.06667, 161.904,-124.214, Rotor position possibly out of range
 0.06667,  19.096, -65.456, Sun position possibly out of range
 0.08333, 161.367,-124.160, Rotor position possibly out of range
 0.08333,  19.633, -65.399, Sun position possibly out of range
 0.10000, 160.831,-124.103, Rotor position possibly out of range
 0.10000,  20.169, -65.340, Sun position possibly out of range
 0.11667, 160.298,-124.046, Rotor position possibly out of range
 0.11667,  20.702, -65.279, Sun position possibly out of range
 0.13333, 159.768,-123.986, Rotor position possibly out of range
 0.13333,  21.232, -65.217, Sun position possibly out of range
 0.15000, 159.239,-123.926, Rotor position possibly out of range
 0.15000,  21.761, -65.154, Sun position possibly out of range
 0.16667, 158.713,-123.863, Rotor position possibly out of range
 0.16667,  22.287, -65.089, Sun position possibly out of range
 0.18333, 158.189,-123.800, Rotor position possibly out of range
 0.18333,  22.811, -65.022, Sun position possibly out of range
 0.20000, 157.668,-123.735, Rotor position possibly out of range
 0.20000,  23.332, -64.954, Sun position possibly out of range
 0.21667, 157.148,-123.668, Rotor position possibly out of range
 0.21667,  23.852, -64.885, Sun position possibly out of range
 0.23333, 156.632,-123.600, Rotor position possibly out of range
 0.23333,  24.368, -64.814, Sun position possibly out of range
 0.25000, 145.000,  50.000, Cold sky reference position (Tref = Tcold)
 0.25000, 145.000,  50.000, New tracking position
 0.26667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.26667, 145.000, -10.000, New tracking position
 0.28333,  25.904, -64.594, Back to the Sun
 0.28333, 155.096,-123.387, Rotor position possibly out of range
 0.28333,  25.904, -64.594, Sun position possibly out of range
 0.30000, 154.590,-123.313, Rotor position possibly out of range
 0.30000,  26.410, -64.517, Sun position possibly out of range
 0.31667, 154.086,-123.238, Rotor position possibly out of range
 0.31667,  26.914, -64.439, Sun position possibly out of range
 0.33333, 153.584,-123.162, Rotor position possibly out of range
 0.33333,  27.416, -64.360, Sun position possibly out of range
 0.35000, 153.085,-123.084, Rotor position possibly out of range
 0.35000,  27.915, -64.280, Sun position possibly out of range
 0.36667, 152.589,-123.005, Rotor position possibly out of range
 0.36667,  28.411, -64.198, Sun position possibly out of range
 0.38333, 152.095,-122.924, Rotor position possibly out of range
 0.38333,  28.905, -64.115, Sun position possibly out of range
 0.40000, 151.604,-122.842, Rotor position possibly out of range
 0.40000,  29.396, -64.031, Sun position possibly out of range
 0.41667, 151.115,-122.759, Rotor position possibly out of range
 0.41667,  29.885, -63.945, Sun position possibly out of range
 0.43333, 150.629,-122.675, Rotor position possibly out of range
 0.43333,  30.371, -63.858, Sun position possibly out of range
