DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 9.36667, 139.326,  33.426, New tracking position
 9.38333, 139.593,  33.538, New tracking position
 9.40000, 139.861,  33.650, New tracking position
 9.41667, 140.130,  33.762, New tracking position
 9.43333, 140.399,  33.873, New tracking position
 9.45000, 140.669,  33.983, New tracking position
 9.46667, 140.940,  34.093, New tracking position
 9.48333, 141.212,  34.202, New tracking position
 9.50028, 141.484,  34.310, New tracking position
 9.51694, 141.757,  34.418, New tracking position
 9.53361, 142.031,  34.525, New tracking position
 9.55028, 142.305,  34.631, New tracking position
 9.56694, 142.585,  34.738, New tracking position
 9.58361, 142.861,  34.843, New tracking position
 9.60028, 143.133,  34.946, New tracking position
 9.61694, 143.415,  35.051, New tracking position
 9.63361, 143.693,  35.155, New tracking position
 9.65028, 143.967,  35.255, New tracking position
 9.66694, 144.251,  35.359, New tracking position
 9.68361, 144.532,  35.460, New tracking position
 9.70028, 144.813,  35.560, New tracking position
 9.71694, 145.094,  35.659, New tracking position
 9.73361, 145.377,  35.758, New tracking position
 9.75028, 145.660,  35.857, New tracking position
 9.76694, 145.944,  35.954, New tracking position
 9.78361, 146.228,  36.051, New tracking position
 9.80028, 146.514,  36.147, New tracking position
 9.81694, 146.800,  36.242, New tracking position
 9.83361, 147.086,  36.337, New tracking position
 9.85028, 147.374,  36.431, New tracking position
 9.86694, 147.662,  36.524, New tracking position
 9.88361, 147.951,  36.616, New tracking position
 9.90028, 148.241,  36.708, New tracking position
 9.91694, 148.531,  36.799, New tracking position
 9.93361, 148.822,  36.889, New tracking position
 9.95028, 149.114,  36.979, New tracking position
 9.96694, 149.406,  37.067, New tracking position
 9.98333, 149.694,  37.154, New tracking position
10.00000, 149.988,  37.241, New tracking position
10.01667, 150.283,  37.328, New tracking position
10.03333, 150.578,  37.413, New tracking position
10.05000, 150.874,  37.498, New tracking position
10.06667, 151.170,  37.582, New tracking position
10.08333, 151.468,  37.665, New tracking position
10.10000, 151.766,  37.748, New tracking position
10.11667, 152.064,  37.830, New tracking position
10.13333, 152.364,  37.911, New tracking position
10.15000, 152.664,  37.991, New tracking position
10.16667, 152.964,  38.070, New tracking position
10.18333, 153.266,  38.149, New tracking position
10.20000, 153.568,  38.226, New tracking position
10.21667, 153.870,  38.303, New tracking position
10.23333, 154.174,  38.379, New tracking position
10.25000, 154.478,  38.454, New tracking position
10.26667, 154.782,  38.529, New tracking position
10.28333, 155.088,  38.602, New tracking position
