DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 181.000,  59.600, Reference positions.

 0.00000, 145.000,  50.000, New tracking position
 0.01667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.01667, 145.000, -10.000, New tracking position
 0.03333,  10.323, -57.151, Back to the Sun
 0.03333, 170.677,-115.863, Rotor position possibly out of range
 0.03333,  10.323, -57.151, Sun position possibly out of range
 0.05000, 170.233,-115.834, Rotor position possibly out of range
 0.05000,  10.767, -57.119, Sun position possibly out of range
 0.06667, 169.790,-115.803, Rotor position possibly out of range
 0.06667,  11.210, -57.086, Sun position possibly out of range
 0.08361, 169.348,-115.771, Rotor position possibly out of range
 0.08361,  11.652, -57.051, Sun position possibly out of range
 0.10028, 168.907,-115.737, Rotor position possibly out of range
 0.10028,  12.093, -57.015, Sun position possibly out of range
 0.11694, 168.459,-115.702, Rotor position possibly out of range
 0.11694,  12.541, -56.978, Sun position possibly out of range
 0.13361, 168.019,-115.665, Rotor position possibly out of range
 0.13361,  12.981, -56.939, Sun position possibly out of range
 0.15028, 167.580,-115.628, Rotor position possibly out of range
 0.15028,  13.420, -56.899, Sun position possibly out of range
 0.16694, 167.141,-115.589, Rotor position possibly out of range
 0.16694,  13.859, -56.858, Sun position possibly out of range
 0.18361, 166.704,-115.549, Rotor position possibly out of range
 0.18361,  14.296, -56.816, Sun position possibly out of range
 0.20028, 166.268,-115.508, Rotor position possibly out of range
 0.20028,  14.732, -56.772, Sun position possibly out of range
 0.21694, 165.833,-115.465, Rotor position possibly out of range
 0.21694,  15.167, -56.727, Sun position possibly out of range
 0.23361, 165.398,-115.421, Rotor position possibly out of range
 0.23361,  15.602, -56.681, Sun position possibly out of range
 0.25000, 145.000,  50.000, Cold sky reference position (Tref = Tcold)
 0.25000, 145.000,  50.000, New tracking position
 0.26667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.26667, 145.000, -10.000, New tracking position
 0.28333,  16.892, -56.536, Back to the Sun
 0.28333, 164.108,-115.283, Rotor position possibly out of range
 0.28333,  16.892, -56.536, Sun position possibly out of range
 0.30000, 163.678,-115.234, Rotor position possibly out of range
 0.30000,  17.322, -56.485, Sun position possibly out of range
 0.31667, 163.248,-115.184, Rotor position possibly out of range
 0.31667,  17.752, -56.433, Sun position possibly out of range
 0.33333, 162.820,-115.132, Rotor position possibly out of range
 0.33333,  18.180, -56.379, Sun position possibly out of range
 0.35000, 162.393,-115.080, Rotor position possibly out of range
 0.35000,  18.607, -56.324, Sun position possibly out of range
 0.36667, 161.967,-115.026, Rotor position possibly out of range
 0.36667,  19.033, -56.268, Sun position possibly out of range
 0.38333, 161.542,-114.971, Rotor position possibly out of range
 0.38333,  19.458, -56.211, Sun position possibly out of range
 0.40000, 161.119,-114.914, Rotor position possibly out of range
 0.40000,  19.881, -56.152, Sun position possibly out of range
 0.41667, 160.696,-114.857, Rotor position possibly out of range
 0.41667,  20.304, -56.092, Sun position possibly out of range
 0.43333, 160.275,-114.798, Rotor position possibly out of range
 0.43333,  20.725, -56.032, Sun position possibly out of range
