DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00028, 180.500,  61.000, Reference positions.

 0.00028, 161.773,-101.522, Rotor position possibly out of range
 0.00028,  18.727, -39.584, Sun position possibly out of range
 0.01667,  19.093, -12.000, Hot reference on ground (To)
 0.01667, 161.407, -73.936, Rotor position possibly out of range
 0.01667,  19.093, -12.000, Sun position possibly out of range
 0.03361,  19.471, -49.471, Back to the Sun
 0.03361, 161.029,-111.405, Rotor position possibly out of range
 0.03361,  19.471, -49.471, Sun position possibly out of range
 0.05000, 160.664,-111.346, Rotor position possibly out of range
 0.05000,  19.836, -49.414, Sun position possibly out of range
 0.06694, 160.287,-111.284, Rotor position possibly out of range
 0.06694,  20.213, -49.354, Sun position possibly out of range
 0.08333, 159.924,-111.223, Rotor position possibly out of range
 0.08333,  20.576, -49.295, Sun position possibly out of range
 0.10028, 159.556,-111.159, Rotor position possibly out of range
 0.10028,  20.944, -49.234, Sun position possibly out of range
 0.11667, 159.188,-111.095, Rotor position possibly out of range
 0.11667,  21.312, -49.172, Sun position possibly out of range
 0.13361, 158.815,-111.029, Rotor position possibly out of range
 0.13361,  21.685, -49.108, Sun position possibly out of range
 0.15000, 158.456,-110.964, Rotor position possibly out of range
 0.15000,  22.044, -49.044, Sun position possibly out of range
 0.16694, 158.091,-110.896, Rotor position possibly out of range
 0.16694,  22.409, -48.979, Sun position possibly out of range
 0.18333, 157.727,-110.828, Rotor position possibly out of range
 0.18333,  22.773, -48.913, Sun position possibly out of range
 0.20028, 157.357,-110.757, Rotor position possibly out of range
 0.20028,  23.143, -48.845, Sun position possibly out of range
 0.21667, 157.001,-110.688, Rotor position possibly out of range
 0.21667,  23.499, -48.777, Sun position possibly out of range
 0.23361, 156.634,-110.615, Rotor position possibly out of range
 0.23361,  23.866, -48.707, Sun position possibly out of range
 0.25000,  24.220, -38.638, Cold sky reference deviation in elevation
 0.25000, 156.280,-100.544, Rotor position possibly out of range
 0.25000,  24.220, -38.638, Sun position possibly out of range
 0.26667,  24.580, -12.000, Hot reference on ground (To)
 0.26667, 155.920, -73.904, Rotor position possibly out of range
 0.26667,  24.580, -12.000, Sun position possibly out of range
