DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 182.000,  58.800, Reference positions.

 0.00000, 156.745,-102.490, Rotor position possibly out of range
 0.00000,  25.255, -42.781, Sun position possibly out of range
 0.01694,  25.747, -12.000, Hot reference on ground (To)
 0.01694, 156.253, -71.706, Rotor position possibly out of range
 0.01694,  25.747, -12.000, Sun position possibly out of range
 0.03333,  26.220, -62.631, Back to the Sun
 0.03333, 155.780,-122.334, Rotor position possibly out of range
 0.03333,  26.220, -62.631, Sun position possibly out of range
 0.05000, 155.300,-122.254, Rotor position possibly out of range
 0.05000,  26.700, -62.554, Sun position possibly out of range
 0.06667, 154.823,-122.173, Rotor position possibly out of range
 0.06667,  27.177, -62.475, Sun position possibly out of range
 0.08333, 154.349,-122.091, Rotor position possibly out of range
 0.08333,  27.651, -62.396, Sun position possibly out of range
 0.10000, 153.876,-122.007, Rotor position possibly out of range
 0.10000,  28.124, -62.315, Sun position possibly out of range
 0.11667, 153.406,-121.923, Rotor position possibly out of range
 0.11667,  28.594, -62.233, Sun position possibly out of range
 0.13333, 152.938,-121.836, Rotor position possibly out of range
 0.13333,  29.062, -62.149, Sun position possibly out of range
 0.15028, 152.472,-121.749, Rotor position possibly out of range
 0.15028,  29.528, -62.065, Sun position possibly out of range
 0.16667, 152.009,-121.661, Rotor position possibly out of range
 0.16667,  29.991, -61.979, Sun position possibly out of range
 0.18361, 151.548,-121.571, Rotor position possibly out of range
 0.18361,  30.452, -61.892, Sun position possibly out of range
 0.20000, 151.090,-121.480, Rotor position possibly out of range
 0.20000,  30.910, -61.804, Sun position possibly out of range
 0.21694, 150.633,-121.388, Rotor position possibly out of range
 0.21694,  31.367, -61.715, Sun position possibly out of range
 0.23333, 150.180,-121.295, Rotor position possibly out of range
 0.23333,  31.820, -61.624, Sun position possibly out of range
 0.25000,  32.272, -41.532, Cold sky reference deviation in elevation
 0.25028, 149.728,-101.201, Rotor position possibly out of range
 0.25028,  32.272, -41.532, Sun position possibly out of range
 0.26667,  32.721, -12.000, Hot reference on ground (To)
 0.26667, 149.279, -71.666, Rotor position possibly out of range
 0.26667,  32.721, -12.000, Sun position possibly out of range
 0.28361,  33.175, -61.344, Back to the Sun
 0.28361, 148.825,-121.007, Rotor position possibly out of range
 0.28361,  33.175, -61.344, Sun position possibly out of range
 0.30000, 148.388,-120.911, Rotor position possibly out of range
 0.30000,  33.612, -61.250, Sun position possibly out of range
 0.31694, 147.938,-120.810, Rotor position possibly out of range
 0.31694,  34.062, -61.152, Sun position possibly out of range
 0.33333, 147.506,-120.712, Rotor position possibly out of range
 0.33333,  34.494, -61.057, Sun position possibly out of range
 0.35028, 147.062,-120.610, Rotor position possibly out of range
 0.35028,  34.938, -60.957, Sun position possibly out of range
 0.36667, 146.634,-120.509, Rotor position possibly out of range
 0.36667,  35.366, -60.859, Sun position possibly out of range
 0.38361, 146.195,-120.404, Rotor position possibly out of range
 0.38361,  35.805, -60.756, Sun position possibly out of range
 0.40000, 145.772,-120.302, Rotor position possibly out of range
