DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00028, 180.500,  61.000, Reference positions.

 0.00028, 162.226,-100.816, Rotor position possibly out of range
 0.00028,  18.274, -38.876, Sun position possibly out of range
 0.01667,  18.637, -12.000, Hot reference on ground (To)
 0.01667, 161.863, -73.939, Rotor position possibly out of range
 0.01667,  18.637, -12.000, Sun position possibly out of range
 0.03333,  19.004, -48.766, Back to the Sun
 0.03333, 161.496,-110.703, Rotor position possibly out of range
 0.03333,  19.004, -48.766, Sun position possibly out of range
 0.05000, 161.129,-110.644, Rotor position possibly out of range
 0.05000,  19.371, -48.710, Sun position possibly out of range
 0.06667, 160.763,-110.584, Rotor position possibly out of range
 0.06667,  19.737, -48.652, Sun position possibly out of range
 0.08333, 160.398,-110.524, Rotor position possibly out of range
 0.08333,  20.102, -48.593, Sun position possibly out of range
 0.10000, 160.033,-110.462, Rotor position possibly out of range
 0.10000,  20.467, -48.533, Sun position possibly out of range
 0.11667, 159.669,-110.399, Rotor position possibly out of range
 0.11667,  20.831, -48.473, Sun position possibly out of range
 0.13333, 159.307,-110.335, Rotor position possibly out of range
 0.13333,  21.193, -48.411, Sun position possibly out of range
 0.15000, 158.945,-110.270, Rotor position possibly out of range
 0.15000,  21.555, -48.348, Sun position possibly out of range
 0.16667, 158.584,-110.204, Rotor position possibly out of range
 0.16667,  21.916, -48.284, Sun position possibly out of range
 0.18361, 158.217,-110.136, Rotor position possibly out of range
 0.18361,  22.283, -48.218, Sun position possibly out of range
 0.20000, 157.864,-110.069, Rotor position possibly out of range
 0.20000,  22.636, -48.153, Sun position possibly out of range
 0.21667, 157.505,-110.000, Rotor position possibly out of range
 0.21667,  22.995, -48.086, Sun position possibly out of range
 0.23333, 157.148,-109.930, Rotor position possibly out of range
 0.23333,  23.352, -48.019, Sun position possibly out of range
 0.25000,  23.709, -37.950, Cold sky reference deviation in elevation
 0.25000, 156.791, -99.859, Rotor position possibly out of range
 0.25000,  23.709, -37.950, Sun position possibly out of range
 0.26667,  24.065, -12.000, Hot reference on ground (To)
 0.26667, 156.435, -73.907, Rotor position possibly out of range
 0.26667,  24.065, -12.000, Sun position possibly out of range
