DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[deg], Elevation[deg], Message
 7.00028, 183.400,  60.500, Reference positions.

 7.00035, 145.000,  77.000, New tracking position
 7.01673, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.01675, 145.000, -14.000, New tracking position
 7.03340,  94.393,  30.896, Back to the Sun
 7.03343,  89.007, -29.595, Rotor position possibly out of range
 7.03343,  94.393,  30.896, Sun position possibly out of range
 7.05010,  88.819, -29.422, Rotor position possibly out of range
 7.05011,  94.581,  31.069, Sun position possibly out of range
 7.06678,  88.630, -29.250, Rotor position possibly out of range
 7.06678,  94.770,  31.241, Sun position possibly out of range
 7.08345,  88.441, -29.078, Rotor position possibly out of range
 7.08345,  94.959,  31.414, Sun position possibly out of range
 7.10012,  88.251, -28.905, Rotor position possibly out of range
 7.10012,  95.149,  31.586, Sun position possibly out of range
 7.11679,  88.061, -28.733, Rotor position possibly out of range
 7.11679,  95.339,  31.758, Sun position possibly out of range
 7.13347,  87.871, -28.561, Rotor position possibly out of range
 7.13347,  95.529,  31.931, Sun position possibly out of range
 7.15014,  87.680, -28.388, Rotor position possibly out of range
 7.15014,  95.720,  32.103, Sun position possibly out of range
 7.16681,  87.489, -28.216, Rotor position possibly out of range
 7.16681,  95.911,  32.275, Sun position possibly out of range
 7.18347,  87.297, -28.044, Rotor position possibly out of range
 7.18347,  96.103,  32.447, Sun position possibly out of range
 7.20014,  87.105, -27.872, Rotor position possibly out of range
 7.20014,  96.295,  32.619, Sun position possibly out of range
 7.21681,  86.912, -27.700, Rotor position possibly out of range
 7.21681,  96.488,  32.791, Sun position possibly out of range
 7.23349,  86.719, -27.528, Rotor position possibly out of range
 7.23349,  96.681,  32.963, Sun position possibly out of range
 7.25013, 145.000,  77.000, Cold sky reference position (Tref = Tcold)
 7.25015, 145.000,  77.000, New tracking position
 7.26680, 145.000, -14.000, Hot reference position e.g. on ground (To=Thot)
 7.26682, 145.000, -14.000, New tracking position
 7.28346,  97.263,  33.479, Back to the Sun
 7.28349,  86.137, -27.013, Rotor position possibly out of range
 7.28349,  97.263,  33.479, Sun position possibly out of range
 7.30016,  85.942, -26.841, Rotor position possibly out of range
 7.30016,  97.458,  33.650, Sun position possibly out of range
 7.31683,  85.747, -26.670, Rotor position possibly out of range
 7.31683,  97.653,  33.822, Sun position possibly out of range
 7.33349,  85.551, -26.498, Rotor position possibly out of range
 7.33349,  97.849,  33.993, Sun position possibly out of range
 7.35016,  85.355, -26.327, Rotor position possibly out of range
 7.35016,  98.045,  34.165, Sun position possibly out of range
 7.36685,  85.158, -26.155, Rotor position possibly out of range
 7.36685,  98.242,  34.336, Sun position possibly out of range
 7.38352,  84.960, -25.984, Rotor position possibly out of range
