DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00028, 181.000,  59.600, Reference positions.

 0.00028, 145.000,  50.000, New tracking position
 0.01694, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.01694, 145.000, -10.000, New tracking position
 0.03361,  16.235, -64.905, Back to the Sun
 0.03361, 164.765,-123.648, Rotor position possibly out of range
 0.03361,  16.235, -64.905, Sun position possibly out of range
 0.05028, 164.231,-123.602, Rotor position possibly out of range
 0.05028,  16.769, -64.856, Sun position possibly out of range
 0.06694, 163.699,-123.554, Rotor position possibly out of range
 0.06694,  17.301, -64.805, Sun position possibly out of range
 0.08361, 163.168,-123.504, Rotor position possibly out of range
 0.08361,  17.832, -64.753, Sun position possibly out of range
 0.10028, 162.639,-123.453, Rotor position possibly out of range
 0.10028,  18.361, -64.699, Sun position possibly out of range
 0.11694, 162.113,-123.400, Rotor position possibly out of range
 0.11694,  18.887, -64.643, Sun position possibly out of range
 0.13361, 161.588,-123.346, Rotor position possibly out of range
 0.13361,  19.412, -64.586, Sun position possibly out of range
 0.15028, 161.065,-123.291, Rotor position possibly out of range
 0.15028,  19.935, -64.528, Sun position possibly out of range
 0.16694, 160.544,-123.233, Rotor position possibly out of range
 0.16694,  20.456, -64.468, Sun position possibly out of range
 0.18361, 160.026,-123.175, Rotor position possibly out of range
 0.18361,  20.974, -64.407, Sun position possibly out of range
 0.20028, 159.509,-123.115, Rotor position possibly out of range
 0.20028,  21.491, -64.344, Sun position possibly out of range
 0.21694, 158.995,-123.053, Rotor position possibly out of range
 0.21694,  22.005, -64.280, Sun position possibly out of range
 0.23361, 158.482,-122.990, Rotor position possibly out of range
 0.23361,  22.518, -64.214, Sun position possibly out of range
 0.25000, 145.000,  50.000, Cold sky reference position (Tref = Tcold)
 0.25000, 145.000,  50.000, New tracking position
 0.26667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.26667, 145.000, -10.000, New tracking position
 0.28361,  24.041, -64.009, Back to the Sun
 0.28361, 156.959,-122.793, Rotor position possibly out of range
 0.28361,  24.041, -64.009, Sun position possibly out of range
 0.30000, 156.464,-122.725, Rotor position possibly out of range
 0.30000,  24.536, -63.939, Sun position possibly out of range
 0.31667, 155.963,-122.655, Rotor position possibly out of range
 0.31667,  25.037, -63.866, Sun position possibly out of range
 0.33333, 155.464,-122.584, Rotor position possibly out of range
 0.33333,  25.536, -63.792, Sun position possibly out of range
 0.35000, 154.968,-122.511, Rotor position possibly out of range
 0.35000,  26.032, -63.717, Sun position possibly out of range
 0.36667, 154.474,-122.437, Rotor position possibly out of range
 0.36667,  26.526, -63.640, Sun position possibly out of range
