DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 181.000,  59.600, Reference positions.

 0.00000, 145.000,  50.000, New tracking position
 0.01667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.01667, 145.000, -10.000, New tracking position
 0.03333,  11.840, -61.049, Back to the Sun
 0.03333, 169.160,-119.770, Rotor position possibly out of range
 0.03333,  11.840, -61.049, Sun position possibly out of range
 0.05000, 168.673,-119.736, Rotor position possibly out of range
 0.05000,  12.327, -61.013, Sun position possibly out of range
 0.06667, 168.188,-119.700, Rotor position possibly out of range
 0.06667,  12.812, -60.975, Sun position possibly out of range
 0.08333, 167.705,-119.664, Rotor position possibly out of range
 0.08333,  13.295, -60.936, Sun position possibly out of range
 0.10000, 167.222,-119.625, Rotor position possibly out of range
 0.10000,  13.778, -60.895, Sun position possibly out of range
 0.11667, 166.740,-119.586, Rotor position possibly out of range
 0.11667,  14.260, -60.853, Sun position possibly out of range
 0.13333, 166.260,-119.545, Rotor position possibly out of range
 0.13333,  14.740, -60.809, Sun position possibly out of range
 0.15000, 165.780,-119.502, Rotor position possibly out of range
 0.15000,  15.220, -60.764, Sun position possibly out of range
 0.16667, 165.302,-119.459, Rotor position possibly out of range
 0.16667,  15.698, -60.718, Sun position possibly out of range
 0.18333, 164.825,-119.413, Rotor position possibly out of range
 0.18333,  16.175, -60.670, Sun position possibly out of range
 0.20000, 164.350,-119.367, Rotor position possibly out of range
 0.20000,  16.650, -60.621, Sun position possibly out of range
 0.21667, 163.876,-119.319, Rotor position possibly out of range
 0.21667,  17.124, -60.571, Sun position possibly out of range
 0.23333, 163.403,-119.269, Rotor position possibly out of range
 0.23333,  17.597, -60.519, Sun position possibly out of range
 0.25000, 145.000,  50.000, Cold sky reference position (Tref = Tcold)
 0.25000, 145.000,  50.000, New tracking position
 0.26667, 145.000, -10.000, Hot reference position, e.g. on ground (To=Thot)
 0.26667, 145.000, -10.000, New tracking position
 0.28333,  19.007, -60.355, Back to the Sun
 0.28333, 161.993,-119.113, Rotor position possibly out of range
 0.28333,  19.007, -60.355, Sun position possibly out of range
 0.30000, 161.526,-119.058, Rotor position possibly out of range
 0.30000,  19.474, -60.298, Sun position possibly out of range
 0.31667, 161.060,-119.002, Rotor position possibly out of range
 0.31667,  19.940, -60.240, Sun position possibly out of range
 0.33333, 160.596,-118.945, Rotor position possibly out of range
 0.33333,  20.404, -60.180, Sun position possibly out of range
 0.35000, 160.134,-118.886, Rotor position possibly out of range
 0.35000,  20.866, -60.119, Sun position possibly out of range
 0.36667, 159.673,-118.826, Rotor position possibly out of range
 0.36667,  21.327, -60.056, Sun position possibly out of range
 0.38333, 159.214,-118.764, Rotor position possibly out of range
 0.38333,  21.786, -59.992, Sun position possibly out of range
 0.40000, 158.756,-118.702, Rotor position possibly out of range
 0.40000,  22.244, -59.927, Sun position possibly out of range
 0.41667, 158.300,-118.638, Rotor position possibly out of range
 0.41667,  22.700, -59.861, Sun position possibly out of range
 0.43361, 157.845,-118.572, Rotor position possibly out of range
 0.43361,  23.155, -59.793, Sun position possibly out of range
