DiSEqC radio telescope tracker
Author: Christian Monstein, HB9SCT
Version: 2023-04-27

TIME [UT], Azimuth[°], Elevation[°], Message
 0.00000, 182.000,  58.800, Reference positions.

 0.00000, 156.764,-102.694, Rotor position possibly out of range
 0.00000,  25.236, -42.985, Sun position possibly out of range
 0.01694,  25.731, -12.000, Hot reference on ground (To)
 0.01694, 156.269, -71.706, Rotor position possibly out of range
 0.01694,  25.731, -12.000, Sun position possibly out of range
 0.03333,  26.207, -62.835, Back to the Sun
 0.03333, 155.793,-122.538, Rotor position possibly out of range
 0.03333,  26.207, -62.835, Sun position possibly out of range
 0.05028, 155.303,-122.457, Rotor position possibly out of range
 0.05028,  26.697, -62.756, Sun position possibly out of range
 0.06667, 154.832,-122.377, Rotor position possibly out of range
 0.06667,  27.168, -62.679, Sun position possibly out of range
 0.08361, 154.347,-122.294, Rotor position possibly out of range
 0.08361,  27.653, -62.599, Sun position possibly out of range
 0.10000, 153.879,-122.212, Rotor position possibly out of range
 0.10000,  28.121, -62.519, Sun position possibly out of range
 0.11694, 153.399,-122.125, Rotor position possibly out of range
 0.11694,  28.601, -62.436, Sun position possibly out of range
 0.13333, 152.936,-122.041, Rotor position possibly out of range
 0.13333,  29.064, -62.354, Sun position possibly out of range
 0.15000, 152.468,-121.953, Rotor position possibly out of range
 0.15000,  29.532, -62.269, Sun position possibly out of range
 0.16694, 151.995,-121.863, Rotor position possibly out of range
 0.16694,  30.005, -62.182, Sun position possibly out of range
 0.18333, 151.539,-121.775, Rotor position possibly out of range
 0.18333,  30.461, -62.096, Sun position possibly out of range
 0.20028, 151.071,-121.683, Rotor position possibly out of range
 0.20028,  30.929, -62.007, Sun position possibly out of range
 0.21667, 150.620,-121.592, Rotor position possibly out of range
 0.21667,  31.380, -61.919, Sun position possibly out of range
 0.23361, 150.156,-121.497, Rotor position possibly out of range
 0.23361,  31.844, -61.826, Sun position possibly out of range
 0.25000,  32.290, -41.736, Cold sky reference deviation in elevation
 0.25000, 149.710,-101.405, Rotor position possibly out of range
 0.25000,  32.290, -41.736, Sun position possibly out of range
 0.26694,  32.749, -12.000, Hot reference on ground (To)
 0.26694, 149.251, -71.666, Rotor position possibly out of range
 0.26694,  32.749, -12.000, Sun position possibly out of range
 0.28333,  33.191, -61.549, Back to the Sun
 0.28333, 148.809,-121.212, Rotor position possibly out of range
 0.28333,  33.191, -61.549, Sun position possibly out of range
 0.30028, 148.356,-121.113, Rotor position possibly out of range
 0.30028,  33.644, -61.452, Sun position possibly out of range
 0.31667, 147.919,-121.016, Rotor position possibly out of range
 0.31667,  34.081, -61.358, Sun position possibly out of range
 0.33333, 147.477,-120.916, Rotor position possibly out of range
 0.33333,  34.523, -61.260, Sun position possibly out of range
 0.35000, 147.038,-120.815, Rotor position possibly out of range
 0.35000,  34.962, -61.162, Sun position possibly out of range
 0.36694, 146.594,-120.711, Rotor position possibly out of range
 0.36694,  35.406, -61.061, Sun position possibly out of range
 0.38333, 146.167,-120.609, Rotor position possibly out of range
 0.38333,  35.833, -60.962, Sun position possibly out of range
 0.40028, 145.728,-120.503, Rotor position possibly out of range
