# Tcold_K: 12
# Thot_K: 284.15
# freq_MHz: 11075
# dfreq_MHz: 50
date, time_start, Icold_adu, Ihot_adu, Ycal_dB, Isun_mean_adu, Isun_max_adu, Isun_mean_above_max_adu, nrvals_for_Isun_mean_above_max, Ssun_sfu, Sback_sfu, Ssun_minus_Sback_sfu
2024/10/29, 09:15:00.652, 133609.6969162959, 357065.200071303, 4.269095466528698, 405264.6343990889, 447474.7150184992, 438117.21382032894, 44, 455.4223529418541, 14.274156445799129, 441.148196496055
2024/10/29, 09:30:00.657, 142557.92830714575, 363570.53452652943, 4.065973032536731, 412023.70755878085, 449181.4197446106, 440211.59627884475, 54, 450.2593472790921, 14.274156445799129, 435.98519083329296
2024/10/29, 09:45:00.713, 131776.64559678477, 370536.2656963137, 4.489922720426827, 419718.7022153265, 466159.90025900386, 456805.4054142401, 11, 454.96949471381726, 14.274156445799129, 440.69533826801813
2024/10/29, 10:00:00.769, 143542.9045426398, 371038.4936626803, 4.1243723836560005, 426415.0834200175, 468213.2759685459, 457767.27425482357, 23, 461.4150888824174, 14.274156445799129, 447.1409324366183
2024/10/29, 10:15:00.809, 160299.78602596142, 361455.09566165216, 3.5312140900849105, 419339.7166896941, 460635.79062335397, 451829.6421837559, 31, 483.44291232775527, 14.274156445799129, 469.16875588195614
2024/10/29, 10:30:00.830, 136993.77032460758, 357973.73383897665, 4.171503432188612, 423010.71463625616, 466784.506509512, 456140.5278623716, 14, 481.81018545890504, 14.274156445799129, 467.5360290131059
2024/10/29, 10:45:00.735, 135674.2149324723, 358763.8048687374, 4.223113040264595, 414767.4519780765, 453290.9790471594, 443493.56410018017, 58, 460.95173725353493, 14.274156445799129, 446.6775808077358
2024/10/29, 11:00:00.809, 133284.46462130823, 352574.3119943604, 4.22471135266979, 407399.84858706046, 460635.79062335397, 453285.30337736016, 3, 486.67442552985756, 14.274156445799129, 472.40026908405844
2024/10/29, 11:15:00.906, 128400.38789524439, 347754.89544737915, 4.327069166669926, 401552.6094609809, 441836.608168416, 432320.32182865415, 35, 462.80278456914544, 14.274156445799129, 448.5286281233463
2024/10/29, 11:30:00.886, 126364.43627813565, 351258.94820073585, 4.440025322728592, 396742.97302624333, 441153.94819048914, 431786.38547361025, 10, 453.9159104932382, 14.274156445799129, 439.64175404743906
2024/10/29, 11:45:00.850, 126653.22555454455, 342195.8261903172, 4.316584533792007, 387474.05191809137, 431356.32240707596, 423027.07428614737, 16, 459.40153399102724, 14.274156445799129, 445.1273775452281
2024/10/29, 12:00:00.965, 131889.35498594795, 341861.07004775375, 4.136399033489776, 387195.3507532359, 435116.40284272947, 427520.3988617973, 4, 470.0662488111284, 14.274156445799129, 455.79209236532927
2024/10/29, 12:15:01.076, 127337.60217729729, 346829.3661259079, 4.351591945293988, 380640.97034276044, 425730.4962281965, 416614.6025758123, 16, 440.9256022828041, 14.274156445799129, 426.651445837005
2024/10/29, 12:30:00.921, 121352.70072445307, 348137.88720704964, 4.577018432562027, 374610.4204555655, 417915.9117557029, 409775.01291901874, 25, 425.9844410356076, 14.274156445799129, 411.71028458980845
2024/10/29, 12:45:01.148, 124481.47693086707, 344806.73647775775, 4.424710095982489, 368659.2460587635, 410982.81934838847, 402990.169927171, 13, 423.4895947092777, 14.274156445799129, 409.2154382634786
2024/10/29, 13:00:01.080, 134310.6875160221, 341586.8400466208, 4.0539055854070165, 381947.6410261016, 433809.13661429455, 425669.09219773684, 9, 469.3206338787315, 14.274156445799129, 455.04647743293236
2024/10/29, 13:15:01.152, 126814.18401441898, 360213.42377687385, 4.533920617002189, 367166.98072354926, 416608.645527268, 407448.81795964885, 7, 403.5158696613945, 14.274156445799129, 389.2417132155954
2024/10/29, 13:30:01.074, 119216.62282185191, 349411.4903491299, 4.670003676580056, 363571.6628102999, 409888.44020158146, 401330.91795310227, 10, 411.01508158730894, 14.274156445799129, 396.7409251415098
2024/10/29, 13:45:01.101, 120263.16483864668, 357465.37969178305, 4.731013584840576, 371470.16523262963, 414118.29353353387, 405710.479966828, 30, 403.84349459278576, 14.274156445799129, 389.56933814698664
2024/10/29, 14:00:01.203, 123161.50224659574, 371268.07921398134, 4.792126336637178, 368644.615241295, 413739.8135498947, 405248.6556387601, 15, 382.3375078325201, 14.274156445799129, 368.06335138672097
2024/10/29, 14:15:01.197, 144150.171243166, 371457.4987209006, 4.110939673580495, 370064.8285828612, 418327.6309245831, 410658.160942078, 16, 393.82882919206014, 14.274156445799129, 379.554672746261
