# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 186.300 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
13.22598; 203.730;  21.639; -17.430; -38.862;Commanded position az=-17.430, el=-38.862
13.22653; 203.730;  21.139; -17.430; -39.362;Commanded position az=-17.430, el=-39.362
13.22709; 203.730;  20.639; -17.430; -39.862;Commanded position az=-17.430, el=-39.862
13.22765; 203.730;  20.139; -17.430; -40.362;Commanded position az=-17.430, el=-40.362
13.22821; 203.730;  19.639; -17.430; -40.862;Commanded position az=-17.430, el=-40.862
13.22876; 203.730;  19.139; -17.430; -41.362;Commanded position az=-17.430, el=-41.362
13.22932; 203.730;  18.639; -17.430; -41.862;Commanded position az=-17.430, el=-41.862
13.22987; 203.730;  18.139; -17.430; -42.362;Commanded position az=-17.430, el=-42.362
13.23043; 203.730;  17.639; -17.430; -42.862;Commanded position az=-17.430, el=-42.862
13.23099; 203.730;  17.139; -17.430; -43.362;Commanded position az=-17.430, el=-43.362
13.23154; 203.730;  16.639; -17.430; -43.862;Commanded position az=-17.430, el=-43.862
13.23210; 203.730;  16.139; -17.430; -44.362;Commanded position az=-17.430, el=-44.362
13.23266; 203.730;  15.639; -17.430; -44.862;Commanded position az=-17.430, el=-44.862
13.23321; 203.730;  15.139; -17.430; -45.362;Commanded position az=-17.430, el=-45.362
13.23377; 203.730;  14.639; -17.430; -45.862;Commanded position az=-17.430, el=-45.862
13.23433; 203.730;  14.139; -17.430; -46.362;Commanded position az=-17.430, el=-46.362
13.23488; 203.730;  13.639; -17.430; -46.862;Commanded position az=-17.430, el=-46.862
13.23544; 203.730;  13.139; -17.430; -47.362;Commanded position az=-17.430, el=-47.362
13.23600; 203.730;  12.639; -17.430; -47.862;Commanded position az=-17.430, el=-47.862
13.23655; 203.730;  12.139; -17.430; -48.362;Commanded position az=-17.430, el=-48.362
13.23711; 203.730;  11.639; -17.430; -48.862;Commanded position az=-17.430, el=-48.862
13.23767; 204.230;  11.639; -17.930; -48.862;Commanded position az=-17.930, el=-48.862
13.23822; 204.230;  12.139; -17.930; -48.362;Commanded position az=-17.930, el=-48.362
13.23878; 204.230;  12.639; -17.930; -47.862;Commanded position az=-17.930, el=-47.862
13.23933; 204.230;  13.139; -17.930; -47.362;Commanded position az=-17.930, el=-47.362
13.23989; 204.230;  13.639; -17.930; -46.862;Commanded position az=-17.930, el=-46.862
13.24045; 204.230;  14.139; -17.930; -46.362;Commanded position az=-17.930, el=-46.362
13.24100; 204.230;  14.639; -17.930; -45.862;Commanded position az=-17.930, el=-45.862
13.24156; 204.230;  15.139; -17.930; -45.362;Commanded position az=-17.930, el=-45.362
13.24212; 204.230;  15.639; -17.930; -44.862;Commanded position az=-17.930, el=-44.862
13.24267; 204.230;  16.139; -17.930; -44.362;Commanded position az=-17.930, el=-44.362
13.24323; 204.230;  16.639; -17.930; -43.862;Commanded position az=-17.930, el=-43.862
13.24379; 204.230;  17.139; -17.930; -43.362;Commanded position az=-17.930, el=-43.362
13.24434; 204.230;  17.639; -17.930; -42.862;Commanded position az=-17.930, el=-42.862
13.24490; 204.230;  18.139; -17.930; -42.362;Commanded position az=-17.930, el=-42.362
13.24546; 204.230;  18.639; -17.930; -41.862;Commanded position az=-17.930, el=-41.862
13.24601; 204.230;  19.139; -17.930; -41.362;Commanded position az=-17.930, el=-41.362
13.24657; 204.230;  19.639; -17.930; -40.862;Commanded position az=-17.930, el=-40.862
13.24713; 204.230;  20.139; -17.930; -40.362;Commanded position az=-17.930, el=-40.362
13.24768; 204.230;  20.639; -17.930; -39.862;Commanded position az=-17.930, el=-39.862
13.24824; 204.230;  21.139; -17.930; -39.362;Commanded position az=-17.930, el=-39.362
13.24880; 204.230;  21.639; -17.930; -38.862;Commanded position az=-17.930, el=-38.862
13.24935; 204.730;  21.639; -18.430; -38.862;Commanded position az=-18.430, el=-38.862
13.24991; 204.730;  21.139; -18.430; -39.362;Commanded position az=-18.430, el=-39.362
13.25046; 204.730;  20.639; -18.430; -39.862;Commanded position az=-18.430, el=-39.862
13.25102; 204.730;  20.139; -18.430; -40.362;Commanded position az=-18.430, el=-40.362
13.25158; 204.730;  19.639; -18.430; -40.862;Commanded position az=-18.430, el=-40.862
13.25213; 204.730;  19.139; -18.430; -41.362;Commanded position az=-18.430, el=-41.362
13.25269; 204.730;  18.639; -18.430; -41.862;Commanded position az=-18.430, el=-41.862
13.25325; 204.730;  18.139; -18.430; -42.362;Commanded position az=-18.430, el=-42.362
13.25380; 204.730;  17.639; -18.430; -42.862;Commanded position az=-18.430, el=-42.862
13.25436; 204.730;  17.139; -18.430; -43.362;Commanded position az=-18.430, el=-43.362
13.25492; 204.730;  16.639; -18.430; -43.862;Commanded position az=-18.430, el=-43.862
13.25547; 204.730;  16.139; -18.430; -44.362;Commanded position az=-18.430, el=-44.362
13.25603; 204.730;  15.639; -18.430; -44.862;Commanded position az=-18.430, el=-44.862
13.25659; 204.730;  15.139; -18.430; -45.362;Commanded position az=-18.430, el=-45.362
13.25714; 204.730;  14.639; -18.430; -45.862;Commanded position az=-18.430, el=-45.862
13.25770; 204.730;  14.139; -18.430; -46.362;Commanded position az=-18.430, el=-46.362
13.25826; 204.730;  13.639; -18.430; -46.862;Commanded position az=-18.430, el=-46.862
13.25881; 204.730;  13.139; -18.430; -47.362;Commanded position az=-18.430, el=-47.362
13.25937; 204.730;  12.639; -18.430; -47.862;Commanded position az=-18.430, el=-47.862
13.25993; 204.730;  12.139; -18.430; -48.362;Commanded position az=-18.430, el=-48.362
13.26048; 204.730;  11.639; -18.430; -48.862;Commanded position az=-18.430, el=-48.862
13.26104; 205.230;  11.639; -18.930; -48.863;Commanded position az=-18.930, el=-48.863
13.26159; 205.230;  12.139; -18.930; -48.363;Commanded position az=-18.930, el=-48.363
13.26215; 205.230;  12.639; -18.930; -47.863;Commanded position az=-18.930, el=-47.863
13.26271; 205.230;  13.139; -18.930; -47.363;Commanded position az=-18.930, el=-47.363
13.26326; 205.230;  13.639; -18.930; -46.863;Commanded position az=-18.930, el=-46.863
13.26382; 205.230;  14.139; -18.930; -46.363;Commanded position az=-18.930, el=-46.363
13.26438; 205.230;  14.639; -18.930; -45.863;Commanded position az=-18.930, el=-45.863
13.26493; 205.230;  15.139; -18.930; -45.363;Commanded position az=-18.930, el=-45.363
13.26549; 205.230;  15.639; -18.930; -44.863;Commanded position az=-18.930, el=-44.863
13.26605; 205.230;  16.139; -18.930; -44.363;Commanded position az=-18.930, el=-44.363
13.26660; 205.230;  16.639; -18.930; -43.863;Commanded position az=-18.930, el=-43.863
13.26716; 205.230;  17.139; -18.930; -43.363;Commanded position az=-18.930, el=-43.363
13.26771; 205.230;  17.639; -18.930; -42.863;Commanded position az=-18.930, el=-42.863
13.26827; 205.230;  18.139; -18.930; -42.363;Commanded position az=-18.930, el=-42.363
13.26883; 205.230;  18.639; -18.930; -41.863;Commanded position az=-18.930, el=-41.863
13.26938; 205.230;  19.139; -18.930; -41.363;Commanded position az=-18.930, el=-41.363
13.26994; 205.230;  19.639; -18.930; -40.863;Commanded position az=-18.930, el=-40.863
13.27050; 205.230;  20.139; -18.930; -40.363;Commanded position az=-18.930, el=-40.363
13.27105; 205.230;  20.639; -18.930; -39.863;Commanded position az=-18.930, el=-39.863
13.27161; 205.230;  21.139; -18.930; -39.363;Commanded position az=-18.930, el=-39.363
13.27216; 205.230;  21.639; -18.930; -38.863;Commanded position az=-18.930, el=-38.863
13.27272; 205.730;  21.639; -19.430; -38.863;Commanded position az=-19.430, el=-38.863
13.27328; 205.730;  21.139; -19.430; -39.363;Commanded position az=-19.430, el=-39.363
13.27383; 205.730;  20.639; -19.430; -39.863;Commanded position az=-19.430, el=-39.863
13.27439; 205.730;  20.139; -19.430; -40.363;Commanded position az=-19.430, el=-40.363
13.27495; 205.730;  19.639; -19.430; -40.863;Commanded position az=-19.430, el=-40.863
13.27550; 205.730;  19.139; -19.430; -41.363;Commanded position az=-19.430, el=-41.363
13.27606; 205.730;  18.639; -19.430; -41.863;Commanded position az=-19.430, el=-41.863
13.27662; 205.730;  18.139; -19.430; -42.363;Commanded position az=-19.430, el=-42.363
13.27717; 205.730;  17.639; -19.430; -42.863;Commanded position az=-19.430, el=-42.863
13.27773; 205.730;  17.139; -19.430; -43.363;Commanded position az=-19.430, el=-43.363
13.27829; 205.730;  16.639; -19.430; -43.863;Commanded position az=-19.430, el=-43.863
13.27884; 205.730;  16.139; -19.430; -44.363;Commanded position az=-19.430, el=-44.363
13.27940; 205.730;  15.639; -19.430; -44.863;Commanded position az=-19.430, el=-44.863
13.27995; 205.730;  15.139; -19.430; -45.363;Commanded position az=-19.430, el=-45.363
13.28051; 205.730;  14.639; -19.430; -45.863;Commanded position az=-19.430, el=-45.863
13.28107; 205.730;  14.139; -19.430; -46.363;Commanded position az=-19.430, el=-46.363
13.28162; 205.730;  13.639; -19.430; -46.863;Commanded position az=-19.430, el=-46.863
13.28218; 205.730;  13.139; -19.430; -47.363;Commanded position az=-19.430, el=-47.363
13.28274; 205.730;  12.639; -19.430; -47.863;Commanded position az=-19.430, el=-47.863
13.28329; 205.730;  12.139; -19.430; -48.363;Commanded position az=-19.430, el=-48.363
13.28385; 205.730;  11.639; -19.430; -48.863;Commanded position az=-19.430, el=-48.863
13.28441; 206.230;  11.639; -19.930; -48.863;Commanded position az=-19.930, el=-48.863
13.28496; 206.230;  12.139; -19.930; -48.363;Commanded position az=-19.930, el=-48.363
13.28552; 206.230;  12.639; -19.930; -47.863;Commanded position az=-19.930, el=-47.863
13.28608; 206.230;  13.139; -19.930; -47.363;Commanded position az=-19.930, el=-47.363
13.28663; 206.230;  13.639; -19.930; -46.863;Commanded position az=-19.930, el=-46.863
13.28719; 206.230;  14.139; -19.930; -46.363;Commanded position az=-19.930, el=-46.363
13.28775; 206.230;  14.639; -19.930; -45.863;Commanded position az=-19.930, el=-45.863
13.28830; 206.230;  15.139; -19.930; -45.363;Commanded position az=-19.930, el=-45.363
13.28886; 206.230;  15.639; -19.930; -44.863;Commanded position az=-19.930, el=-44.863
13.28942; 206.230;  16.139; -19.930; -44.363;Commanded position az=-19.930, el=-44.363
13.28997; 206.230;  16.639; -19.930; -43.863;Commanded position az=-19.930, el=-43.863
13.29053; 206.230;  17.139; -19.930; -43.363;Commanded position az=-19.930, el=-43.363
13.29109; 206.230;  17.639; -19.930; -42.863;Commanded position az=-19.930, el=-42.863
13.29164; 206.230;  18.139; -19.930; -42.363;Commanded position az=-19.930, el=-42.363
13.29220; 206.230;  18.639; -19.930; -41.863;Commanded position az=-19.930, el=-41.863
13.29275; 206.230;  19.139; -19.930; -41.363;Commanded position az=-19.930, el=-41.363
13.29331; 206.230;  19.639; -19.930; -40.863;Commanded position az=-19.930, el=-40.863
13.29387; 206.230;  20.139; -19.930; -40.363;Commanded position az=-19.930, el=-40.363
13.29442; 206.230;  20.639; -19.930; -39.863;Commanded position az=-19.930, el=-39.863
13.29498; 206.230;  21.139; -19.930; -39.363;Commanded position az=-19.930, el=-39.363
13.29554; 206.230;  21.639; -19.930; -38.863;Commanded position az=-19.930, el=-38.863
13.29609; 206.730;  21.639; -20.430; -38.863;Commanded position az=-20.430, el=-38.863
13.29665; 206.730;  21.139; -20.430; -39.363;Commanded position az=-20.430, el=-39.363
13.29721; 206.730;  20.639; -20.430; -39.863;Commanded position az=-20.430, el=-39.863
13.29776; 206.730;  20.139; -20.430; -40.363;Commanded position az=-20.430, el=-40.363
13.29832; 206.730;  19.639; -20.430; -40.863;Commanded position az=-20.430, el=-40.863
13.29888; 206.730;  19.139; -20.430; -41.363;Commanded position az=-20.430, el=-41.363
13.29943; 206.730;  18.639; -20.430; -41.863;Commanded position az=-20.430, el=-41.863
13.29999; 206.730;  18.139; -20.430; -42.363;Commanded position az=-20.430, el=-42.363
13.30055; 206.730;  17.639; -20.430; -42.863;Commanded position az=-20.430, el=-42.863
13.30110; 206.730;  17.139; -20.430; -43.363;Commanded position az=-20.430, el=-43.363
13.30166; 206.730;  16.639; -20.430; -43.863;Commanded position az=-20.430, el=-43.863
13.30221; 206.730;  16.139; -20.430; -44.363;Commanded position az=-20.430, el=-44.363
13.30277; 206.730;  15.639; -20.430; -44.863;Commanded position az=-20.430, el=-44.863
13.30333; 206.730;  15.139; -20.430; -45.363;Commanded position az=-20.430, el=-45.363
13.30388; 206.730;  14.639; -20.430; -45.863;Commanded position az=-20.430, el=-45.863
13.30444; 206.730;  14.139; -20.430; -46.363;Commanded position az=-20.430, el=-46.363
13.30500; 206.730;  13.639; -20.430; -46.863;Commanded position az=-20.430, el=-46.863
13.30555; 206.730;  13.139; -20.430; -47.363;Commanded position az=-20.430, el=-47.363
13.30611; 206.730;  12.639; -20.430; -47.863;Commanded position az=-20.430, el=-47.863
13.30667; 206.730;  12.139; -20.430; -48.363;Commanded position az=-20.430, el=-48.363
13.30722; 206.730;  11.639; -20.430; -48.863;Commanded position az=-20.430, el=-48.863
13.30778; 207.230;  11.639; -20.930; -48.863;Commanded position az=-20.930, el=-48.863
13.30833; 207.230;  12.139; -20.930; -48.363;Commanded position az=-20.930, el=-48.363
