# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 186.300 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
13.10196; 202.044;  22.242; -15.744; -38.260;Commanded position az=-15.744, el=-38.260
13.10252; 202.044;  21.742; -15.744; -38.760;Commanded position az=-15.744, el=-38.760
13.10308; 202.044;  21.242; -15.744; -39.260;Commanded position az=-15.744, el=-39.260
13.10363; 202.044;  20.742; -15.744; -39.760;Commanded position az=-15.744, el=-39.760
13.10419; 202.044;  20.242; -15.744; -40.260;Commanded position az=-15.744, el=-40.260
13.10475; 202.044;  19.742; -15.744; -40.760;Commanded position az=-15.744, el=-40.760
13.10531; 202.044;  19.242; -15.744; -41.260;Commanded position az=-15.744, el=-41.260
13.10586; 202.044;  18.742; -15.744; -41.760;Commanded position az=-15.744, el=-41.760
13.10642; 202.044;  18.242; -15.744; -42.260;Commanded position az=-15.744, el=-42.260
13.10697; 202.044;  17.742; -15.744; -42.760;Commanded position az=-15.744, el=-42.760
13.10753; 202.044;  17.242; -15.744; -43.260;Commanded position az=-15.744, el=-43.260
13.10809; 202.044;  16.742; -15.744; -43.760;Commanded position az=-15.744, el=-43.760
13.10864; 202.044;  16.242; -15.744; -44.260;Commanded position az=-15.744, el=-44.260
13.10920; 202.044;  15.742; -15.744; -44.760;Commanded position az=-15.744, el=-44.760
13.10976; 202.044;  15.242; -15.744; -45.260;Commanded position az=-15.744, el=-45.260
13.11031; 202.044;  14.742; -15.744; -45.760;Commanded position az=-15.744, el=-45.760
13.11087; 202.044;  14.242; -15.744; -46.260;Commanded position az=-15.744, el=-46.260
13.11143; 202.044;  13.742; -15.744; -46.760;Commanded position az=-15.744, el=-46.760
13.11198; 202.044;  13.242; -15.744; -47.260;Commanded position az=-15.744, el=-47.260
13.11254; 202.044;  12.742; -15.744; -47.760;Commanded position az=-15.744, el=-47.760
13.11310; 202.044;  12.242; -15.744; -48.260;Commanded position az=-15.744, el=-48.260
13.11365; 202.544;  12.242; -16.244; -48.260;Commanded position az=-16.244, el=-48.260
13.11421; 202.544;  12.742; -16.244; -47.760;Commanded position az=-16.244, el=-47.760
13.11477; 202.544;  13.242; -16.244; -47.260;Commanded position az=-16.244, el=-47.260
13.11532; 202.544;  13.742; -16.244; -46.760;Commanded position az=-16.244, el=-46.760
13.11588; 202.544;  14.242; -16.244; -46.260;Commanded position az=-16.244, el=-46.260
13.11643; 202.544;  14.742; -16.244; -45.760;Commanded position az=-16.244, el=-45.760
13.11699; 202.544;  15.242; -16.244; -45.260;Commanded position az=-16.244, el=-45.260
13.11755; 202.544;  15.742; -16.244; -44.760;Commanded position az=-16.244, el=-44.760
13.11811; 202.544;  16.242; -16.244; -44.260;Commanded position az=-16.244, el=-44.260
13.11866; 202.544;  16.742; -16.244; -43.760;Commanded position az=-16.244, el=-43.760
13.11922; 202.544;  17.242; -16.244; -43.260;Commanded position az=-16.244, el=-43.260
13.11977; 202.544;  17.742; -16.244; -42.760;Commanded position az=-16.244, el=-42.760
13.12033; 202.544;  18.242; -16.244; -42.260;Commanded position az=-16.244, el=-42.260
13.12089; 202.544;  18.742; -16.244; -41.760;Commanded position az=-16.244, el=-41.760
13.12144; 202.544;  19.242; -16.244; -41.260;Commanded position az=-16.244, el=-41.260
13.12200; 202.544;  19.742; -16.244; -40.760;Commanded position az=-16.244, el=-40.760
13.12256; 202.544;  20.242; -16.244; -40.260;Commanded position az=-16.244, el=-40.260
13.12311; 202.544;  20.742; -16.244; -39.760;Commanded position az=-16.244, el=-39.760
13.12367; 202.544;  21.242; -16.244; -39.260;Commanded position az=-16.244, el=-39.260
13.12423; 202.544;  21.742; -16.244; -38.760;Commanded position az=-16.244, el=-38.760
13.12478; 202.544;  22.242; -16.244; -38.260;Commanded position az=-16.244, el=-38.260
13.12534; 203.044;  22.242; -16.744; -38.260;Commanded position az=-16.744, el=-38.260
13.12590; 203.044;  21.742; -16.744; -38.760;Commanded position az=-16.744, el=-38.760
13.12645; 203.044;  21.242; -16.744; -39.260;Commanded position az=-16.744, el=-39.260
13.12701; 203.044;  20.742; -16.744; -39.760;Commanded position az=-16.744, el=-39.760
13.12757; 203.044;  20.242; -16.744; -40.260;Commanded position az=-16.744, el=-40.260
