# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 183.400 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
11.30727; 171.019;  31.794;  12.381; -28.705;Commanded position az=12.381, el=-28.705
11.30748; 171.019;  31.294;  12.381; -29.205;Commanded position az=12.381, el=-29.205
11.30769; 171.019;  30.794;  12.381; -29.705;Commanded position az=12.381, el=-29.705
11.30790; 171.019;  30.294;  12.381; -30.205;Commanded position az=12.381, el=-30.205
11.30811; 171.019;  29.794;  12.381; -30.705;Commanded position az=12.381, el=-30.705
11.30832; 171.019;  29.294;  12.381; -31.205;Commanded position az=12.381, el=-31.205
11.30853; 171.019;  28.794;  12.381; -31.705;Commanded position az=12.381, el=-31.705
11.30874; 171.019;  28.294;  12.381; -32.205;Commanded position az=12.381, el=-32.205
11.30895; 171.019;  27.794;  12.381; -32.705;Commanded position az=12.381, el=-32.705
11.30916; 171.019;  27.294;  12.381; -33.205;Commanded position az=12.381, el=-33.205
11.30937; 171.019;  26.794;  12.381; -33.705;Commanded position az=12.381, el=-33.705
11.30958; 171.019;  26.294;  12.381; -34.205;Commanded position az=12.381, el=-34.205
11.30979; 171.019;  25.794;  12.381; -34.705;Commanded position az=12.381, el=-34.705
11.31000; 171.019;  25.294;  12.381; -35.205;Commanded position az=12.381, el=-35.205
11.31021; 171.019;  24.794;  12.381; -35.705;Commanded position az=12.381, el=-35.705
11.31042; 171.019;  24.294;  12.381; -36.205;Commanded position az=12.381, el=-36.205
11.31063; 171.019;  23.794;  12.381; -36.705;Commanded position az=12.381, el=-36.705
11.31084; 171.019;  23.294;  12.381; -37.205;Commanded position az=12.381, el=-37.205
11.31104; 171.019;  22.794;  12.381; -37.705;Commanded position az=12.381, el=-37.705
11.31125; 171.019;  22.294;  12.381; -38.205;Commanded position az=12.381, el=-38.205
11.31146; 171.019;  21.794;  12.381; -38.705;Commanded position az=12.381, el=-38.705
11.31167; 171.019;  21.294;  12.381; -39.205;Commanded position az=12.381, el=-39.205
11.31188; 171.019;  20.794;  12.381; -39.705;Commanded position az=12.381, el=-39.705
11.31209; 171.019;  20.294;  12.381; -40.205;Commanded position az=12.381, el=-40.205
11.31230; 171.019;  19.794;  12.381; -40.705;Commanded position az=12.381, el=-40.705
11.31251; 171.019;  19.294;  12.381; -41.205;Commanded position az=12.381, el=-41.205
11.31272; 171.019;  18.794;  12.381; -41.705;Commanded position az=12.381, el=-41.705
11.31293; 171.019;  18.294;  12.381; -42.205;Commanded position az=12.381, el=-42.205
11.31314; 171.019;  17.794;  12.381; -42.705;Commanded position az=12.381, el=-42.705
11.31335; 171.019;  17.294;  12.381; -43.205;Commanded position az=12.381, el=-43.205
11.31356; 171.019;  16.794;  12.381; -43.705;Commanded position az=12.381, el=-43.705
11.31377; 171.019;  16.294;  12.381; -44.205;Commanded position az=12.381, el=-44.205
11.31398; 171.019;  15.794;  12.381; -44.705;Commanded position az=12.381, el=-44.705
11.31419; 171.019;  15.294;  12.381; -45.205;Commanded position az=12.381, el=-45.205
