# DiSEqC radio telescope tracker
# Author: Christian Monstein, HB9SCT
# Version: 2023-04-27
# Reference positions: Azimuth= 186.300 deg, Elevation=  60.500 deg

TIME [UT];Real azimuth [deg];Real elevation [deg];Rotor azimuth [deg];Rotor elevation [deg]; Message
12.66430; 195.943;  24.093;  -9.643; -36.408;Commanded position az=-9.643, el=-36.408
12.66485; 195.943;  23.593;  -9.643; -36.908;Commanded position az=-9.643, el=-36.908
12.66541; 195.943;  23.093;  -9.643; -37.408;Commanded position az=-9.643, el=-37.408
12.66597; 195.943;  22.593;  -9.643; -37.908;Commanded position az=-9.643, el=-37.908
12.66653; 195.943;  22.093;  -9.643; -38.408;Commanded position az=-9.643, el=-38.408
12.66708; 195.943;  21.593;  -9.643; -38.908;Commanded position az=-9.643, el=-38.908
12.66764; 195.943;  21.093;  -9.643; -39.408;Commanded position az=-9.643, el=-39.408
12.66820; 195.943;  20.593;  -9.643; -39.908;Commanded position az=-9.643, el=-39.908
12.66875; 195.943;  20.093;  -9.643; -40.408;Commanded position az=-9.643, el=-40.408
12.66931; 195.943;  19.593;  -9.643; -40.908;Commanded position az=-9.643, el=-40.908
12.66987; 195.943;  19.093;  -9.643; -41.408;Commanded position az=-9.643, el=-41.408
12.67042; 195.943;  18.593;  -9.643; -41.908;Commanded position az=-9.643, el=-41.908
12.67098; 195.943;  18.093;  -9.643; -42.408;Commanded position az=-9.643, el=-42.408
12.67154; 195.943;  17.593;  -9.643; -42.908;Commanded position az=-9.643, el=-42.908
12.67209; 195.943;  17.093;  -9.643; -43.408;Commanded position az=-9.643, el=-43.408
12.67265; 195.943;  16.593;  -9.643; -43.908;Commanded position az=-9.643, el=-43.908
12.67321; 195.943;  16.093;  -9.643; -44.408;Commanded position az=-9.643, el=-44.408
12.67376; 195.943;  15.593;  -9.643; -44.908;Commanded position az=-9.643, el=-44.908
12.67432; 195.943;  15.093;  -9.643; -45.408;Commanded position az=-9.643, el=-45.408
12.67488; 195.943;  14.593;  -9.643; -45.908;Commanded position az=-9.643, el=-45.908
12.67543; 195.943;  14.093;  -9.643; -46.408;Commanded position az=-9.643, el=-46.408
12.67599; 196.443;  14.093; -10.143; -46.408;Commanded position az=-10.143, el=-46.408
12.67655; 196.443;  14.593; -10.143; -45.908;Commanded position az=-10.143, el=-45.908
12.67710; 196.443;  15.093; -10.143; -45.408;Commanded position az=-10.143, el=-45.408
12.67766; 196.443;  15.593; -10.143; -44.908;Commanded position az=-10.143, el=-44.908
12.67822; 196.443;  16.093; -10.143; -44.408;Commanded position az=-10.143, el=-44.408
12.67877; 196.443;  16.593; -10.143; -43.908;Commanded position az=-10.143, el=-43.908
12.67933; 196.443;  17.093; -10.143; -43.408;Commanded position az=-10.143, el=-43.408
12.67989; 196.443;  17.593; -10.143; -42.908;Commanded position az=-10.143, el=-42.908
12.68044; 196.443;  18.093; -10.143; -42.408;Commanded position az=-10.143, el=-42.408
12.68100; 196.443;  18.593; -10.143; -41.908;Commanded position az=-10.143, el=-41.908
12.68156; 196.443;  19.093; -10.143; -41.408;Commanded position az=-10.143, el=-41.408
12.68211; 196.443;  19.593; -10.143; -40.908;Commanded position az=-10.143, el=-40.908
12.68267; 196.443;  20.093; -10.143; -40.408;Commanded position az=-10.143, el=-40.408
12.68323; 196.443;  20.593; -10.143; -39.908;Commanded position az=-10.143, el=-39.908
12.68378; 196.443;  21.093; -10.143; -39.408;Commanded position az=-10.143, el=-39.408
12.68434; 196.443;  21.593; -10.143; -38.908;Commanded position az=-10.143, el=-38.908
12.68490; 196.443;  22.093; -10.143; -38.408;Commanded position az=-10.143, el=-38.408
12.68545; 196.443;  22.593; -10.143; -37.908;Commanded position az=-10.143, el=-37.908
12.68601; 196.443;  23.093; -10.143; -37.408;Commanded position az=-10.143, el=-37.408
12.68657; 196.443;  23.593; -10.143; -36.908;Commanded position az=-10.143, el=-36.908
12.68712; 196.443;  24.093; -10.143; -36.408;Commanded position az=-10.143, el=-36.408
12.68768; 196.943;  24.093; -10.643; -36.408;Commanded position az=-10.643, el=-36.408
12.68824; 196.943;  23.593; -10.643; -36.908;Commanded position az=-10.643, el=-36.908
12.68879; 196.943;  23.093; -10.643; -37.408;Commanded position az=-10.643, el=-37.408
12.68935; 196.943;  22.593; -10.643; -37.908;Commanded position az=-10.643, el=-37.908
12.68991; 196.943;  22.093; -10.643; -38.408;Commanded position az=-10.643, el=-38.408
12.69046; 196.943;  21.593; -10.643; -38.908;Commanded position az=-10.643, el=-38.908
12.69102; 196.943;  21.093; -10.643; -39.408;Commanded position az=-10.643, el=-39.408
12.69158; 196.943;  20.593; -10.643; -39.908;Commanded position az=-10.643, el=-39.908
12.69213; 196.943;  20.093; -10.643; -40.408;Commanded position az=-10.643, el=-40.408
12.69269; 196.943;  19.593; -10.643; -40.908;Commanded position az=-10.643, el=-40.908
12.69325; 196.943;  19.093; -10.643; -41.408;Commanded position az=-10.643, el=-41.408
12.69380; 196.943;  18.593; -10.643; -41.908;Commanded position az=-10.643, el=-41.908
12.69436; 196.943;  18.093; -10.643; -42.408;Commanded position az=-10.643, el=-42.408
12.69492; 196.943;  17.593; -10.643; -42.908;Commanded position az=-10.643, el=-42.908
12.69547; 196.943;  17.093; -10.643; -43.408;Commanded position az=-10.643, el=-43.408
12.69603; 196.943;  16.593; -10.643; -43.908;Commanded position az=-10.643, el=-43.908
12.69659; 196.943;  16.093; -10.643; -44.408;Commanded position az=-10.643, el=-44.408
12.69714; 196.943;  15.593; -10.643; -44.908;Commanded position az=-10.643, el=-44.908
12.69770; 196.943;  15.093; -10.643; -45.408;Commanded position az=-10.643, el=-45.408
12.69826; 196.943;  14.593; -10.643; -45.908;Commanded position az=-10.643, el=-45.908
12.69881; 196.943;  14.093; -10.643; -46.408;Commanded position az=-10.643, el=-46.408
12.69937; 197.443;  14.093; -11.143; -46.408;Commanded position az=-11.143, el=-46.408
12.69993; 197.443;  14.593; -11.143; -45.908;Commanded position az=-11.143, el=-45.908
12.70048; 197.443;  15.093; -11.143; -45.408;Commanded position az=-11.143, el=-45.408
12.70104; 197.443;  15.593; -11.143; -44.908;Commanded position az=-11.143, el=-44.908
12.70160; 197.443;  16.093; -11.143; -44.408;Commanded position az=-11.143, el=-44.408
12.70215; 197.443;  16.593; -11.143; -43.908;Commanded position az=-11.143, el=-43.908
12.70271; 197.443;  17.093; -11.143; -43.408;Commanded position az=-11.143, el=-43.408
12.70327; 197.443;  17.593; -11.143; -42.908;Commanded position az=-11.143, el=-42.908
12.70382; 197.443;  18.093; -11.143; -42.408;Commanded position az=-11.143, el=-42.408
12.70438; 197.443;  18.593; -11.143; -41.908;Commanded position az=-11.143, el=-41.908
12.70494; 197.443;  19.093; -11.143; -41.408;Commanded position az=-11.143, el=-41.408
12.70549; 197.443;  19.593; -11.143; -40.908;Commanded position az=-11.143, el=-40.908
12.70605; 197.443;  20.093; -11.143; -40.408;Commanded position az=-11.143, el=-40.408
12.70661; 197.443;  20.593; -11.143; -39.908;Commanded position az=-11.143, el=-39.908
12.70716; 197.443;  21.093; -11.143; -39.408;Commanded position az=-11.143, el=-39.408
12.70772; 197.443;  21.593; -11.143; -38.908;Commanded position az=-11.143, el=-38.908
12.70828; 197.443;  22.093; -11.143; -38.408;Commanded position az=-11.143, el=-38.408
12.70883; 197.443;  22.593; -11.143; -37.908;Commanded position az=-11.143, el=-37.908
12.70939; 197.443;  23.093; -11.143; -37.408;Commanded position az=-11.143, el=-37.408
12.70995; 197.443;  23.593; -11.143; -36.908;Commanded position az=-11.143, el=-36.908
12.71050; 197.443;  24.093; -11.143; -36.408;Commanded position az=-11.143, el=-36.408
12.71106; 197.943;  24.093; -11.643; -36.408;Commanded position az=-11.643, el=-36.408
12.71162; 197.943;  23.593; -11.643; -36.908;Commanded position az=-11.643, el=-36.908
12.71217; 197.943;  23.093; -11.643; -37.408;Commanded position az=-11.643, el=-37.408
12.71273; 197.943;  22.593; -11.643; -37.908;Commanded position az=-11.643, el=-37.908
12.71329; 197.943;  22.093; -11.643; -38.408;Commanded position az=-11.643, el=-38.408
12.71384; 197.943;  21.593; -11.643; -38.908;Commanded position az=-11.643, el=-38.908
12.71440; 197.943;  21.093; -11.643; -39.408;Commanded position az=-11.643, el=-39.408
12.71496; 197.943;  20.593; -11.643; -39.908;Commanded position az=-11.643, el=-39.908
12.71551; 197.943;  20.093; -11.643; -40.408;Commanded position az=-11.643, el=-40.408
12.71607; 197.943;  19.593; -11.643; -40.908;Commanded position az=-11.643, el=-40.908
12.71663; 197.943;  19.093; -11.643; -41.408;Commanded position az=-11.643, el=-41.408
12.71718; 197.943;  18.593; -11.643; -41.908;Commanded position az=-11.643, el=-41.908
12.71774; 197.943;  18.093; -11.643; -42.408;Commanded position az=-11.643, el=-42.408
12.71830; 197.943;  17.593; -11.643; -42.908;Commanded position az=-11.643, el=-42.908
12.71885; 197.943;  17.093; -11.643; -43.408;Commanded position az=-11.643, el=-43.408
12.71941; 197.943;  16.593; -11.643; -43.908;Commanded position az=-11.643, el=-43.908
12.71997; 197.943;  16.093; -11.643; -44.408;Commanded position az=-11.643, el=-44.408
12.72052; 197.943;  15.593; -11.643; -44.908;Commanded position az=-11.643, el=-44.908
12.72108; 197.943;  15.093; -11.643; -45.408;Commanded position az=-11.643, el=-45.408
12.72164; 197.943;  14.593; -11.643; -45.908;Commanded position az=-11.643, el=-45.908
12.72219; 197.943;  14.093; -11.643; -46.408;Commanded position az=-11.643, el=-46.408
12.72275; 198.443;  14.093; -12.143; -46.408;Commanded position az=-12.143, el=-46.408
12.72331; 198.443;  14.593; -12.143; -45.908;Commanded position az=-12.143, el=-45.908
12.72386; 198.443;  15.093; -12.143; -45.408;Commanded position az=-12.143, el=-45.408
12.72442; 198.443;  15.593; -12.143; -44.908;Commanded position az=-12.143, el=-44.908
12.72498; 198.443;  16.093; -12.143; -44.408;Commanded position az=-12.143, el=-44.408
12.72553; 198.443;  16.593; -12.143; -43.908;Commanded position az=-12.143, el=-43.908
12.72609; 198.443;  17.093; -12.143; -43.408;Commanded position az=-12.143, el=-43.408
