Callisto gain sweep
Author: Christian Monstein, HB9SCT
Version: 2023-05-18

pwm[digit], Voltage[mV]
010,1132
015,1137
020,1169
025,1176
030,1193
035,1218
040,1228
045,1254
050,1267
055,1296
060,1313
065,1340
070,1359
075,1381
080,1384
085,1413
090,1433
095,1452
100,1469
105,1494
110,1518
115,1530
120,1542
125,1562
130,1577
135,1599
140,1621
145,1628
150,1628
155,1647
160,1660
165,1667
170,1677
175,1684
180,1699
185,1699
190,1708
195,1718
200,1723
205,1728
210,1750
215,1735
220,1752
225,1755
230,1772
235,1760
240,1765
245,1782
250,1789
