Callisto gain sweep
Author: Christian Monstein, HB9SCT
Version: 2023-05-18

pwm[digit], Voltage[mV]
010,1042
015,1057
020,1071
025,1079
030,1105
035,1115
040,1130
045,1145
050,1166
055,1191
060,1210
065,1232
070,1247
075,1276
080,1281
085,1306
090,1325
095,1342
100,1364
105,1379
110,1406
115,1425
120,1435
125,1450
130,1477
135,1479
140,1503
145,1511
150,1530
155,1530
160,1552
165,1555
170,1579
175,1572
180,1594
185,1599
190,1606
195,1618
200,1613
205,1628
210,1633
215,1638
220,1647
225,1645
230,1652
235,1662
240,1667
245,1682
250,1682
